Original: cols , predicted 1st: add
Original: convert|to|proto|format , predicted 1st: completion|completion
Original: get|current|block|replication , predicted 1st: get|block
Original: run , predicted 1st: do|test
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: 
Original: configure|high|ram|properties , predicted 1st: configure
Original: q , predicted 1st: fun
Original: get|application|types , predicted 1st: get|application|types
Original: get|volume|ids , predicted 1st: get|ids
Original: set|replication , predicted 1st: is|modified
Original: remove|task|report , predicted 1st: remove
Original: publish|data|statistics , predicted 1st: publish|data
Original: get|job , predicted 1st: get|job|info
Original: set , predicted 1st: add
Original: set|application|states , predicted 1st: set|application|application
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add|value
Original: scan|directory|for|history|files , predicted 1st: scan|directory
Original: set|times , predicted 1st: set
Original: get|proto , predicted 1st: to
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: fun
Original: user|has|administrator|access , predicted 1st: is|user
Original: pack , predicted 1st: build|response
Original: get|scheme , predicted 1st: get|help|id
Original: maybe|init|builder , predicted 1st: set|up
Original: find|or|make|emitter , predicted 1st: get
Original: get|method|name , predicted 1st: get|current|name
Original: print|single|distribution|data , predicted 1st: print
Original: r , predicted 1st: lines
Original: id , predicted 1st: add
Original: remove|token|master|key , predicted 1st: remove|state
Original: get|cluster|metrics , predicted 1st: get|cluster|cluster
Original: get|protocol|version , predicted 1st: get|protocol
Original: init|storage , predicted 1st: apply
Original: get|application|id , predicted 1st: get|application|id
Original: set|permission , predicted 1st: do|process
Original: convert|to|proto|format , predicted 1st: get|user|info
Original: get|units , predicted 1st: get|name
Original: print|distribution|set , predicted 1st: print
Original: merge|local|to|builder , predicted 1st: set|up
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: make|absolute , predicted 1st: create|path
Original: init|local|application|attempts|list , predicted 1st: init
Original: wait|for , predicted 1st: wait|for|wait
Original: value , predicted 1st: add|value
Original: bq , predicted 1st: 
Original: b , predicted 1st: foo
Original: height , predicted 1st: add
Original: br , predicted 1st: set|selector
Original: read|fields , predicted 1st: read|read
Original: get|replication , predicted 1st: get|block|block
Original: get|job|counters , predicted 1st: get|job|info
Original: get|tmax , predicted 1st: get
Original: label , predicted 1st: add
Original: src , predicted 1st: add
Original: get|output|records , predicted 1st: get|output
Original: open , predicted 1st: get|input|stream
Original: class , predicted 1st: add
Original: echo , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: set|replication , predicted 1st: do|validate
Original: set|container|list , predicted 1st: set
Original: get|all|file|info , predicted 1st: get|cache
Original: cancel|delegation|token , predicted 1st: token|token
Original: main , predicted 1st: main
Original: init|application|types , predicted 1st: init|application|types
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add
Original: generate|record , predicted 1st: get|byte
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: fun
Original: get|home|directory , predicted 1st: get|path
Original: create|url , predicted 1st: to|string
Original: fixed|bytes , predicted 1st: get|size
Original: release|and|rethrow , predicted 1st: release
Original: set|task|report , predicted 1st: set|report|task
Original: close|storage , predicted 1st: close
Original: get|underlying|counter , predicted 1st: get|wrapped|cache
Original: attempts , predicted 1st: set|cc
Original: button , predicted 1st: set|selector
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container
Original: emit|metric , predicted 1st: send
Original: generate|graph|viz , predicted 1st: generate|generate
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|report
Original: get|num|datanodes|in|service , predicted 1st: get|nodes
Original: h , predicted 1st: fun
Original: get|parent , predicted 1st: get|parent
Original: open , predicted 1st: open
Original: get|delegation|token , predicted 1st: get|token
Original: get|output|bytes , predicted 1st: get|output
Original: compiled , predicted 1st: get
Original: h , predicted 1st: fun
Original: get|reduce|output|bytes , predicted 1st: get|out
Original: button , predicted 1st: run
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: get|proto , predicted 1st: to
Original: get|configuration , predicted 1st: get|properties
Original: set|ready|to|become|active , predicted 1st: get|ready
Original: rename|internal , predicted 1st: rename
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: get|task|report , predicted 1st: get|task|task
Original: new|instance , predicted 1st: create|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get|long|size
Original: get|file|block|locations , predicted 1st: get|block|block
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: get
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: process
Original: make|absolute , predicted 1st: get|path
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job|data
Original: scan|old|dirs|for|job , predicted 1st: find|file|info
Original: id , predicted 1st: add
Original: class , predicted 1st: add
Original: use|logical|uri , predicted 1st: is|uri
Original: maybe|init|builder , predicted 1st: 
Original: ol , predicted 1st: set|selector
Original: refresh|loaded|job|cache , predicted 1st: get|refresh
Original: script , predicted 1st: set|script|script
Original: object , predicted 1st: get
Original: hr , predicted 1st: set|selector
Original: class , predicted 1st: add
Original: set|units , predicted 1st: set
Original: is|local|mr , predicted 1st: is|local|local
Original: id , predicted 1st: add
Original: refresh|loaded|job|cache , predicted 1st: refresh|refresh
Original: id , predicted 1st: add
Original: rel , predicted 1st: add
Original: compare|seed , predicted 1st: get|size
Original: get|scheme , predicted 1st: get|help|id
Original: do|health|checks , predicted 1st: wait
Original: get|hadoop|proxy|user|groups , predicted 1st: get|groups
Original: get|container|report , predicted 1st: get|container|container
Original: register , predicted 1st: add
Original: close , predicted 1st: run
Original: init|queues , predicted 1st: test
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: get|file|status , predicted 1st: get|status
Original: label , predicted 1st: for
Original: b , predicted 1st: fun
Original: log|success , predicted 1st: log
Original: conf|table|init , predicted 1st: get|table|name
Original: textarea , predicted 1st: get
Original: start , predicted 1st: run
Original: parse|selector , predicted 1st: get
Original: get , predicted 1st: get|server
Original: close|storage , predicted 1st: close
Original: rename , predicted 1st: do|rename
Original: pre|head , predicted 1st: set|up
Original: emit|metric , predicted 1st: send
Original: read , predicted 1st: read
Original: load|tokens , predicted 1st: get|token|tokens
Original: validate|task|memory|limits , predicted 1st: set|max|memory
Original: img , predicted 1st: get
Original: set|state|internal , predicted 1st: execute
Original: is|element , predicted 1st: is|matches
Original: get|expected|output , predicted 1st: get|user|output
Original: print|usage , predicted 1st: run
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|annotated|classes
Original: h , predicted 1st: fun
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: to
Original: set|spec , predicted 1st: set
Original: put|metrics , predicted 1st: to|string
Original: main , predicted 1st: main
Original: start|threads , predicted 1st: test|t|start
Original: small , predicted 1st: get
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add|listener
Original: find|timestamped|directories , predicted 1st: get
Original: get|child|file|systems , predicted 1st: get|system|file
Original: can|parse , predicted 1st: is|version
Original: small , predicted 1st: fun
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: 
Original: table , predicted 1st: get|table
Original: id , predicted 1st: add
Original: generate|ascii|record , predicted 1st: set
Original: abbr , predicted 1st: fun
Original: multiple , predicted 1st: add
Original: name , predicted 1st: add
Original: get|server|defaults , predicted 1st: get|server|server
Original: set|conf , predicted 1st: set|default|name
Original: get|x|attr , predicted 1st: get
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: foo
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set|filter
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application
Original: id , predicted 1st: get
Original: usage , predicted 1st: test
Original: cite , predicted 1st: fun
Original: archive|path , predicted 1st: get|path
Original: class , predicted 1st: add
Original: disabled , predicted 1st: add
Original: get|read|statistics , predicted 1st: get|input|stream
Original: get|not|ready|reason , predicted 1st: get|ready
Original: check|health , predicted 1st: test|failed
Original: print|usage , predicted 1st: print
Original: run , predicted 1st: get|input
Original: h , predicted 1st: foo
Original: get|capacity|used|non|dfs , predicted 1st: get|non|non|non|non|non
Original: init|lut , predicted 1st: run
Original: class , predicted 1st: add
Original: rename|internal , predicted 1st: do|rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: get|user|info
Original: get|job|id , predicted 1st: get|job|id
Original: opt , predicted 1st: add
Original: get|capacity|total , predicted 1st: get|total|total
Original: set|finish|range , predicted 1st: set
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache|cache
Original: hash , predicted 1st: hash|hash
Original: pre|head , predicted 1st: set
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: read|from
Original: get|task|report|count , predicted 1st: get|task|count
Original: about , predicted 1st: test
Original: decode|file|name , predicted 1st: get|version
Original: get|capacity|used , predicted 1st: get|stats
Original: read|fields , predicted 1st: read|read
Original: emit|metric , predicted 1st: set|name
Original: maxlength , predicted 1st: add
Original: main , predicted 1st: main
Original: process|general|options , predicted 1st: add
Original: next|event , predicted 1st: get|event
Original: is|empty|local|name , predicted 1st: is|empty
Original: get|type|name , predicted 1st: get|type
Original: get|x|attrs , predicted 1st: get|path
Original: get|size , predicted 1st: get|size
Original: new|instance , predicted 1st: create|response
Original: test|existing|user , predicted 1st: test|default|output|output
Original: ol , predicted 1st: close
Original: check|access , predicted 1st: check|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: fun
Original: content , predicted 1st: get|sub|class
Original: enforce|root|path , predicted 1st: validate
Original: id , predicted 1st: add
Original: indent , predicted 1st: run
Original: sort , predicted 1st: compare
Original: id , predicted 1st: add
Original: h , predicted 1st: foo
Original: build|token|service|for|logical|uri , predicted 1st: create|token
Original: run , predicted 1st: do|get
Original: emit|record , predicted 1st: get|message
Original: onblur , predicted 1st: add
Original: initialize|web|server , predicted 1st: create|web|context
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: get|finish|range , predicted 1st: get
Original: get|include|child|queues , predicted 1st: has|child
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read|value
Original: create|internal , predicted 1st: create|output|stream
Original: service|init , predicted 1st: start
Original: ins , predicted 1st: get
Original: remove|x|attr , predicted 1st: do|upgrade
Original: init|diagnostics , predicted 1st: foo
Original: onkeyup , predicted 1st: add
Original: is|healthy , predicted 1st: get|client
Original: init|local|queue|user|acls|list , predicted 1st: test
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: get|remaining|args , predicted 1st: get|command|line
Original: test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: test|access
Original: run , predicted 1st: test
Original: get|proto , predicted 1st: to
Original: get|cache|used , predicted 1st: get|cache|cache
Original: get|group , predicted 1st: get|group
Original: remove|default|acl , predicted 1st: do|validate
Original: add|directory|to|job|list|cache , predicted 1st: find|files|for|file
Original: is|method|supported , predicted 1st: is|refresh
Original: set|x|attr , predicted 1st: set|value
Original: init|failed|requests , predicted 1st: test|from|format
Original: delete|job|from|done , predicted 1st: delete|info
Original: conf|post|table|init , predicted 1st: get|test|path
Original: get|wrapped|stream , predicted 1st: get|in
Original: new|node , predicted 1st: create
Original: new|instance , predicted 1st: create|response
Original: class , predicted 1st: add
Original: height , predicted 1st: add
Original: name , predicted 1st: add
Original: set|state , predicted 1st: validate
Original: set|scope , predicted 1st: set|scope
Original: assert|value|within|range , predicted 1st: assert
Original: confirm|force|manual , predicted 1st: test
Original: complete|local|output , predicted 1st: do|get
Original: copy|from|local|file , predicted 1st: set|path
Original: h , predicted 1st: set|selector
Original: sup , predicted 1st: fun
Original: needs|escaping , predicted 1st: is|script
Original: set|excludes|file , predicted 1st: set|file|excludes
Original: get|distribution , predicted 1st: get
Original: b , predicted 1st: fun
Original: read , predicted 1st: read
Original: kbd , predicted 1st: fun
Original: release , predicted 1st: close
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|path
Original: add|protocol , predicted 1st: add|protocol
Original: maybe|uncompressed|path , predicted 1st: create|reader|reader
Original: get|token|path , predicted 1st: get|token|path
Original: rowspan , predicted 1st: add
Original: check|paths , predicted 1st: check|exists
Original: get|proto , predicted 1st: new
Original: initialize , predicted 1st: parse
Original: img , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set|up
Original: accept , predicted 1st: add
Original: size , predicted 1st: add
Original: get|server|defaults , predicted 1st: create
Original: clear , predicted 1st: method
Original: class , predicted 1st: add
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|user
Original: run , predicted 1st: test|token
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|model|class
Original: load|state , predicted 1st: get|state
Original: form , predicted 1st: get|form
Original: samp , predicted 1st: set|selector
Original: sup , predicted 1st: fun
Original: add|fencing|parameters , predicted 1st: set|key
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: render
Original: write , predicted 1st: bytes|as|bytes
Original: get|name , predicted 1st: get|name
Original: is|token|for|logical|uri , predicted 1st: is|prefix
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|sub|sub|class
Original: transition|to|standby , predicted 1st: handle|info
Original: set|retain|days , predicted 1st: set|days
Original: render , predicted 1st: visit
Original: list|status , predicted 1st: get
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add
Original: accesskey , predicted 1st: add
Original: run , predicted 1st: get|task|file
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: get|request|request
Original: datetime , predicted 1st: add
Original: print|usage , predicted 1st: print
Original: add|default|servlets , predicted 1st: test|servlet|servlet
Original: bdo , predicted 1st: fun
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add
Original: init , predicted 1st: init
Original: init|file|system , predicted 1st: set|up
Original: id , predicted 1st: add
Original: new|instance , predicted 1st: create|response
Original: clear|space|quota , predicted 1st: set
Original: maybe|init|builder , predicted 1st: 
Original: h , predicted 1st: foo
Original: code , predicted 1st: get
Original: is|because|safe|mode , predicted 1st: is|exception|exception
Original: graceful|failover|through|zkf|cs , predicted 1st: get|last|timeout
Original: set|job|id , predicted 1st: set|job|id
Original: init|cluster , predicted 1st: test
Original: create|output|stream , predicted 1st: create|output|stream
Original: get|volume|indexes , predicted 1st: get|indexes
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait
Original: initialize|hadoop|logs|analyzer , predicted 1st: read|file
Original: parse|counter , predicted 1st: get|string
Original: wrap|safe|string , predicted 1st: get|label|label
Original: q , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|up
Original: monitor|health , predicted 1st: handle|state
Original: do|filter , predicted 1st: do|filter
Original: class , predicted 1st: add
Original: get|job|id , predicted 1st: get|job|id
Original: merge|local|to|builder , predicted 1st: set|queue|info
Original: new|instance , predicted 1st: get|user
Original: class , predicted 1st: add
Original: get , predicted 1st: get
Original: run , predicted 1st: run
Original: store|token , predicted 1st: handle|token
Original: id , predicted 1st: add
Original: test|set|x|attr , predicted 1st: test|remove
Original: set|finish|range , predicted 1st: set|range
Original: create|direct|decompressor , predicted 1st: get|native|data
Original: pkg|name , predicted 1st: get|default|default
Original: get|symlink , predicted 1st: get|name
Original: init , predicted 1st: test|copy|with
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add
Original: get|file|status , predicted 1st: get|status|status
Original: ins , predicted 1st: fun
Original: create|cluster , predicted 1st: test|cluster
Original: disabled , predicted 1st: add
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create
Original: write|dist|cache|data , predicted 1st: run
Original: try|creating|history|dirs , predicted 1st: get
Original: get|node|reports , predicted 1st: get|node|info|info
Original: set|space|quota , predicted 1st: set
Original: h , predicted 1st: set|selector
Original: get|proto , predicted 1st: get
Original: setup , predicted 1st: test
Original: class , predicted 1st: add
Original: h , predicted 1st: foo
Original: refresh|user|to|groups|mappings , predicted 1st: test|history
Original: convert , predicted 1st: get|state
Original: init , predicted 1st: init
Original: id , predicted 1st: add
Original: get|proto , predicted 1st: new
Original: set|acl , predicted 1st: do|test
Original: dfn , predicted 1st: 
Original: test|no|user|given , predicted 1st: test|default|user
Original: close|storage , predicted 1st: close
Original: sub , predicted 1st: set|selector
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: get|block|blocks
Original: get|job|summary , predicted 1st: read
Original: class , predicted 1st: add
Original: transition|to|active , predicted 1st: handle|state
Original: scan|directory , predicted 1st: get|status|status
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|channel
Original: incorporate|counters , predicted 1st: set
Original: set , predicted 1st: read
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: read|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input|map
Original: set , predicted 1st: set|output|bytes
Original: set , predicted 1st: set|output|stream
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|up
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|up
Original: cancel|delegation|token , predicted 1st: cancel
Original: create|success|log , predicted 1st: add|remote
Original: load|token|state , predicted 1st: load|state
Original: set|owner , predicted 1st: set|model
Original: usemap , predicted 1st: add
Original: new|instance , predicted 1st: get|request
Original: get|job , predicted 1st: get|job
Original: main , predicted 1st: main
Original: initialize , predicted 1st: set|user
Original: create|x|attr|names , predicted 1st: get|names
Original: get|percent|block|pool|used , predicted 1st: get|bytes
Original: get|task|logs|url , predicted 1st: get|task|task|task|task|url
Original: set|users , predicted 1st: set|users
Original: tabindex , predicted 1st: add
Original: class , predicted 1st: add
Original: set|container|statuses , predicted 1st: set|status
Original: build|splits , predicted 1st: do|get|file
Original: class , predicted 1st: add
Original: h , predicted 1st: foo
Original: onchange , predicted 1st: add
Original: merge|local|to|builder , predicted 1st: init|state
Original: apply , predicted 1st: get|input|state
Original: id , predicted 1st: add
Original: checked , predicted 1st: add
Original: class , predicted 1st: add
Original: get|proto , predicted 1st: get
Original: compile , predicted 1st: fun
Original: monitor|health , predicted 1st: run
Original: a , predicted 1st: get
Original: id , predicted 1st: add
Original: class , predicted 1st: add
Original: get|file|id , predicted 1st: get|file|id
Original: set|queues , predicted 1st: set
Original: destroy , predicted 1st: destroy
Original: make|qualified , predicted 1st: path|path
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh
Original: process|task|line , predicted 1st: get|task
Original: get|hadoop|users , predicted 1st: get|users|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: pattern
Original: delete , predicted 1st: delete
Original: make|big|integer , predicted 1st: get|big|integer
Original: renew|delegation|token , predicted 1st: token|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: is|ha|enabled , predicted 1st: is
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create|gradle|gradle
Original: get|node , predicted 1st: node
Original: set|selector , predicted 1st: parse
Original: create|io|exception , predicted 1st: read
Original: merge|local|to|builder , predicted 1st: set|up
Original: hr , predicted 1st: get
Original: set|permission , predicted 1st: do|process
Original: add|completion|event , predicted 1st: completion|completion
Original: select , predicted 1st: set|selector
Original: unique|sequence|id , predicted 1st: get|sequence
Original: get|uri|default|port , predicted 1st: get|default|port
Original: initialize , predicted 1st: do|create
Original: is|ready|to|become|active , predicted 1st: is|active
Original: root , predicted 1st: create
Original: expand|leftmost , predicted 1st: get|file
Original: create|file|system , predicted 1st: get|system|file
Original: refresh , predicted 1st: execute
Original: task|counters , predicted 1st: set|task
Original: parse|opts , predicted 1st: parse
Original: init|storage , predicted 1st: load|state
Original: id , predicted 1st: add
Original: get|proto , predicted 1st: get
Original: upload|data , predicted 1st: get|output|stream
Original: get|proto , predicted 1st: to
Original: get|includes , predicted 1st: get|includes
Original: get|application|attempt|id , predicted 1st: get|application|id
Original: sub , predicted 1st: fun
Original: span , predicted 1st: fun
Original: pre|head , predicted 1st: set|up
Original: id , predicted 1st: add
Original: stop|threads , predicted 1st: stop
Original: get|address|of|active , predicted 1st: get|server|address
Original: h , predicted 1st: set|selector
Original: failover , predicted 1st: test|failed
Original: href , predicted 1st: add
Original: main , predicted 1st: run
Original: remove|acl , predicted 1st: remove
Original: mkdir , predicted 1st: create|parent
Original: class , predicted 1st: add
Original: root , predicted 1st: get|root
Original: pre|head , predicted 1st: set|up
Original: mkdir , predicted 1st: check|file
Original: about|page , predicted 1st: get|model|class
Original: seek , predicted 1st: read
Original: class , predicted 1st: add
Original: add|all|task|reports , predicted 1st: add|task
Original: set|application|id , predicted 1st: set|application|id
Original: remove , predicted 1st: remove
Original: set|seed , predicted 1st: set
