Original: accept|charset , predicted 1st: add
Original: create|file|system , predicted 1st: get|state
Original: get|reduce|output|records , predicted 1st: get|out
Original: get|file|status , predicted 1st: get|status
Original: get|summarizer , predicted 1st: get
Original: get|services , predicted 1st: get|services
Original: get|attribute , predicted 1st: get|attribute
Original: h , predicted 1st: m
Original: convert|to|proto|format , predicted 1st: get|task
Original: accept , predicted 1st: add
Original: samp , predicted 1st: set|selector
Original: refresh|admin|acls , predicted 1st: init
Original: init|local|node|manager|infos|list , predicted 1st: test|list|list
Original: maybe|init|builder , predicted 1st: set
Original: get|working|directory , predicted 1st: get|path
Original: init|local|container|ids , predicted 1st: convert|to|from|list
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: pre , predicted 1st: pre|pre|pre|pre
Original: i , predicted 1st: 
Original: h , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: add|local
Original: set|recursive , predicted 1st: set|recursive
Original: pre|head , predicted 1st: set|up
Original: set|next|directory|input|stream , predicted 1st: read|input
Original: merge|local|to|builder , predicted 1st: set|cluster|cluster
Original: iterator , predicted 1st: iterator
Original: logs , predicted 1st: render
Original: get|content|summary , predicted 1st: get|content|content
Original: loop|until|connected , predicted 1st: connect
Original: class , predicted 1st: add
Original: get|usage|string , predicted 1st: get|test
Original: conf|page , predicted 1st: get|model|class
Original: name , predicted 1st: add
Original: id , predicted 1st: add
Original: create|x|attr|map , predicted 1st: get|json
Original: hash , predicted 1st: hash
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: map
Original: kbd , predicted 1st: set|selector
Original: resolved|address|from|datanode|id , predicted 1st: get|address
Original: get|proto , predicted 1st: get|token
Original: get|job|types , predicted 1st: get|values
Original: convert|to|proto|format , predicted 1st: get|completion|completion|completion
Original: get|current|block|replication , predicted 1st: get|current|block|stream|stream
Original: configure|high|ram|properties , predicted 1st: configure|config
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: set
Original: q , predicted 1st: 
Original: get|application|types , predicted 1st: get|application|types
Original: run , predicted 1st: main
Original: get|volume|ids , predicted 1st: get|ids
Original: remove|task|report , predicted 1st: remove
Original: set|replication , predicted 1st: is|valid
Original: publish|data|statistics , predicted 1st: get|staging|staging|statistics
Original: set|application|states , predicted 1st: set|application
Original: get|job , predicted 1st: create|job|info
Original: scan|directory|for|history|files , predicted 1st: scan|directory
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add
Original: get|proto , predicted 1st: build
Original: set|times , predicted 1st: set|path
Original: set , predicted 1st: parse
Original: pack , predicted 1st: create|response
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: get|text
Original: user|has|administrator|access , predicted 1st: is|user|user|allowed
Original: get|scheme , predicted 1st: get|name
Original: find|or|make|emitter , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set
Original: get|method|name , predicted 1st: get|name|name
Original: get|cluster|metrics , predicted 1st: get|cluster|cluster|cluster
Original: r , predicted 1st: set|lines
Original: id , predicted 1st: add
Original: remove|token|master|key , predicted 1st: remove|state
Original: init|storage , predicted 1st: set
Original: get|protocol|version , predicted 1st: get|protocol|version
Original: print|single|distribution|data , predicted 1st: print
Original: print|distribution|set , predicted 1st: print
Original: set|permission , predicted 1st: do|validate
Original: get|application|id , predicted 1st: get|application
Original: convert|to|proto|format , predicted 1st: get|user|queue|user|queue
Original: get|units , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|size|size
Original: make|absolute , predicted 1st: create|path
Original: read|fields , predicted 1st: read|external
Original: wait|for , predicted 1st: wait
Original: value , predicted 1st: add
Original: bq , predicted 1st: 
Original: b , predicted 1st: 
Original: init|local|application|attempts|list , predicted 1st: test|from|convert
Original: height , predicted 1st: add
Original: br , predicted 1st: set|selector
Original: get|replication , predicted 1st: get|block|block
Original: get|output|records , predicted 1st: get|output
Original: get|tmax , predicted 1st: get
Original: get|job|counters , predicted 1st: create|job|info|info
Original: label , predicted 1st: add
Original: src , predicted 1st: add
Original: open , predicted 1st: do|validate
Original: class , predicted 1st: add
Original: set|replication , predicted 1st: do|validate
Original: echo , predicted 1st: main
Original: set|container|list , predicted 1st: set
Original: cancel|delegation|token , predicted 1st: advance|token|token
Original: get|all|file|info , predicted 1st: get|all|files
Original: main , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test
Original: run , predicted 1st: get|object
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: create|url , predicted 1st: get|url
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add
Original: init|application|types , predicted 1st: add|list|types
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: 
Original: generate|record , predicted 1st: test|byte
Original: get|home|directory , predicted 1st: get|path|path
Original: release|and|rethrow , predicted 1st: release
Original: fixed|bytes , predicted 1st: get|bytes
Original: set|task|report , predicted 1st: set|task|report
Original: close|storage , predicted 1st: close
Original: button , predicted 1st: set|selector
Original: get|underlying|counter , predicted 1st: get|wrapped|key
Original: attempts , predicted 1st: set|wrapped
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container|container
Original: generate|graph|viz , predicted 1st: get
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|task|task
Original: open , predicted 1st: create|stream|stream|stream
Original: get|num|datanodes|in|service , predicted 1st: get|nodes|in|service
Original: h , predicted 1st: 
Original: get|parent , predicted 1st: get|parent
Original: get|delegation|token , predicted 1st: convert|token
Original: emit|metric , predicted 1st: do|send
Original: h , predicted 1st: 
Original: compiled , predicted 1st: get
Original: get|proto , predicted 1st: get
Original: get|output|bytes , predicted 1st: get|output
Original: get|reduce|output|bytes , predicted 1st: get|out|out
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: button , predicted 1st: run
Original: set|ready|to|become|active , predicted 1st: get|ready
Original: rename|internal , predicted 1st: rename
Original: get|task|report , predicted 1st: get|task|task
Original: get|configuration , predicted 1st: get
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: new|instance , predicted 1st: create|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get
Original: get|file|block|locations , predicted 1st: get|block|block
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: 
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: create|child
Original: compare|seed , predicted 1st: get|size
Original: call , predicted 1st: get|job|job
Original: run , predicted 1st: get|job
Original: make|absolute , predicted 1st: get|path
Original: start , predicted 1st: start
Original: id , predicted 1st: add
Original: class , predicted 1st: add
Original: maybe|init|builder , predicted 1st: set|up
Original: ol , predicted 1st: set|selector
Original: script , predicted 1st: script|script
Original: use|logical|uri , predicted 1st: is|use
Original: hr , predicted 1st: set|selector
Original: object , predicted 1st: object|object
Original: class , predicted 1st: add
Original: set|units , predicted 1st: set
Original: refresh|loaded|job|cache , predicted 1st: get|refresh
Original: is|local|mr , predicted 1st: is|local
Original: id , predicted 1st: add
Original: id , predicted 1st: add
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: refresh|loaded|job|cache , predicted 1st: refresh|cache
Original: rel , predicted 1st: add
Original: get|scheme , predicted 1st: get|name
Original: get|hadoop|proxy|user|groups , predicted 1st: get|groups
Original: register , predicted 1st: add
Original: get|container|report , predicted 1st: get|container|container
Original: close , predicted 1st: run
Original: init|queues , predicted 1st: add|all
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: do|health|checks , predicted 1st: test
Original: get|file|status , predicted 1st: get|status
Original: label , predicted 1st: for|for
Original: b , predicted 1st: 
Original: conf|table|init , predicted 1st: get|test|table
Original: textarea , predicted 1st: 
Original: log|success , predicted 1st: log|log
Original: get , predicted 1st: get|server|server
Original: close|storage , predicted 1st: close
Original: pre|head , predicted 1st: set|default
Original: rename , predicted 1st: do|rename
Original: parse|selector , predicted 1st: get|error
Original: print|usage , predicted 1st: create|test
Original: read , predicted 1st: read
Original: emit|metric , predicted 1st: set
Original: load|tokens , predicted 1st: get|token|tokens
Original: img , predicted 1st: 
Original: validate|task|memory|limits , predicted 1st: check|endpoint
Original: is|element , predicted 1st: is|matches
Original: set|state|internal , predicted 1st: execute
Original: get|expected|output , predicted 1st: get|output
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|property|classes
Original: h , predicted 1st: 
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: get
Original: set|spec , predicted 1st: set|spec
Original: main , predicted 1st: run
Original: put|metrics , predicted 1st: run
Original: start|threads , predicted 1st: start|start
Original: small , predicted 1st: get
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add|listener
Original: find|timestamped|directories , predicted 1st: get|file
Original: get|child|file|systems , predicted 1st: get|all|files
Original: can|parse , predicted 1st: is|input
Original: small , predicted 1st: 
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: write
Original: generate|ascii|record , predicted 1st: get
Original: table , predicted 1st: get|table
Original: multiple , predicted 1st: add
Original: id , predicted 1st: add
Original: abbr , predicted 1st: 
Original: name , predicted 1st: add
Original: get|server|defaults , predicted 1st: get|server|server|server
Original: get|x|attr , predicted 1st: get|x
Original: set|conf , predicted 1st: set|service
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: m
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set|path
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|list
Original: id , predicted 1st: get
Original: archive|path , predicted 1st: get
Original: usage , predicted 1st: test
Original: cite , predicted 1st: 
Original: class , predicted 1st: add
Original: disabled , predicted 1st: add
Original: get|read|statistics , predicted 1st: get|read|read|read|read
Original: get|not|ready|reason , predicted 1st: get|ready
Original: check|health , predicted 1st: test
Original: print|usage , predicted 1st: generate
Original: init|lut , predicted 1st: process
Original: h , predicted 1st: m
Original: get|capacity|used|non|dfs , predicted 1st: get|used|used|used
Original: opt , predicted 1st: add
Original: class , predicted 1st: add
Original: rename|internal , predicted 1st: do|rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: set|user|queue|queue
Original: get|job|id , predicted 1st: get|job|id|id
Original: set|finish|range , predicted 1st: set
Original: get|capacity|total , predicted 1st: get|total|size
Original: run , predicted 1st: create
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: set
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: get
Original: get|task|report|count , predicted 1st: get|task|task
Original: about , predicted 1st: render
Original: decode|file|name , predicted 1st: get|version
Original: get|capacity|used , predicted 1st: get|stats|stats
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: 
Original: maxlength , predicted 1st: add
Original: main , predicted 1st: main
Original: get|type|name , predicted 1st: get|type|name
Original: test|existing|user , predicted 1st: test|output|output
Original: is|empty|local|name , predicted 1st: is|empty
Original: next|event , predicted 1st: get|event
Original: get|size , predicted 1st: get|size|size
Original: get|x|attrs , predicted 1st: get|path
Original: new|instance , predicted 1st: new|response
Original: ol , predicted 1st: get
Original: check|access , predicted 1st: check|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: 
Original: content , predicted 1st: get|model
Original: process|general|options , predicted 1st: add
Original: enforce|root|path , predicted 1st: assert|file
Original: id , predicted 1st: add
Original: indent , predicted 1st: do|test
Original: sort , predicted 1st: check
Original: id , predicted 1st: add
Original: h , predicted 1st: m
Original: build|token|service|for|logical|uri , predicted 1st: get|text
Original: run , predicted 1st: do|execute
Original: onblur , predicted 1st: add
Original: emit|record , predicted 1st: get
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: initialize|web|server , predicted 1st: init
Original: create|internal , predicted 1st: create|create
Original: get|finish|range , predicted 1st: get|range
Original: get|include|child|queues , predicted 1st: is|has|child
Original: service|init , predicted 1st: create|create|thread
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read|value
Original: ins , predicted 1st: 
Original: init|diagnostics , predicted 1st: foo
Original: remove|x|attr , predicted 1st: validate
Original: onkeyup , predicted 1st: add
Original: add|directory|to|job|list|cache , predicted 1st: load|file|file
Original: test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: test|get|file|access
Original: run , predicted 1st: test|get|file
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: is|healthy , predicted 1st: is
Original: init|local|queue|user|acls|list , predicted 1st: add
Original: get|remaining|args , predicted 1st: get|command|line
Original: get|cache|used , predicted 1st: get|cache|stats
Original: get|group , predicted 1st: get|group
Original: get|proto , predicted 1st: get
Original: remove|default|acl , predicted 1st: validate
Original: is|method|supported , predicted 1st: is|modified
Original: init|failed|requests , predicted 1st: test|convert|list
Original: set|x|attr , predicted 1st: set
Original: delete|job|from|done , predicted 1st: delete|file
Original: new|node , predicted 1st: add
Original: get|wrapped|stream , predicted 1st: get|in
Original: new|instance , predicted 1st: new|response
Original: class , predicted 1st: add
Original: confirm|force|manual , predicted 1st: test
Original: set|state , predicted 1st: check
Original: height , predicted 1st: add
Original: name , predicted 1st: add
Original: conf|post|table|init , predicted 1st: get|test
Original: set|scope , predicted 1st: set|scope
Original: complete|local|output , predicted 1st: do|write|file
Original: get|distribution , predicted 1st: create
Original: copy|from|local|file , predicted 1st: set|path
Original: assert|value|within|range , predicted 1st: assert|equals
Original: h , predicted 1st: set|selector
Original: sup , predicted 1st: get
Original: needs|escaping , predicted 1st: is|test
Original: set|excludes|file , predicted 1st: set|file
Original: b , predicted 1st: 
Original: release , predicted 1st: close
Original: kbd , predicted 1st: 
Original: read , predicted 1st: read
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|file
Original: add|protocol , predicted 1st: add|protocol
Original: initialize , predicted 1st: parse
Original: get|token|path , predicted 1st: get|path
Original: rowspan , predicted 1st: add
Original: maybe|uncompressed|path , predicted 1st: create|reader
Original: get|proto , predicted 1st: get
Original: check|paths , predicted 1st: check|file
Original: img , predicted 1st: 
Original: maybe|init|builder , predicted 1st: set
Original: accept , predicted 1st: add
Original: size , predicted 1st: add
Original: get|server|defaults , predicted 1st: create|default|server|server
Original: clear , predicted 1st: method
Original: class , predicted 1st: add
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|token|token
Original: run , predicted 1st: get|token|token
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|model
Original: load|state , predicted 1st: load|state
Original: run , predicted 1st: print|task
Original: form , predicted 1st: get|value
Original: sup , predicted 1st: get
Original: samp , predicted 1st: set|selector
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: render
Original: write , predicted 1st: bytes|bytes
Original: get|name , predicted 1st: get|name|name
Original: is|token|for|logical|uri , predicted 1st: is|instance
Original: add|fencing|parameters , predicted 1st: set|host|address
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|model
Original: set|retain|days , predicted 1st: set
Original: transition|to|standby , predicted 1st: on|change|state
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add
Original: accesskey , predicted 1st: add
Original: list|status , predicted 1st: get|status
Original: init , predicted 1st: set
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: set|include
Original: render , predicted 1st: test
Original: datetime , predicted 1st: add
Original: print|usage , predicted 1st: print|error
Original: bdo , predicted 1st: 
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add
Original: init|file|system , predicted 1st: set|up
Original: add|default|servlets , predicted 1st: init
Original: id , predicted 1st: add
Original: graceful|failover|through|zkf|cs , predicted 1st: get|new|timeout
Original: new|instance , predicted 1st: new|response
Original: clear|space|quota , predicted 1st: set
Original: h , predicted 1st: m
Original: code , predicted 1st: get|code
Original: is|because|safe|mode , predicted 1st: is|null|exception
Original: maybe|init|builder , predicted 1st: set|up
Original: create|output|stream , predicted 1st: create|output|stream
Original: set|job|id , predicted 1st: set|job|id
Original: get|volume|indexes , predicted 1st: get|primary|key
Original: init|cluster , predicted 1st: wait
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait
Original: parse|counter , predicted 1st: get|name
Original: wrap|safe|string , predicted 1st: get|label
Original: q , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|job|job
Original: do|filter , predicted 1st: do|filter
Original: monitor|health , predicted 1st: check|request
Original: get|job|id , predicted 1st: get|job|id
Original: class , predicted 1st: add
Original: merge|local|to|builder , predicted 1st: set|queue|info
Original: new|instance , predicted 1st: get
Original: run , predicted 1st: run
Original: class , predicted 1st: add
Original: get , predicted 1st: get
Original: initialize|hadoop|logs|analyzer , predicted 1st: test
Original: store|token , predicted 1st: set|date
Original: id , predicted 1st: add
Original: setup , predicted 1st: test
Original: set|finish|range , predicted 1st: set|finish
Original: create|direct|decompressor , predicted 1st: get
Original: pkg|name , predicted 1st: get|name
Original: get|symlink , predicted 1st: get|string
Original: init , predicted 1st: copy
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add
Original: get|file|status , predicted 1st: get|status
Original: ins , predicted 1st: 
Original: create|cluster , predicted 1st: test
Original: disabled , predicted 1st: add
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create|job
Original: test|set|x|attr , predicted 1st: test|remove
Original: write|dist|cache|data , predicted 1st: add|data
Original: get|node|reports , predicted 1st: get|list|list|list
Original: set|space|quota , predicted 1st: set
Original: class , predicted 1st: add
Original: h , predicted 1st: set|selector
Original: get|proto , predicted 1st: get
Original: h , predicted 1st: m
Original: try|creating|history|dirs , predicted 1st: read
Original: refresh|user|to|groups|mappings , predicted 1st: run
Original: set|acl , predicted 1st: do|validate
Original: id , predicted 1st: add
Original: test|no|user|given , predicted 1st: test|get|output|output
Original: get|proto , predicted 1st: get
Original: convert , predicted 1st: get|request|state
Original: dfn , predicted 1st: 
Original: sub , predicted 1st: set|selector
Original: close|storage , predicted 1st: close
Original: init , predicted 1st: set
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: new|t
Original: get|job|summary , predicted 1st: get|summary
Original: class , predicted 1st: add
Original: scan|directory , predicted 1st: get|status
Original: transition|to|active , predicted 1st: run|state
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|default|connector|connector
Original: load|token|state , predicted 1st: load|state
Original: cancel|delegation|token , predicted 1st: do|cancel|token
Original: create|success|log , predicted 1st: add
Original: set|owner , predicted 1st: do|process
Original: new|instance , predicted 1st: get|request|request
Original: usemap , predicted 1st: add
Original: get|job , predicted 1st: get|job
Original: incorporate|counters , predicted 1st: set|input
Original: set , predicted 1st: read
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: read|file
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input|map
Original: set , predicted 1st: set|output|bytes
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|input|input
Original: set , predicted 1st: set|number
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|value
Original: set , predicted 1st: set|virtual|memory
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|column
Original: merge|local|to|builder , predicted 1st: set|input
Original: apply , predicted 1st: get|state
Original: main , predicted 1st: main
Original: create|x|attr|names , predicted 1st: get|names|names
Original: get|percent|block|pool|used , predicted 1st: get|total|size
Original: class , predicted 1st: add
Original: set|users , predicted 1st: set|users
Original: get|task|logs|url , predicted 1st: get|task|log|log|url
Original: tabindex , predicted 1st: add
Original: class , predicted 1st: add
Original: build|splits , predicted 1st: set|input|dir
Original: initialize , predicted 1st: get|host
Original: h , predicted 1st: m
Original: set|container|statuses , predicted 1st: set|status
Original: id , predicted 1st: add
Original: onchange , predicted 1st: add
Original: class , predicted 1st: add
Original: checked , predicted 1st: add
Original: class , predicted 1st: add
Original: make|qualified , predicted 1st: get|path
Original: compile , predicted 1st: compile
Original: get|proto , predicted 1st: get
Original: id , predicted 1st: add
Original: a , predicted 1st: a
Original: monitor|health , predicted 1st: run
Original: get|file|id , predicted 1st: get|file|id
Original: destroy , predicted 1st: destroy
Original: set|queues , predicted 1st: set
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh|settings
Original: make|big|integer , predicted 1st: get|integer
Original: get|hadoop|users , predicted 1st: get|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: pattern
Original: delete , predicted 1st: delete
Original: is|ha|enabled , predicted 1st: is
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create|remote|client|client
Original: renew|delegation|token , predicted 1st: parse|token|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: create|io|exception , predicted 1st: read
Original: get|node , predicted 1st: node
Original: set|selector , predicted 1st: get
Original: hr , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: set|permission , predicted 1st: check|permission
Original: initialize , predicted 1st: create
Original: select , predicted 1st: set|selector
Original: add|completion|event , predicted 1st: add|completion|completion|completion
Original: unique|sequence|id , predicted 1st: get|sequence
Original: get|uri|default|port , predicted 1st: get|default|port
Original: root , predicted 1st: create
Original: is|ready|to|become|active , predicted 1st: is|ready|to
Original: expand|leftmost , predicted 1st: get|file
Original: create|file|system , predicted 1st: get|system|file|system
Original: refresh , predicted 1st: process
Original: process|task|line , predicted 1st: add|task
Original: task|counters , predicted 1st: on|task
Original: parse|opts , predicted 1st: parse
Original: upload|data , predicted 1st: get|output|stream|stream
Original: id , predicted 1st: add
Original: init|storage , predicted 1st: set|state
Original: failover , predicted 1st: test
Original: get|proto , predicted 1st: get
Original: get|includes , predicted 1st: get|includes
Original: sub , predicted 1st: 
Original: get|proto , predicted 1st: build
Original: span , predicted 1st: 
Original: get|application|attempt|id , predicted 1st: convert
Original: id , predicted 1st: add
Original: stop|threads , predicted 1st: stop
Original: pre|head , predicted 1st: set|up
Original: h , predicted 1st: set|selector
Original: href , predicted 1st: add
Original: main , predicted 1st: run
Original: remove|acl , predicted 1st: remove
Original: get|address|of|active , predicted 1st: get|server|server|address
Original: pre|head , predicted 1st: set|up
Original: mkdir , predicted 1st: create|parent
Original: class , predicted 1st: add
Original: root , predicted 1st: get|root
Original: seek , predicted 1st: do|close
Original: about|page , predicted 1st: get|model
Original: mkdir , predicted 1st: check|file
Original: class , predicted 1st: add
Original: add|all|task|reports , predicted 1st: add|task|task
