Original: cols , predicted 1st: add
Original: set|application|states , predicted 1st: set|application|application
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add
Original: scan|directory|for|history|files , predicted 1st: scan
Original: set|times , predicted 1st: set
Original: get|proto , predicted 1st: to
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: fun
Original: user|has|administrator|access , predicted 1st: is|user|user
Original: pack , predicted 1st: build|response
Original: get|scheme , predicted 1st: get|name
Original: maybe|init|builder , predicted 1st: set|request|request
Original: find|or|make|emitter , predicted 1st: get
Original: get|method|name , predicted 1st: get|method|name
Original: print|single|distribution|data , predicted 1st: print
Original: r , predicted 1st: 
Original: id , predicted 1st: add
Original: remove|token|master|key , predicted 1st: remove|state
Original: get|cluster|metrics , predicted 1st: get|cluster|cluster
Original: get|protocol|version , predicted 1st: get|protocol|protocol
Original: init|storage , predicted 1st: set|configuration
Original: get|application|id , predicted 1st: get|application|id
Original: set|permission , predicted 1st: do|validate
Original: convert|to|proto|format , predicted 1st: get
Original: get|units , predicted 1st: get|name|name
Original: print|distribution|set , predicted 1st: print
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: make|absolute , predicted 1st: create|path
Original: init|local|application|attempts|list , predicted 1st: run
Original: wait|for , predicted 1st: wait|for|wait
Original: value , predicted 1st: add
Original: bq , predicted 1st: 
Original: b , predicted 1st: foo
Original: height , predicted 1st: add
Original: br , predicted 1st: set|selector
Original: read|fields , predicted 1st: read
Original: get|replication , predicted 1st: get|block
Original: get|job|counters , predicted 1st: get|job|info
Original: get|tmax , predicted 1st: get
Original: label , predicted 1st: add
Original: src , predicted 1st: add
Original: get|output|records , predicted 1st: get|output|output
Original: open , predicted 1st: do|get|data
Original: class , predicted 1st: add
Original: echo , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test|remove
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: set|replication , predicted 1st: do|process
Original: set|container|list , predicted 1st: set|container
Original: get|all|file|info , predicted 1st: get|cache
Original: cancel|delegation|token , predicted 1st: token|token
Original: main , predicted 1st: main
Original: init|application|types , predicted 1st: set|application|types
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add
Original: generate|record , predicted 1st: get|byte
Original: get|proxyuser|configuration , predicted 1st: get|config
Original: del , predicted 1st: fun
Original: get|home|directory , predicted 1st: get|path
Original: create|url , predicted 1st: to|x|string
Original: fixed|bytes , predicted 1st: get|fixed|bytes
Original: release|and|rethrow , predicted 1st: release
Original: set|task|report , predicted 1st: set|report|report
Original: close|storage , predicted 1st: close
Original: get|underlying|counter , predicted 1st: get|wrapped
Original: attempts , predicted 1st: set|wrapped
Original: button , predicted 1st: set|selector
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container
Original: emit|metric , predicted 1st: send
Original: generate|graph|viz , predicted 1st: get|generate
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add
Original: add|internal|servlet , predicted 1st: add
Original: merge|local|to|builder , predicted 1st: set|report|report
Original: get|num|datanodes|in|service , predicted 1st: get|nodes|count
Original: h , predicted 1st: fun
Original: get|parent , predicted 1st: get|parent
Original: open , predicted 1st: do|test
Original: get|delegation|token , predicted 1st: get|token
Original: get|output|bytes , predicted 1st: get|output|bytes
Original: compiled , predicted 1st: get
Original: h , predicted 1st: fun
Original: get|reduce|output|bytes , predicted 1st: get|out
Original: button , predicted 1st: run
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: get|proto , predicted 1st: to
Original: get|configuration , predicted 1st: get|properties
Original: set|ready|to|become|active , predicted 1st: get
Original: rename|internal , predicted 1st: do|rename
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: get|task|report , predicted 1st: get|task
Original: new|instance , predicted 1st: get|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get|long|size
Original: get|file|block|locations , predicted 1st: get|block
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: 
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: process
Original: make|absolute , predicted 1st: get|path
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: id , predicted 1st: add
Original: class , predicted 1st: add
Original: use|logical|uri , predicted 1st: is|uri|uri
Original: maybe|init|builder , predicted 1st: set|up
Original: ol , predicted 1st: set|selector
Original: refresh|loaded|job|cache , predicted 1st: get|refresh|refresh
Original: script , predicted 1st: set|script
Original: object , predicted 1st: object
Original: hr , predicted 1st: set|selector
Original: class , predicted 1st: add
Original: set|units , predicted 1st: set
Original: is|local|mr , predicted 1st: is|local|local
Original: id , predicted 1st: add
Original: refresh|loaded|job|cache , predicted 1st: refresh|cache|cache|cache
Original: id , predicted 1st: add
Original: rel , predicted 1st: add|value
Original: compare|seed , predicted 1st: get|size|size
Original: get|scheme , predicted 1st: get|name
Original: do|health|checks , predicted 1st: run
Original: get|hadoop|proxy|user|groups , predicted 1st: get|groups
Original: get|container|report , predicted 1st: get|report|container
Original: register , predicted 1st: update
Original: close , predicted 1st: run|thread
Original: init|queues , predicted 1st: set|up
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: get|file|status , predicted 1st: get|status
Original: label , predicted 1st: fun
Original: b , predicted 1st: fun
Original: log|success , predicted 1st: log|success
Original: conf|table|init , predicted 1st: get|name
Original: textarea , predicted 1st: get
Original: start , predicted 1st: do|get
Original: parse|selector , predicted 1st: get
Original: get , predicted 1st: get|server
Original: close|storage , predicted 1st: close
Original: rename , predicted 1st: do|rename
Original: pre|head , predicted 1st: set|up
Original: emit|metric , predicted 1st: send
Original: read , predicted 1st: read
Original: load|tokens , predicted 1st: get|token|tokens
Original: validate|task|memory|limits , predicted 1st: check|max
Original: img , predicted 1st: get
Original: set|state|internal , predicted 1st: execute
Original: is|element , predicted 1st: is|valid
Original: get|expected|output , predicted 1st: get|output
Original: print|usage , predicted 1st: run
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|annotated|classes
Original: h , predicted 1st: fun
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: to
Original: set|spec , predicted 1st: set
Original: put|metrics , predicted 1st: to|xml
Original: main , predicted 1st: main
Original: start|threads , predicted 1st: start|start|start
Original: small , predicted 1st: small
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add
Original: find|timestamped|directories , predicted 1st: start
Original: get|child|file|systems , predicted 1st: get|system|file
Original: can|parse , predicted 1st: is|input
Original: small , predicted 1st: fun
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: run
Original: table , predicted 1st: get|table
Original: id , predicted 1st: add
Original: generate|ascii|record , predicted 1st: set
Original: abbr , predicted 1st: fun
Original: multiple , predicted 1st: add
Original: name , predicted 1st: add
Original: get|server|defaults , predicted 1st: get|server|server|server
Original: set|conf , predicted 1st: set|user|name
Original: get|x|attr , predicted 1st: get|uri
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: foo
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set|filter|filter
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application
Original: id , predicted 1st: get
Original: usage , predicted 1st: test
Original: cite , predicted 1st: fun
Original: archive|path , predicted 1st: get|parent
Original: class , predicted 1st: add
Original: disabled , predicted 1st: get
Original: get|read|statistics , predicted 1st: get|read|read|read|read
Original: get|not|ready|reason , predicted 1st: get|not|ready
Original: check|health , predicted 1st: test|get
Original: print|usage , predicted 1st: new|log
Original: run , predicted 1st: get|input
Original: h , predicted 1st: foo
Original: get|capacity|used|non|dfs , predicted 1st: get|non|non|non|non|non
Original: init|lut , predicted 1st: do|inline
Original: class , predicted 1st: add
Original: rename|internal , predicted 1st: do|rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: get|info
Original: get|job|id , predicted 1st: get|job|id
Original: opt , predicted 1st: add
Original: get|capacity|total , predicted 1st: get|total|threads
Original: set|finish|range , predicted 1st: set|end
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: set|up
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: read|from
Original: get|task|report|count , predicted 1st: get|size
Original: about , predicted 1st: test
Original: decode|file|name , predicted 1st: get|version
Original: get|capacity|used , predicted 1st: get
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: handle
Original: maxlength , predicted 1st: add
Original: main , predicted 1st: main
Original: process|general|options , predicted 1st: parse
Original: next|event , predicted 1st: get|event
Original: is|empty|local|name , predicted 1st: is
Original: get|type|name , predicted 1st: get|type|name
Original: get|x|attrs , predicted 1st: get|path
Original: get|size , predicted 1st: get|size|size
Original: new|instance , predicted 1st: new|response
Original: test|existing|user , predicted 1st: test|get|user|name
Original: ol , predicted 1st: get
Original: check|access , predicted 1st: has|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: fun
Original: content , predicted 1st: get|sub|class
Original: enforce|root|path , predicted 1st: assert|path
Original: id , predicted 1st: add
Original: indent , predicted 1st: do|inline
Original: sort , predicted 1st: run
Original: id , predicted 1st: add
Original: h , predicted 1st: foo
Original: build|token|service|for|logical|uri , predicted 1st: get|build|text
Original: run , predicted 1st: get|error
Original: emit|record , predicted 1st: get
Original: onblur , predicted 1st: add
Original: initialize|web|server , predicted 1st: get|request
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: get|finish|range , predicted 1st: get
Original: get|include|child|queues , predicted 1st: has|child|child
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read
Original: create|internal , predicted 1st: create|output|stream
Original: service|init , predicted 1st: start
Original: ins , predicted 1st: get
Original: remove|x|attr , predicted 1st: do|execute
Original: init|diagnostics , predicted 1st: test
Original: onkeyup , predicted 1st: add
Original: is|healthy , predicted 1st: do|get
Original: init|local|queue|user|acls|list , predicted 1st: test
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: get|remaining|args , predicted 1st: get|args
Original: test|raw|x|attrs , predicted 1st: test|access
Original: run , predicted 1st: test|access|access|access
Original: run , predicted 1st: test|access
Original: get|proto , predicted 1st: to
Original: get|cache|used , predicted 1st: get|cache|cache
Original: get|group , predicted 1st: get|group
Original: remove|default|acl , predicted 1st: do|validate
Original: add|directory|to|job|list|cache , predicted 1st: get|cache|info
Original: is|method|supported , predicted 1st: is|refresh
Original: set|x|attr , predicted 1st: set|attribute
Original: init|failed|requests , predicted 1st: test|failed|from|format
Original: delete|job|from|done , predicted 1st: delete
Original: conf|post|table|init , predicted 1st: get|test
Original: get|wrapped|stream , predicted 1st: get|in|stream
Original: new|node , predicted 1st: create|node
Original: new|instance , predicted 1st: new|response
Original: class , predicted 1st: add
Original: height , predicted 1st: add
Original: name , predicted 1st: add
Original: set|state , predicted 1st: check|exception
Original: set|scope , predicted 1st: set|scope
Original: assert|value|within|range , predicted 1st: assert|in|range
Original: confirm|force|manual , predicted 1st: test
Original: complete|local|output , predicted 1st: do|refresh
Original: copy|from|local|file , predicted 1st: set|path
Original: h , predicted 1st: set|selector
Original: sup , predicted 1st: fun
Original: needs|escaping , predicted 1st: is|script
Original: set|excludes|file , predicted 1st: set|file|excludes
Original: get|distribution , predicted 1st: get
Original: b , predicted 1st: fun
Original: read , predicted 1st: read
Original: kbd , predicted 1st: fun
Original: release , predicted 1st: close
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|path
Original: add|protocol , predicted 1st: execute
Original: maybe|uncompressed|path , predicted 1st: create|reader
Original: get|token|path , predicted 1st: get|path
Original: rowspan , predicted 1st: add
Original: check|paths , predicted 1st: set|path
Original: get|proto , predicted 1st: to
Original: initialize , predicted 1st: parse
Original: img , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set|request
Original: accept , predicted 1st: add
Original: size , predicted 1st: add
Original: get|server|defaults , predicted 1st: create|default|server
Original: clear , predicted 1st: method
Original: class , predicted 1st: add
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|auth|auth
Original: run , predicted 1st: token
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|view|class
Original: load|state , predicted 1st: get|state|state
Original: form , predicted 1st: get
Original: samp , predicted 1st: set|selector
Original: sup , predicted 1st: fun
Original: add|fencing|parameters , predicted 1st: add|key
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: test
Original: write , predicted 1st: to|bytes
Original: get|name , predicted 1st: get|name
Original: is|token|for|logical|uri , predicted 1st: is|prefix
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|sub|view
Original: transition|to|standby , predicted 1st: run
Original: set|retain|days , predicted 1st: set|days
Original: render , predicted 1st: run
Original: list|status , predicted 1st: get
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add
Original: accesskey , predicted 1st: add
Original: run , predicted 1st: get|task
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: get|request|request
Original: datetime , predicted 1st: add
Original: print|usage , predicted 1st: print
Original: add|default|servlets , predicted 1st: test|get|servlet
Original: bdo , predicted 1st: fun
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add
Original: init , predicted 1st: init
Original: init|file|system , predicted 1st: set|up
Original: id , predicted 1st: add
Original: new|instance , predicted 1st: new|response
Original: clear|space|quota , predicted 1st: set
Original: maybe|init|builder , predicted 1st: set|up
Original: h , predicted 1st: foo
Original: code , predicted 1st: get|code
Original: is|because|safe|mode , predicted 1st: is|exception|exception|exception
Original: graceful|failover|through|zkf|cs , predicted 1st: get|to|timeout
Original: set|job|id , predicted 1st: set|job|id
Original: init|cluster , predicted 1st: do|execute
Original: create|output|stream , predicted 1st: get|output|stream
Original: get|volume|indexes , predicted 1st: get|indexes
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait
Original: initialize|hadoop|logs|analyzer , predicted 1st: do|test
Original: parse|counter , predicted 1st: get|group|name
Original: wrap|safe|string , predicted 1st: get|label
Original: q , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|report
Original: monitor|health , predicted 1st: check|exception
Original: do|filter , predicted 1st: do|filter
Original: class , predicted 1st: add
Original: get|job|id , predicted 1st: get|job|id
Original: merge|local|to|builder , predicted 1st: set|queue|info
Original: new|instance , predicted 1st: get|user|info
Original: class , predicted 1st: add
Original: get , predicted 1st: get
Original: run , predicted 1st: get
Original: store|token , predicted 1st: set|token|token
Original: id , predicted 1st: add
Original: test|set|x|attr , predicted 1st: test|remove
Original: set|finish|range , predicted 1st: set|range
Original: create|direct|decompressor , predicted 1st: get
Original: pkg|name , predicted 1st: get|default
Original: get|symlink , predicted 1st: get|string
Original: init , predicted 1st: copy
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add
Original: get|file|status , predicted 1st: get|status
Original: ins , predicted 1st: fun
Original: create|cluster , predicted 1st: test|cluster
Original: disabled , predicted 1st: get
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create
Original: write|dist|cache|data , predicted 1st: test|data|cache
Original: try|creating|history|dirs , predicted 1st: get|history
Original: get|node|reports , predicted 1st: get|node|node
Original: set|space|quota , predicted 1st: set
Original: h , predicted 1st: set|selector
Original: get|proto , predicted 1st: get
Original: setup , predicted 1st: test
Original: class , predicted 1st: add
Original: h , predicted 1st: foo
Original: refresh|user|to|groups|mappings , predicted 1st: run
Original: convert , predicted 1st: get|request|state
Original: init , predicted 1st: init
Original: id , predicted 1st: add
Original: get|proto , predicted 1st: to
Original: set|acl , predicted 1st: do|validate
Original: dfn , predicted 1st: 
Original: test|no|user|given , predicted 1st: test|get|user|user
Original: close|storage , predicted 1st: close
Original: sub , predicted 1st: set|selector
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: get|new|blocks
Original: get|job|summary , predicted 1st: open
Original: class , predicted 1st: add
Original: transition|to|active , predicted 1st: run
Original: scan|directory , predicted 1st: get|status|status
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|channel|channel
Original: incorporate|counters , predicted 1st: set|up
Original: set , predicted 1st: set|read|read
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|read|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input|map
Original: set , predicted 1st: set|output|bytes
Original: set , predicted 1st: set|output|records
Original: set , predicted 1st: set|input|input
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|memory
Original: set , predicted 1st: set|up
Original: cancel|delegation|token , predicted 1st: cancel|token
Original: create|success|log , predicted 1st: add
Original: load|token|state , predicted 1st: load|state
Original: set|owner , predicted 1st: set|owner
Original: usemap , predicted 1st: add
Original: new|instance , predicted 1st: get|request
Original: get|job , predicted 1st: get|job
Original: main , predicted 1st: main
Original: initialize , predicted 1st: set|host
Original: create|x|attr|names , predicted 1st: get|names
Original: get|percent|block|pool|used , predicted 1st: get|total
Original: get|task|logs|url , predicted 1st: get|task|log|log
Original: set|users , predicted 1st: set|users
Original: tabindex , predicted 1st: add
Original: class , predicted 1st: add
Original: set|container|statuses , predicted 1st: set|container
Original: build|splits , predicted 1st: set|input|dir
Original: class , predicted 1st: add
Original: h , predicted 1st: foo
Original: onchange , predicted 1st: add
Original: merge|local|to|builder , predicted 1st: init
Original: apply , predicted 1st: convert
Original: id , predicted 1st: add
Original: checked , predicted 1st: add
Original: class , predicted 1st: add
Original: get|proto , predicted 1st: to
Original: compile , predicted 1st: compile
Original: monitor|health , predicted 1st: run
Original: a , predicted 1st: a
Original: id , predicted 1st: add
Original: class , predicted 1st: add
Original: get|file|id , predicted 1st: get|file|id
Original: set|queues , predicted 1st: set
Original: destroy , predicted 1st: destroy
Original: make|qualified , predicted 1st: get|path
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh|log|log
Original: process|task|line , predicted 1st: get|task
Original: get|hadoop|users , predicted 1st: get|user|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: pattern
Original: delete , predicted 1st: delete
Original: make|big|integer , predicted 1st: get|big|integer
Original: renew|delegation|token , predicted 1st: token|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: is|ha|enabled , predicted 1st: is
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: get|gradle|user|protocol
Original: get|node , predicted 1st: node|node
Original: set|selector , predicted 1st: parse
Original: create|io|exception , predicted 1st: read
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: hr , predicted 1st: get
Original: set|permission , predicted 1st: set|permission
Original: add|completion|event , predicted 1st: before|completion|completion
Original: select , predicted 1st: set|selector
Original: unique|sequence|id , predicted 1st: get|sequence
Original: get|uri|default|port , predicted 1st: get|default|port
Original: initialize , predicted 1st: do|create
Original: is|ready|to|become|active , predicted 1st: is|active|to|active
Original: root , predicted 1st: create
Original: expand|leftmost , predicted 1st: get|text
Original: create|file|system , predicted 1st: get|file
Original: refresh , predicted 1st: execute
Original: task|counters , predicted 1st: task|task
Original: parse|opts , predicted 1st: parse
Original: init|storage , predicted 1st: load
Original: id , predicted 1st: add
Original: get|proto , predicted 1st: get
Original: upload|data , predicted 1st: get|http|stream
Original: get|proto , predicted 1st: to
Original: get|includes , predicted 1st: get|includes
Original: get|application|attempt|id , predicted 1st: get|application|id
Original: sub , predicted 1st: fun
Original: span , predicted 1st: fun
Original: pre|head , predicted 1st: set|up
Original: id , predicted 1st: add
Original: stop|threads , predicted 1st: stop
Original: get|address|of|active , predicted 1st: get|server|server
Original: h , predicted 1st: set|selector
Original: failover , predicted 1st: test
Original: href , predicted 1st: add
Original: main , predicted 1st: run
Original: remove|acl , predicted 1st: remove
Original: mkdir , predicted 1st: create|parent
Original: class , predicted 1st: add
Original: root , predicted 1st: root
Original: pre|head , predicted 1st: set|up
Original: mkdir , predicted 1st: set|file
Original: about|page , predicted 1st: get|model|class
Original: seek , predicted 1st: do|read
