Original: new|accept|charset , predicted 1st: new|add
Original: new|loop|until|connected , predicted 1st: new|test
Original: class , predicted 1st: new|add|add
Original: new|get|content|summary , predicted 1st: new|get|content
Original: new|get|usage|string , predicted 1st: new|get
Original: new|name , predicted 1st: new|add
Original: new|conf|page , predicted 1st: new|get|model
Original: new|id , predicted 1st: new|add
Original: new|hash , predicted 1st: new|new
Original: new|task|page , predicted 1st: new|get|task
Original: new|run , predicted 1st: new|get|user|user
Original: new|map , predicted 1st: new|get|map
Original: new|kbd , predicted 1st: new|set
Original: new|get|proto , predicted 1st: new|get
Original: new|get|job|types , predicted 1st: new|get|values
Original: new|resolved|address|from|datanode|id , predicted 1st: new|get
Original: new|convert|to|proto|format , predicted 1st: new|get|task
Original: new|get|current|block|replication , predicted 1st: new|get
Original: new|onmouseout , predicted 1st: new|add
Original: new|configure|high|ram|properties , predicted 1st: new|set|task
Original: new|q , predicted 1st: new|get
Original: new|maybe|init|builder , predicted 1st: new|set|up
Original: new|get|application|types , predicted 1st: new|get|type
Original: new|get|volume|ids , predicted 1st: new|get
Original: new|set|replication , predicted 1st: new|is
Original: new|remove|task|report , predicted 1st: new|remove
Original: new|publish|data|statistics , predicted 1st: new|get|data
Original: new|set|application|states , predicted 1st: new|set|connection
Original: new|get|job , predicted 1st: new|get
Original: new|scan|directory|for|history|files , predicted 1st: new|get|file
Original: new|set|value , predicted 1st: new|set|value
Original: new|value , predicted 1st: new|add|value
Original: new|get|proto , predicted 1st: new|get
Original: new|set|times , predicted 1st: new|test
Original: new|pack , predicted 1st: new|add
Original: new|get|file|checksum , predicted 1st: new|get|file
Original: new|a , predicted 1st: new
Original: new|user|has|administrator|access , predicted 1st: new|is|user
Original: new|set , predicted 1st: new|get
Original: new|get|scheme , predicted 1st: new|get|name
Original: new|maybe|init|builder , predicted 1st: new|set|up
Original: new|find|or|make|emitter , predicted 1st: new|get|result
Original: new|get|method|name , predicted 1st: new|get|method|name
Original: new|print|single|distribution|data , predicted 1st: new|test
Original: new|r , predicted 1st: new|get
Original: new|print|distribution|set , predicted 1st: new|set
Original: new|get|cluster|metrics , predicted 1st: new|get|failure
Original: new|init|storage , predicted 1st: new|set
Original: new|id , predicted 1st: new|add
Original: new|get|protocol|version , predicted 1st: new|get|version
Original: new|remove|token|master|key , predicted 1st: new|remove
Original: new|get|units , predicted 1st: new|get
Original: new|convert|to|proto|format , predicted 1st: new|get
Original: new|get|application|id , predicted 1st: new|get|id
Original: new|read|fields , predicted 1st: new|read
Original: new|set|permission , predicted 1st: new|test
Original: new|wait|for , predicted 1st: new|test|on
Original: new|merge|local|to|builder , predicted 1st: new|set|id
Original: new|get|default|block|size , predicted 1st: new|get|default|default|default
Original: new|make|absolute , predicted 1st: new|get|path
Original: new|value , predicted 1st: new|add|value
Original: new|bq , predicted 1st: new
Original: new|b , predicted 1st: new|get
Original: new|init|local|application|attempts|list , predicted 1st: new|test|get
Original: new|height , predicted 1st: new|add
Original: new|br , predicted 1st: new|set
Original: new|get|replication , predicted 1st: new|get|block
Original: new|get|job|counters , predicted 1st: new|get|info
Original: new|get|tmax , predicted 1st: new|get
Original: new|label , predicted 1st: new|add|value
Original: new|src , predicted 1st: new|add
Original: new|get|output|records , predicted 1st: new|get
Original: new|test|remove|x|attr|permissions , predicted 1st: new|test
Original: run , predicted 1st: test|remove
Original: run , predicted 1st: test|remove
Original: run , predicted 1st: test|remove
Original: run , predicted 1st: test|remove
Original: run , predicted 1st: test|remove
Original: run , predicted 1st: test|remove
Original: new|open , predicted 1st: new|test|response
Original: new|set|replication , predicted 1st: new|test|parse
Original: class , predicted 1st: new|add|add
Original: new|set|container|list , predicted 1st: new|set|list
Original: new|cancel|delegation|token , predicted 1st: new|start
Original: new|get|all|file|info , predicted 1st: new|get|cache
Original: new|echo , predicted 1st: new|get
Original: new|main , predicted 1st: new|write
Original: new|init|application|types , predicted 1st: new|set|type
Original: new|sup , predicted 1st: new|set
Original: new|id , predicted 1st: new|add
Original: new|get|proxyuser|configuration , predicted 1st: new|get
Original: new|get|home|directory , predicted 1st: new|parse
Original: new|del , predicted 1st: new|get
Original: new|create|url , predicted 1st: new|get|url
Original: new|release|and|rethrow , predicted 1st: new|set
Original: new|generate|record , predicted 1st: new|get
Original: new|fixed|bytes , predicted 1st: new|get|size
Original: new|set|task|report , predicted 1st: new|set|task|task
Original: new|close|storage , predicted 1st: new|set|up
Original: new|get|underlying|counter , predicted 1st: new|get
Original: new|button , predicted 1st: new|set
Original: new|usemap , predicted 1st: new|add
Original: new|attempts , predicted 1st: new|test
Original: new|generate|graph|viz , predicted 1st: new|test|new|new|new
Original: new|job|page , predicted 1st: new|get|model
Original: new|get|container|statuses , predicted 1st: new|get|parent
Original: new|id , predicted 1st: new|add
Original: new|add|internal|servlet , predicted 1st: new|add
Original: new|merge|local|to|builder , predicted 1st: new|set
Original: new|open , predicted 1st: new|get|data
Original: new|get|num|datanodes|in|service , predicted 1st: new|get|icon
Original: new|emit|metric , predicted 1st: new|test
Original: new|h , predicted 1st: new|get
Original: new|get|parent , predicted 1st: new|get|parent
Original: new|get|configuration , predicted 1st: new|get
Original: new|h , predicted 1st: new|get
Original: new|get|delegation|token , predicted 1st: new|get|token
Original: new|get|proto , predicted 1st: new|get
Original: new|get|output|bytes , predicted 1st: new|get
Original: new|button , predicted 1st: new
Original: new|compiled , predicted 1st: new|get
Original: new|get|len , predicted 1st: new|get
Original: new|start , predicted 1st: new|test
Original: new|set|ready|to|become|active , predicted 1st: new|get
Original: new|get|reduce|output|bytes , predicted 1st: new|get
Original: new|rename|internal , predicted 1st: new|test
Original: new|init , predicted 1st: new|test|is|empty
Original: new|get|map|count , predicted 1st: new|get
Original: new|new|instance , predicted 1st: new|get|response
Original: new|mask|seed , predicted 1st: new|get
Original: new|has|wildcard , predicted 1st: new|is
Original: new|get|task|report , predicted 1st: new|get|task
Original: new|onselect , predicted 1st: new|add
Original: new|counters|page , predicted 1st: new|get|model
Original: new|br , predicted 1st: new|get
Original: new|shutdown|cluster , predicted 1st: new|test
Original: new|get|file|block|locations , predicted 1st: new|create
Original: new|make|absolute , predicted 1st: new|get|path
Original: new|call , predicted 1st: new|test
Original: run , predicted 1st: get|data
Original: new|id , predicted 1st: new|add
Original: new|scan|old|dirs|for|job , predicted 1st: new|get|file|info
Original: class , predicted 1st: new|add
Original: new|emitter|core , predicted 1st: new|remove
Original: new|use|logical|uri , predicted 1st: new|is|valid
Original: new|ol , predicted 1st: new|set|set
Original: new|script , predicted 1st: new|set
Original: new|hr , predicted 1st: new|set
Original: new|object , predicted 1st: new|get
Original: new|maybe|init|builder , predicted 1st: new|set|up
Original: class , predicted 1st: new|add
Original: new|set|units , predicted 1st: new|set
Original: new|refresh|loaded|job|cache , predicted 1st: new|get|user
Original: new|is|local|mr , predicted 1st: new|is
Original: new|refresh|loaded|job|cache , predicted 1st: new|cache|cache
Original: new|id , predicted 1st: new|add
Original: new|id , predicted 1st: new|add
Original: new|rel , predicted 1st: new|add|value
Original: new|get|scheme , predicted 1st: new|get|name
Original: new|compare|seed , predicted 1st: get|size
Original: new|get|hadoop|proxy|user|groups , predicted 1st: new|get|property
Original: new|register , predicted 1st: new|add
Original: new|do|health|checks , predicted 1st: new|test|on|after
Original: new|close , predicted 1st: new|test
Original: new|get|container|report , predicted 1st: new|get
Original: new|is|auto|failover|enabled , predicted 1st: new|is
Original: new|set|max|events , predicted 1st: new|set|max|max|max
Original: new|init|queues , predicted 1st: new|set|all
Original: new|label , predicted 1st: new|get
Original: new|b , predicted 1st: new
Original: new|log|success , predicted 1st: new|set
Original: new|get|file|status , predicted 1st: new|get|file
Original: new|conf|table|init , predicted 1st: new|get|string
Original: new|textarea , predicted 1st: new|get
Original: new|get , predicted 1st: new|get|server|server
Original: new|close|storage , predicted 1st: new|set|up
Original: new|pre|head , predicted 1st: new|set
Original: new|parse|selector , predicted 1st: new|get
Original: new|rename , predicted 1st: new|add
Original: new|emit|metric , predicted 1st: new|test
Original: new|print|usage , predicted 1st: new|get|user|user|user
Original: new|read , predicted 1st: new|read
Original: new|load|tokens , predicted 1st: new|get
Original: new|validate|task|memory|limits , predicted 1st: new|check
Original: new|img , predicted 1st: new|get
Original: new|is|element , predicted 1st: new|is
Original: new|get|expected|output , predicted 1st: new|get|user
Original: new|set|state|internal , predicted 1st: new|start
Original: new|get|children|num , predicted 1st: new|get|children
Original: new|put|metrics , predicted 1st: new|get
Original: new|h , predicted 1st: new|get
Original: new|get|owner , predicted 1st: new|get
Original: new|get|proto , predicted 1st: new|get
Original: new|generate|ascii|record , predicted 1st: new|set
Original: new|get|filter|initializers , predicted 1st: new|get
Original: new|main , predicted 1st: new|test
Original: new|start|threads , predicted 1st: new|test|start
Original: new|small , predicted 1st: new|get
Original: new|set|spec , predicted 1st: new|set
Original: new|add|unmanaged|listener , predicted 1st: new|add
Original: new|can|parse , predicted 1st: new|read
Original: new|get|child|file|systems , predicted 1st: new|get
Original: new|find|timestamped|directories , predicted 1st: new|get|list
Original: new|accesskey , predicted 1st: new|add
Original: new|list|status , predicted 1st: new|get|status
Original: new|small , predicted 1st: new|get
Original: new|table , predicted 1st: new|get|table
Original: new|id , predicted 1st: new|add
Original: new|heartbeat|check , predicted 1st: new|set
Original: new|abbr , predicted 1st: new|get
Original: new|set|conf , predicted 1st: new|set|name
Original: new|multiple , predicted 1st: new|add
Original: new|get|server|defaults , predicted 1st: new|get|up
Original: new|name , predicted 1st: new|add
Original: new|get|x|attr , predicted 1st: new|get
Original: new|shutdown , predicted 1st: new|test
Original: new|h , predicted 1st: new|get
Original: new|get|value , predicted 1st: new|get|value
Original: new|add|filter|path|mapping , predicted 1st: new|add|filter
Original: new|destroy|file|systems , predicted 1st: new|test
Original: new|print|attr , predicted 1st: new|set|name
Original: new|get|application|list , predicted 1st: new|get|list
Original: new|id , predicted 1st: new|get
Original: new|archive|path , predicted 1st: new|get|path
Original: new|cite , predicted 1st: new|get
Original: new|usage , predicted 1st: new|test
Original: class , predicted 1st: new|add|add
Original: new|disabled , predicted 1st: new|add
Original: new|get|read|statistics , predicted 1st: new|get|read
Original: new|check|health , predicted 1st: new|get
Original: new|get|not|ready|reason , predicted 1st: new|get|not|not|not
Original: new|print|usage , predicted 1st: new|get
Original: new|run , predicted 1st: new|test
Original: new|h , predicted 1st: new|get
Original: new|init|lut , predicted 1st: new|add
Original: new|get|capacity|used|non|dfs , predicted 1st: new|get
Original: class , predicted 1st: new|add|add
Original: new|rename|internal , predicted 1st: new|set
Original: new|get|hadoop|proxy|user|hosts , predicted 1st: new|get|property
Original: new|opt , predicted 1st: new|add
Original: new|convert|from|proto|format , predicted 1st: new|get
Original: new|get|job|id , predicted 1st: new|get|id
Original: new|set|finish|range , predicted 1st: new|set
Original: new|get|capacity|total , predicted 1st: new|get
Original: new|cite , predicted 1st: new|add
Original: new|process|general|options , predicted 1st: new|get
Original: new|get|cache|capacity , predicted 1st: new|get|cache
Original: new|hash , predicted 1st: new|new|new
Original: new|print|usage , predicted 1st: new|get
Original: new|read|file , predicted 1st: new|get
Original: new|get|task|report|count , predicted 1st: new|get|task
Original: new|pre|head , predicted 1st: new|set
Original: new|about , predicted 1st: new|test
Original: new|get|capacity|used , predicted 1st: new|get
Original: new|decode|file|name , predicted 1st: new|get|version
Original: new|read|fields , predicted 1st: new|read
Original: new|emit|metric , predicted 1st: new|set|string
Original: new|maxlength , predicted 1st: new|add
Original: new|main , predicted 1st: new|set
Original: new|test|existing|user , predicted 1st: new|test|get|user
Original: new|get|type|name , predicted 1st: new|get|name
Original: new|is|empty|local|name , predicted 1st: new|is
Original: new|get|x|attrs , predicted 1st: new|get
Original: new|get|size , predicted 1st: new|get|size
Original: new|new|instance , predicted 1st: new|get|response
Original: new|ol , predicted 1st: new|get
Original: new|check|access , predicted 1st: new|set
Original: new|counter , predicted 1st: new|set
Original: new|i , predicted 1st: new|get
Original: new|content , predicted 1st: new|get
Original: new|next|event , predicted 1st: new|get
Original: new|enforce|root|path , predicted 1st: new|get|path
Original: new|indent , predicted 1st: new|set
Original: new|id , predicted 1st: new|add
Original: new|initialize|web|server , predicted 1st: new|add|filter
Original: new|sort , predicted 1st: new|test
Original: new|id , predicted 1st: new|add
Original: new|h , predicted 1st: new|test
Original: new|build|token|service|for|logical|uri , predicted 1st: new|get|error
Original: new|onblur , predicted 1st: new|add
Original: new|run , predicted 1st: new|do|new
Original: new|check|manual|state|management|ok , predicted 1st: new|is|enabled|enabled
Original: new|get|finish|range , predicted 1st: new|get
Original: new|service|init , predicted 1st: new|execute
Original: new|get|include|child|queues , predicted 1st: new|is|child
Original: new|emit|record , predicted 1st: new|get|name
Original: new|set|compressibility , predicted 1st: new|set
Original: new|create|internal , predicted 1st: new|create
Original: new|remove|x|attr , predicted 1st: new|test
Original: new|ins , predicted 1st: new|get
Original: new|read , predicted 1st: new|read
Original: new|init|diagnostics , predicted 1st: new|set
Original: new|onkeyup , predicted 1st: new|add
Original: new|add|directory|to|job|list|cache , predicted 1st: new|add|file
Original: new|is|healthy , predicted 1st: new|get
Original: new|start , predicted 1st: new|start
Original: new|unread|counted|line , predicted 1st: new|set
Original: new|get|remaining|args , predicted 1st: new|get|line
Original: new|init|local|queue|user|acls|list , predicted 1st: new|test|list
Original: new|get|cache|used , predicted 1st: new|get|cache
Original: new|get|proto , predicted 1st: new|get
Original: new|get|group , predicted 1st: new|get|group
Original: new|remove|default|acl , predicted 1st: new|test
Original: new|init|failed|requests , predicted 1st: new|test|from|from
Original: new|is|method|supported , predicted 1st: new|is|method
Original: new|set|x|attr , predicted 1st: new|set|value
Original: new|new|node , predicted 1st: new|add
Original: new|conf|post|table|init , predicted 1st: new|test|test|path
Original: new|test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: test|get
Original: run , predicted 1st: test|get
Original: new|delete|job|from|done , predicted 1st: new|delete|file
Original: new|get|wrapped|stream , predicted 1st: new|get|in|in
Original: new|new|instance , predicted 1st: new|set|response
Original: class , predicted 1st: new|add|add
Original: new|set|state , predicted 1st: new|set
Original: new|height , predicted 1st: new|add
Original: new|set|scope , predicted 1st: new|set|scope
Original: new|assert|value|within|range , predicted 1st: new|assert
Original: new|name , predicted 1st: new|add
Original: new|confirm|force|manual , predicted 1st: new|test
Original: new|complete|local|output , predicted 1st: new|set|file
Original: new|h , predicted 1st: new|set
Original: new|needs|escaping , predicted 1st: new|is|name
Original: new|get|distribution , predicted 1st: new|get
Original: new|copy|from|local|file , predicted 1st: new|set
Original: new|set|excludes|file , predicted 1st: new|set|file
Original: new|sup , predicted 1st: new
Original: new|b , predicted 1st: new|get
Original: new|read , predicted 1st: new|read
Original: new|kbd , predicted 1st: new|get
Original: new|release , predicted 1st: new|is
Original: new|get|scale , predicted 1st: new|get
Original: new|initialize|hadoop|logs|analyzer , predicted 1st: get|file
Original: new|validate|files , predicted 1st: new|get|file
Original: new|add|protocol , predicted 1st: new|add
Original: new|get|token|path , predicted 1st: new|get|path
Original: new|run , predicted 1st: test
Original: new|rowspan , predicted 1st: new|add
Original: new|check|paths , predicted 1st: new|get|file
Original: new|maybe|init|builder , predicted 1st: new|set|up
Original: new|img , predicted 1st: new|get
Original: new|get|proto , predicted 1st: new|get
Original: new|maybe|uncompressed|path , predicted 1st: new|get
Original: new|size , predicted 1st: new|add
Original: new|accept , predicted 1st: new|add
Original: new|clear , predicted 1st: new|set
Original: class , predicted 1st: new|add|add
Original: new|get|server|defaults , predicted 1st: new|get|default|default
Original: new|renew|delegation|token , predicted 1st: new|read
Original: run , predicted 1st: get|url
Original: new|style , predicted 1st: new|add
Original: new|shape , predicted 1st: new|add
Original: new|initialize , predicted 1st: new|get|file
Original: new|load|state , predicted 1st: new|get|state
Original: new|single|counter|page , predicted 1st: new|get|model
Original: new|form , predicted 1st: new|get
Original: new|cite , predicted 1st: new|get
Original: new|samp , predicted 1st: new|set
Original: new|sup , predicted 1st: new|get
Original: new|nmlogs , predicted 1st: new|test
Original: new|get|datanodes , predicted 1st: new|get
Original: new|get|name , predicted 1st: new|get|name
Original: new|is|token|for|logical|uri , predicted 1st: new|is
Original: new|alt , predicted 1st: new|add
Original: new|write , predicted 1st: new|write
Original: new|content , predicted 1st: new|get
Original: new|set|retain|days , predicted 1st: new|set
Original: new|add|fencing|parameters , predicted 1st: new|set
Original: new|transition|to|standby , predicted 1st: new|set|state
Original: new|name , predicted 1st: new|add
Original: new|accesskey , predicted 1st: new|add
Original: new|onblur , predicted 1st: new|add
Original: new|list|status , predicted 1st: new|get|file
Original: new|q , predicted 1st: new|get
Original: new|render , predicted 1st: new|test
Original: new|init , predicted 1st: new|add|property
Original: new|new|instance , predicted 1st: new|set|child
Original: new|datetime , predicted 1st: new|add
Original: new|bdo , predicted 1st: new|get
Original: new|print|usage , predicted 1st: new|test
Original: new|id , predicted 1st: new|add
Original: new|init|file|system , predicted 1st: new|set|up
Original: new|get|queues , predicted 1st: new|get
Original: new|add|default|servlets , predicted 1st: new|add
Original: new|graceful|failover|through|zkf|cs , predicted 1st: new|get
Original: new|id , predicted 1st: new|add
Original: new|maybe|init|builder , predicted 1st: new|set|up
Original: new|new|instance , predicted 1st: new|create
Original: new|clear|space|quota , predicted 1st: new|set
Original: new|code , predicted 1st: new|get
Original: new|is|because|safe|mode , predicted 1st: new|is
Original: new|h , predicted 1st: new|get
Original: new|create|output|stream , predicted 1st: new|create
Original: new|get|volume|indexes , predicted 1st: new|get
Original: new|init|cluster , predicted 1st: new|set
Original: new|get , predicted 1st: new|get|info
Original: new|set|job|id , predicted 1st: new|set|id
Original: new|parse|counter , predicted 1st: new|get|group
Original: new|sleep , predicted 1st: new|set
Original: new|q , predicted 1st: new|set
Original: new|wrap|safe|string , predicted 1st: new|get
Original: new|merge|local|to|builder , predicted 1st: new|set|format
Original: new|monitor|health , predicted 1st: new|set|state
Original: new|get|job|id , predicted 1st: new|get|id
Original: class , predicted 1st: new|add|add
Original: new|merge|local|to|builder , predicted 1st: new|set|string
Original: new|do|filter , predicted 1st: new|filter|filter
Original: new|new|instance , predicted 1st: new|get|user
Original: class , predicted 1st: new|add|add
Original: new|get , predicted 1st: new|get
Original: new|run , predicted 1st: new|get|message
Original: new|store|token , predicted 1st: new|get
Original: new|id , predicted 1st: new|add
Original: new|setup , predicted 1st: new|test
Original: new|test|set|x|attr , predicted 1st: new|test
Original: new|create|direct|decompressor , predicted 1st: new|get
Original: new|set|finish|range , predicted 1st: new|set|range
Original: new|get|symlink , predicted 1st: new|get|string
Original: new|init , predicted 1st: new|test
Original: new|pkg|name , predicted 1st: new|get|default
Original: class , predicted 1st: new|add|add
Original: new|clear , predicted 1st: new|clear
Original: new|ins , predicted 1st: new|get
Original: new|get|file|status , predicted 1st: new|get|file
Original: new|disabled , predicted 1st: new|add
Original: new|create|cluster , predicted 1st: new|test|up
Original: new|table , predicted 1st: new|set
Original: new|create|job|submitter , predicted 1st: new|create
Original: new|write|dist|cache|data , predicted 1st: new|test
Original: new|get|node|reports , predicted 1st: new|get|node|list
Original: new|incorporate|counters , predicted 1st: test
Original: set , predicted 1st: set|read
Original: set , predicted 1st: set
Original: set , predicted 1st: set|read|stream
Original: set , predicted 1st: set
Original: set , predicted 1st: set|input|map
Original: set , predicted 1st: set
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|max|map
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|up
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: new|try|creating|history|dirs , predicted 1st: new|get|file
Original: new|get|proto , predicted 1st: new|get
Original: new|h , predicted 1st: new|set
Original: new|set|space|quota , predicted 1st: new|set
Original: new|h , predicted 1st: new|get
Original: class , predicted 1st: new|add|add
Original: new|refresh|user|to|groups|mappings , predicted 1st: new|test|user|user|user|user
Original: new|set|acl , predicted 1st: new|test
Original: new|init , predicted 1st: new|parse
Original: new|id , predicted 1st: new|add
Original: new|test|no|user|given , predicted 1st: new|test|get|user|user
Original: new|get|proto , predicted 1st: new|get
Original: new|sub , predicted 1st: new|set
Original: new|dfn , predicted 1st: new
Original: new|close|storage , predicted 1st: new|set|up
Original: new|get|job|summary , predicted 1st: new|get|file
Original: new|rel , predicted 1st: new|add
Original: new|convert , predicted 1st: new|get|state
Original: new|new|distribution|block , predicted 1st: new|new|new|new|new
Original: class , predicted 1st: new|add|add
Original: new|transition|to|active , predicted 1st: new|set|state
Original: new|load|token|state , predicted 1st: new|test
Original: new|render|partial , predicted 1st: new|test
Original: new|create|base|listener , predicted 1st: new|create|default|default|default
Original: new|cancel|delegation|token , predicted 1st: new|start
Original: new|scan|directory , predicted 1st: new|get|file
