Original: accept|charset , predicted 1st: add|attribute
Original: set|failover|configurations , predicted 1st: add|address
Original: cite , predicted 1st: set|selector
Original: update|token , predicted 1st: set|date|token
Original: id , predicted 1st: add|attribute
Original: hreflang , predicted 1st: add
Original: create , predicted 1st: do|close
Original: close , predicted 1st: close
Original: maybe|init|builder , predicted 1st: do|add
Original: onblur , predicted 1st: add|attribute
Original: new|instance , predicted 1st: get|request
Original: maybe|init|builder , predicted 1st: new|builder
Original: unescape|path|component , predicted 1st: get|name|name
Original: get|client|handler , predicted 1st: get|protocol|protocol
Original: create|file|system , predicted 1st: get|root|root|path
Original: get|reduce|output|records , predicted 1st: get
Original: get|file|status , predicted 1st: get|status
Original: get|summarizer , predicted 1st: get
Original: get|services , predicted 1st: get|services
Original: get|attribute , predicted 1st: get|attribute
Original: h , predicted 1st: 
Original: convert|to|proto|format , predicted 1st: get|task
Original: accept , predicted 1st: add|attribute
Original: samp , predicted 1st: set|selector
Original: refresh|admin|acls , predicted 1st: test|admin
Original: init|local|node|manager|infos|list , predicted 1st: format
Original: maybe|init|builder , predicted 1st: do|run
Original: get|working|directory , predicted 1st: get|home|path
Original: init|local|container|ids , predicted 1st: test|properties|from|from|properties
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: pre , predicted 1st: pre|pre|pre|pre|pre|pre
Original: i , predicted 1st: 
Original: h , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|application|application
Original: set|recursive , predicted 1st: set|recursive
Original: pre|head , predicted 1st: set|up
Original: set|next|directory|input|stream , predicted 1st: read
Original: merge|local|to|builder , predicted 1st: set|cluster|cluster
Original: iterator , predicted 1st: iterator
Original: logs , predicted 1st: test|page
Original: get|content|summary , predicted 1st: get|content|summary
Original: loop|until|connected , predicted 1st: connect
Original: class , predicted 1st: add|attribute
Original: get|usage|string , predicted 1st: get|description
Original: conf|page , predicted 1st: get|model|class
Original: name , predicted 1st: add|attribute
Original: id , predicted 1st: add|attribute
Original: create|x|attr|map , predicted 1st: get|json
Original: hash , predicted 1st: 
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: map
Original: kbd , predicted 1st: set|selector
Original: resolved|address|from|datanode|id , predicted 1st: get|address
Original: get|proto , predicted 1st: build
Original: get|job|types , predicted 1st: get|enum|values
Original: convert|to|proto|format , predicted 1st: get|task
Original: get|current|block|replication , predicted 1st: get|current|block
Original: configure|high|ram|properties , predicted 1st: configure|config
Original: onmouseout , predicted 1st: add|attribute
Original: maybe|init|builder , predicted 1st: do|test
Original: q , predicted 1st: get
Original: get|application|types , predicted 1st: get|application|types
Original: run , predicted 1st: build|code|code
Original: get|volume|ids , predicted 1st: get|ids|ids
Original: remove|task|report , predicted 1st: remove
Original: set|replication , predicted 1st: is|valid
Original: publish|data|statistics , predicted 1st: get|publish|data
Original: set|application|states , predicted 1st: set|application|application
Original: get|job , predicted 1st: get|job|info
Original: scan|directory|for|history|files , predicted 1st: scan
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add|attribute
Original: get|proto , predicted 1st: build
Original: set|times , predicted 1st: 
Original: set , predicted 1st: get
Original: pack , predicted 1st: build|response
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: get
Original: user|has|administrator|access , predicted 1st: is|user|allowed
Original: get|scheme , predicted 1st: get|name|string
Original: find|or|make|emitter , predicted 1st: get|event
Original: maybe|init|builder , predicted 1st: do|run
Original: get|method|name , predicted 1st: get|method|name|name
Original: get|cluster|metrics , predicted 1st: get|cluster|cluster
Original: r , predicted 1st: set|lines
Original: id , predicted 1st: add|attribute
Original: remove|token|master|key , predicted 1st: remove|state
Original: init|storage , predicted 1st: set|configuration
Original: get|protocol|version , predicted 1st: get|protocol|version
Original: print|single|distribution|data , predicted 1st: print
Original: print|distribution|set , predicted 1st: print
Original: set|permission , predicted 1st: do|process
Original: get|application|id , predicted 1st: get|application|id
Original: convert|to|proto|format , predicted 1st: get|queue
Original: get|units , predicted 1st: get|name
Original: merge|local|to|builder , predicted 1st: set|application|application|id
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: make|absolute , predicted 1st: get|path
Original: read|fields , predicted 1st: read
Original: wait|for , predicted 1st: wait
Original: value , predicted 1st: add|attribute
Original: bq , predicted 1st: 
Original: b , predicted 1st: get
Original: init|local|application|attempts|list , predicted 1st: format|from|format
Original: height , predicted 1st: add|attribute
Original: br , predicted 1st: set|selector
Original: get|replication , predicted 1st: get|block
Original: get|output|records , predicted 1st: get
Original: get|tmax , predicted 1st: get
Original: get|job|counters , predicted 1st: get|job|info
Original: label , predicted 1st: add|attribute
Original: src , predicted 1st: add|xml
Original: open , predicted 1st: get|input|stream
Original: class , predicted 1st: add|attribute
Original: set|replication , predicted 1st: do|validate
Original: echo , predicted 1st: main
Original: set|container|list , predicted 1st: set|container
Original: cancel|delegation|token , predicted 1st: start|token|token
Original: get|all|file|info , predicted 1st: get|global|global|list
Original: main , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test|remove
Original: run , predicted 1st: get|object
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: run , predicted 1st: remove
Original: create|url , predicted 1st: get|url
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add|attribute
Original: init|application|types , predicted 1st: set|application|types
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: get
Original: generate|record , predicted 1st: get|byte
Original: get|home|directory , predicted 1st: get|path
Original: release|and|rethrow , predicted 1st: write
Original: fixed|bytes , predicted 1st: get|bytes
Original: set|task|report , predicted 1st: set|task|report
Original: close|storage , predicted 1st: close
Original: button , predicted 1st: set|selector
Original: get|underlying|counter , predicted 1st: get|wrapped|model
Original: attempts , predicted 1st: do|stop
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container
Original: generate|graph|viz , predicted 1st: generate
Original: job|page , predicted 1st: get|model
Original: id , predicted 1st: add|attribute
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|report|format
Original: open , predicted 1st: open
Original: get|num|datanodes|in|service , predicted 1st: get|nodes|in|service
Original: h , predicted 1st: get
Original: get|parent , predicted 1st: get|parent
Original: get|delegation|token , predicted 1st: format
Original: emit|metric , predicted 1st: send|name
Original: h , predicted 1st: get
Original: compiled , predicted 1st: get|compiled
Original: get|proto , predicted 1st: build
Original: get|output|bytes , predicted 1st: get|output
Original: get|reduce|output|bytes , predicted 1st: get|bytes
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: button , predicted 1st: create
Original: set|ready|to|become|active , predicted 1st: get|active|to|active
Original: rename|internal , predicted 1st: rename
Original: get|task|report , predicted 1st: get|task|report
Original: get|configuration , predicted 1st: get|config
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add|attribute
Original: new|instance , predicted 1st: create|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get
Original: get|file|block|locations , predicted 1st: get|file|block
Original: counters|page , predicted 1st: get|model
Original: br , predicted 1st: 
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: get|all|event
Original: compare|seed , predicted 1st: get
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job
Original: make|absolute , predicted 1st: get|path
Original: start , predicted 1st: start
Original: id , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: maybe|init|builder , predicted 1st: new|builder
Original: ol , predicted 1st: set|selector
Original: script , predicted 1st: set|source
Original: use|logical|uri , predicted 1st: is|uri
Original: hr , predicted 1st: set|selector
Original: object , predicted 1st: object
Original: class , predicted 1st: add|attribute
Original: set|units , predicted 1st: set
Original: refresh|loaded|job|cache , predicted 1st: get|refresh
Original: is|local|mr , predicted 1st: is|local
Original: id , predicted 1st: add|attribute
Original: id , predicted 1st: add|attribute
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: refresh|loaded|job|cache , predicted 1st: refresh|refresh|cache|refresh
Original: rel , predicted 1st: add|property
Original: get|scheme , predicted 1st: get|name
Original: get|hadoop|proxy|user|groups , predicted 1st: get
Original: register , predicted 1st: add
Original: get|container|report , predicted 1st: get|container
Original: close , predicted 1st: test
Original: init|queues , predicted 1st: test
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: do|health|checks , predicted 1st: wait
Original: get|file|status , predicted 1st: get|file|status
Original: label , predicted 1st: for|for
Original: b , predicted 1st: 
Original: conf|table|init , predicted 1st: get|test|name
Original: textarea , predicted 1st: get
Original: log|success , predicted 1st: log|log
Original: get , predicted 1st: get|server
Original: close|storage , predicted 1st: close
Original: pre|head , predicted 1st: set|up
Original: rename , predicted 1st: do|rename
Original: parse|selector , predicted 1st: get
Original: print|usage , predicted 1st: print
Original: read , predicted 1st: read
Original: emit|metric , predicted 1st: send
Original: load|tokens , predicted 1st: get|tokens
Original: img , predicted 1st: get
Original: validate|task|memory|limits , predicted 1st: check
Original: is|element , predicted 1st: matches
Original: set|state|internal , predicted 1st: execute
Original: get|expected|output , predicted 1st: get|output
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|annotated|classes
Original: h , predicted 1st: get
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: build
Original: set|spec , predicted 1st: set
Original: main , predicted 1st: main
Original: put|metrics , predicted 1st: get
Original: start|threads , predicted 1st: start
Original: small , predicted 1st: get
Original: accesskey , predicted 1st: add|attribute
Original: add|unmanaged|listener , predicted 1st: add|listener
Original: find|timestamped|directories , predicted 1st: get|done
Original: get|child|file|systems , predicted 1st: get|mappings
Original: can|parse , predicted 1st: is|input|input
Original: small , predicted 1st: get
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: init
Original: generate|ascii|record , predicted 1st: get
Original: table , predicted 1st: get|table
Original: multiple , predicted 1st: add|attribute
Original: id , predicted 1st: add|attribute
Original: abbr , predicted 1st: get
Original: name , predicted 1st: add|attribute
Original: get|server|defaults , predicted 1st: get|server|server
Original: get|x|attr , predicted 1st: get|x|path
Original: set|conf , predicted 1st: set|up
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: 
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set|path
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application|list
Original: id , predicted 1st: get
Original: archive|path , predicted 1st: get|parent|path
Original: usage , predicted 1st: test
Original: cite , predicted 1st: get
Original: class , predicted 1st: add|attribute
Original: disabled , predicted 1st: add|default
Original: get|read|statistics , predicted 1st: get|read|read|read
Original: get|not|ready|reason , predicted 1st: get|not|not|not|not|not|not
Original: check|health , predicted 1st: get
Original: print|usage , predicted 1st: print
Original: init|lut , predicted 1st: get|all|methods
Original: h , predicted 1st: 
Original: get|capacity|used|non|dfs , predicted 1st: get
Original: opt , predicted 1st: add
Original: class , predicted 1st: add|attribute
Original: rename|internal , predicted 1st: rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: create|queue|queue
Original: get|job|id , predicted 1st: get|job|id
Original: set|finish|range , predicted 1st: set
Original: get|capacity|total , predicted 1st: get|total|total
Original: run , predicted 1st: get
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: set
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: get
Original: get|task|report|count , predicted 1st: get|task|count
Original: about , predicted 1st: render
Original: decode|file|name , predicted 1st: get|version
Original: get|capacity|used , predicted 1st: get|partition|size
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: 
Original: maxlength , predicted 1st: add|attribute
Original: main , predicted 1st: main
Original: get|type|name , predicted 1st: get|type|name
Original: test|existing|user , predicted 1st: test|get|output
Original: is|empty|local|name , predicted 1st: is|empty
Original: next|event , predicted 1st: get|event|history|event
Original: get|size , predicted 1st: get|size
Original: get|x|attrs , predicted 1st: get|path|path
Original: new|instance , predicted 1st: create|response
Original: ol , predicted 1st: 
Original: check|access , predicted 1st: has|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: get
Original: content , predicted 1st: get|model|class
Original: process|general|options , predicted 1st: add
Original: enforce|root|path , predicted 1st: check|path
Original: id , predicted 1st: add|attribute
Original: indent , predicted 1st: print
Original: sort , predicted 1st: 
Original: id , predicted 1st: add|attribute
Original: h , predicted 1st: 
Original: build|token|service|for|logical|uri , predicted 1st: create
Original: run , predicted 1st: load
Original: onblur , predicted 1st: add|attribute
Original: emit|record , predicted 1st: get
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: initialize|web|server , predicted 1st: init
Original: create|internal , predicted 1st: create|output|stream
Original: get|finish|range , predicted 1st: get|long
Original: get|include|child|queues , predicted 1st: has|child
Original: service|init , predicted 1st: set|up
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read
Original: ins , predicted 1st: 
Original: init|diagnostics , predicted 1st: foo
Original: remove|x|attr , predicted 1st: validate
Original: onkeyup , predicted 1st: add|attribute
Original: add|directory|to|job|list|cache , predicted 1st: load
Original: test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: get|x|class
Original: run , predicted 1st: test
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: is|healthy , predicted 1st: get|client
Original: init|local|queue|user|acls|list , predicted 1st: test
Original: get|remaining|args , predicted 1st: get|args
Original: get|cache|used , predicted 1st: get|cache|cache
Original: get|group , predicted 1st: get|group
Original: get|proto , predicted 1st: build
Original: remove|default|acl , predicted 1st: validate
Original: is|method|supported , predicted 1st: is|valid|supported
Original: init|failed|requests , predicted 1st: test|from|format
Original: set|x|attr , predicted 1st: set|attribute
Original: delete|job|from|done , predicted 1st: delete|file|info
Original: new|node , predicted 1st: get|node
Original: get|wrapped|stream , predicted 1st: get|in|in
Original: new|instance , predicted 1st: new|response
Original: class , predicted 1st: add|attribute
Original: confirm|force|manual , predicted 1st: is
Original: set|state , predicted 1st: check
Original: height , predicted 1st: add|attribute
Original: name , predicted 1st: add|attribute
Original: conf|post|table|init , predicted 1st: get|test
Original: set|scope , predicted 1st: set|scope
Original: complete|local|output , predicted 1st: do|get
Original: get|distribution , predicted 1st: create
Original: copy|from|local|file , predicted 1st: set|path
Original: assert|value|within|range , predicted 1st: assert|equals
Original: h , predicted 1st: set|selector
Original: sup , predicted 1st: 
Original: needs|escaping , predicted 1st: is|script|script
Original: set|excludes|file , predicted 1st: set|file
Original: b , predicted 1st: 
Original: release , predicted 1st: close
Original: kbd , predicted 1st: get
Original: read , predicted 1st: read
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|file|name
Original: add|protocol , predicted 1st: add|protocol
Original: initialize , predicted 1st: parse
Original: get|token|path , predicted 1st: get|token
Original: rowspan , predicted 1st: add|attribute
Original: maybe|uncompressed|path , predicted 1st: create|reader
Original: get|proto , predicted 1st: build
Original: check|paths , predicted 1st: check|paths
Original: img , predicted 1st: get
Original: maybe|init|builder , predicted 1st: new|builder
Original: accept , predicted 1st: add|attribute
Original: size , predicted 1st: add|value
Original: get|server|defaults , predicted 1st: create
Original: clear , predicted 1st: method
Original: class , predicted 1st: add|attribute
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|current|user|auth
Original: run , predicted 1st: get|token
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|model
Original: load|state , predicted 1st: load|state|state
Original: run , predicted 1st: print
Original: form , predicted 1st: get|form
Original: sup , predicted 1st: 
Original: samp , predicted 1st: set|selector
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: test
Original: write , predicted 1st: bytes
Original: get|name , predicted 1st: get|name|name
Original: is|token|for|logical|uri , predicted 1st: is|prefix
Original: add|fencing|parameters , predicted 1st: set|host|host|name
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|model|class
Original: set|retain|days , predicted 1st: set|days
Original: transition|to|standby , predicted 1st: on|state
Original: onblur , predicted 1st: add|attribute
Original: name , predicted 1st: add|attribute
Original: accesskey , predicted 1st: add|attribute
Original: list|status , predicted 1st: get|file|status
Original: init , predicted 1st: get|all|tags
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: add|request
Original: render , predicted 1st: run
Original: datetime , predicted 1st: add|attribute
Original: print|usage , predicted 1st: error
Original: bdo , predicted 1st: fun
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add|attribute
Original: init|file|system , predicted 1st: set|up
Original: add|default|servlets , predicted 1st: init
Original: id , predicted 1st: add|attribute
Original: graceful|failover|through|zkf|cs , predicted 1st: get
Original: new|instance , predicted 1st: new|response
Original: clear|space|quota , predicted 1st: set
Original: h , predicted 1st: 
Original: code , predicted 1st: get|code
Original: is|because|safe|mode , predicted 1st: is|exception|exception
Original: maybe|init|builder , predicted 1st: new|request
Original: create|output|stream , predicted 1st: create|stream
Original: set|job|id , predicted 1st: set|job|id
Original: get|volume|indexes , predicted 1st: get|indexes
Original: init|cluster , predicted 1st: set|cluster
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait
Original: parse|counter , predicted 1st: get|name|name
Original: wrap|safe|string , predicted 1st: get|label|label
Original: q , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|job|report
Original: do|filter , predicted 1st: do|filter
Original: monitor|health , predicted 1st: check|exception
Original: get|job|id , predicted 1st: get|job|id
Original: class , predicted 1st: add|attribute
Original: merge|local|to|builder , predicted 1st: set|queue|info
Original: new|instance , predicted 1st: get|user|info
Original: run , predicted 1st: get
Original: class , predicted 1st: add|attribute
Original: get , predicted 1st: get
Original: initialize|hadoop|logs|analyzer , predicted 1st: get
Original: store|token , predicted 1st: set|date
Original: id , predicted 1st: add|attribute
Original: setup , predicted 1st: test
Original: set|finish|range , predicted 1st: set|finish
Original: create|direct|decompressor , predicted 1st: get
Original: pkg|name , predicted 1st: get
Original: get|symlink , predicted 1st: get
Original: init , predicted 1st: set|up
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add|attribute
Original: get|file|status , predicted 1st: get|file|status
Original: ins , predicted 1st: get
Original: create|cluster , predicted 1st: test
Original: disabled , predicted 1st: add|default
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create
Original: test|set|x|attr , predicted 1st: test|remove
Original: write|dist|cache|data , predicted 1st: do|test
Original: get|node|reports , predicted 1st: get|node|node|manager
Original: set|space|quota , predicted 1st: set
Original: class , predicted 1st: add|attribute
Original: h , predicted 1st: set|selector
Original: get|proto , predicted 1st: build
Original: h , predicted 1st: 
Original: try|creating|history|dirs , predicted 1st: get
Original: refresh|user|to|groups|mappings , predicted 1st: test|up|to|user
Original: set|acl , predicted 1st: do|process
Original: id , predicted 1st: add|attribute
Original: test|no|user|given , predicted 1st: test|get|user|user
Original: get|proto , predicted 1st: build
Original: convert , predicted 1st: get|state|state
Original: dfn , predicted 1st: 
Original: sub , predicted 1st: set|selector
Original: close|storage , predicted 1st: close
Original: init , predicted 1st: init
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: new|distribution|new
Original: get|job|summary , predicted 1st: get|summary
Original: class , predicted 1st: add|attribute
Original: scan|directory , predicted 1st: get|status|status
Original: transition|to|active , predicted 1st: on|state
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|connector|create
Original: load|token|state , predicted 1st: load|state
Original: cancel|delegation|token , predicted 1st: start|token|token
Original: create|success|log , predicted 1st: get|key
Original: set|owner , predicted 1st: set|owner
Original: new|instance , predicted 1st: create|request
Original: usemap , predicted 1st: add
Original: get|job , predicted 1st: get|job
Original: incorporate|counters , predicted 1st: set
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: read|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input|map
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|usage|usage
Original: set , predicted 1st: set|usage
Original: merge|local|to|builder , predicted 1st: do|get
Original: apply , predicted 1st: convert|to|format
Original: main , predicted 1st: main
Original: create|x|attr|names , predicted 1st: get|names|names
Original: get|percent|block|pool|used , predicted 1st: get|total
Original: class , predicted 1st: add|attribute
Original: set|users , predicted 1st: set|users
Original: get|task|logs|url , predicted 1st: get|log|log|log|url
Original: tabindex , predicted 1st: add|value
Original: class , predicted 1st: add|attribute
Original: build|splits , predicted 1st: set|input|dir
Original: initialize , predicted 1st: get|user|info
Original: h , predicted 1st: 
Original: set|container|statuses , predicted 1st: set
Original: id , predicted 1st: add|attribute
Original: onchange , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: checked , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: make|qualified , predicted 1st: get|path
Original: compile , predicted 1st: compile
Original: get|proto , predicted 1st: build
Original: id , predicted 1st: add|attribute
Original: a , predicted 1st: a
Original: monitor|health , predicted 1st: do|close
Original: get|file|id , predicted 1st: get|file|id
Original: destroy , predicted 1st: destroy
Original: set|queues , predicted 1st: clear
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh
Original: make|big|integer , predicted 1st: get|big|integer
Original: get|hadoop|users , predicted 1st: get|default|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: create|pattern
Original: delete , predicted 1st: delete
Original: is|ha|enabled , predicted 1st: is
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create|client|client|client|client
Original: renew|delegation|token , predicted 1st: token|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: create|io|exception , predicted 1st: read
Original: get|node , predicted 1st: node
Original: set|selector , predicted 1st: parse
Original: hr , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: set|permission , predicted 1st: set|permission
Original: initialize , predicted 1st: create
Original: select , predicted 1st: set|selector
Original: add|completion|event , predicted 1st: add|completion|completion
Original: unique|sequence|id , predicted 1st: get|sequence
Original: get|uri|default|port , predicted 1st: get|default|port
Original: root , predicted 1st: create
Original: is|ready|to|become|active , predicted 1st: is|active|to|active
Original: expand|leftmost , predicted 1st: get|text
Original: create|file|system , predicted 1st: get|file
Original: refresh , predicted 1st: create|response
Original: process|task|line , predicted 1st: parse
Original: task|counters , predicted 1st: stop
Original: parse|opts , predicted 1st: parse
Original: upload|data , predicted 1st: get|http|stream
Original: id , predicted 1st: add|attribute
Original: init|storage , predicted 1st: load|state
Original: failover , predicted 1st: test
Original: get|proto , predicted 1st: build
Original: get|includes , predicted 1st: get|includes
Original: sub , predicted 1st: get
Original: get|proto , predicted 1st: build
Original: span , predicted 1st: get
Original: get|application|attempt|id , predicted 1st: get|application|application|id
Original: id , predicted 1st: add|attribute
