Original: cols , predicted 1st: add
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job
Original: configure|random|bytes|data|generator , predicted 1st: init|job
Original: samp , predicted 1st: 
Original: create|acl|status , predicted 1st: get|all|acl
Original: class , predicted 1st: add|attribute
Original: emit|metric , predicted 1st: 
Original: span , predicted 1st: add
Original: generate , predicted 1st: create|entry
Original: maybe|init|builder , predicted 1st: init
Original: write , predicted 1st: write
Original: get|percentiles , predicted 1st: get
Original: launch|gridmix|job , predicted 1st: wait|for|completion
Original: get|capacity|remaining , predicted 1st: get|capacity
Original: is|dir , predicted 1st: is
Original: set|queue|info , predicted 1st: set|queue|info
Original: refresh|loaded|job|cache , predicted 1st: verify
Original: address , predicted 1st: get|address
Original: get|data|node|by|host|name , predicted 1st: get|host|by|host
Original: is|excluded , predicted 1st: is
Original: convert|to|proto|format , predicted 1st: get|container
Original: remove|callback , predicted 1st: remove
Original: id , predicted 1st: add|attribute
Original: start|storage , predicted 1st: create
Original: get|conf|for|other|node , predicted 1st: create
Original: onmouseup , predicted 1st: add
Original: set|start|range , predicted 1st: set
Original: unpack , predicted 1st: get|response
Original: should|allow|standby|reads , predicted 1st: is
Original: maybe|init|builder , predicted 1st: init
Original: build|token|service|prefix|for|logical|uri , predicted 1st: get|service|name
Original: run|job , predicted 1st: get|error|error
Original: maybe|init|builder , predicted 1st: init
Original: start|decommission , predicted 1st: add|node
Original: remove|acl|entries , predicted 1st: validate
Original: i , predicted 1st: set|selector
Original: render , predicted 1st: run
Original: get|history|info , predicted 1st: create|info
Original: get|job|attempts , predicted 1st: get
Original: cite , predicted 1st: set|selector
Original: update|token , predicted 1st: set|text
Original: create , predicted 1st: do|close
Original: close , predicted 1st: close
Original: hreflang , predicted 1st: add
Original: maybe|init|builder , predicted 1st: init
Original: set|failover|configurations , predicted 1st: add
Original: id , predicted 1st: add|attribute
Original: onblur , predicted 1st: add
Original: new|instance , predicted 1st: get|request
Original: maybe|init|builder , predicted 1st: init
Original: get|client|handler , predicted 1st: get|protocol|handler
Original: get|reduce|output|records , predicted 1st: get
Original: create|file|system , predicted 1st: get|root|path
Original: get|summarizer , predicted 1st: get
Original: h , predicted 1st: is|h
Original: get|attribute , predicted 1st: get|attribute
Original: get|file|status , predicted 1st: get|status
Original: get|services , predicted 1st: get|services
Original: unescape|path|component , predicted 1st: get|name
Original: convert|to|proto|format , predicted 1st: get|task
Original: accept , predicted 1st: add|attribute
Original: init|local|node|manager|infos|list , predicted 1st: test|format|from|format
Original: samp , predicted 1st: set|selector
Original: maybe|init|builder , predicted 1st: init
Original: refresh|admin|acls , predicted 1st: test|admin|admin|admin
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: get|working|directory , predicted 1st: get|home|directory
Original: pre , predicted 1st: pre|pre
Original: init|local|container|ids , predicted 1st: init|container|ids
Original: i , predicted 1st: 
Original: h , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: init|application
Original: set|recursive , predicted 1st: set|recursive
Original: set|next|directory|input|stream , predicted 1st: close
Original: pre|head , predicted 1st: set|up
Original: merge|local|to|builder , predicted 1st: set|cluster|metrics
Original: iterator , predicted 1st: iterator|iterator
Original: logs , predicted 1st: render
Original: get|content|summary , predicted 1st: get|content|content
Original: create|x|attr|map , predicted 1st: get
Original: loop|until|connected , predicted 1st: connect|connect
Original: get|usage|string , predicted 1st: get|model|class|name
Original: conf|page , predicted 1st: get|page|class
Original: class , predicted 1st: add|attribute
Original: id , predicted 1st: add|attribute
Original: name , predicted 1st: add|attribute
Original: hash , predicted 1st: 
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: get|map
Original: kbd , predicted 1st: set|selector
Original: resolved|address|from|datanode|id , predicted 1st: create|inet|address|address
Original: get|proto , predicted 1st: to|response
Original: get|job|types , predicted 1st: get|job|values
Original: convert|to|proto|format , predicted 1st: get|task|task|event
Original: get|current|block|replication , predicted 1st: get|current|block|stream
Original: run , predicted 1st: create|entry
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: init
Original: configure|high|ram|properties , predicted 1st: validate|input
Original: q , predicted 1st: 
Original: get|application|types , predicted 1st: get|application|types|types
Original: get|volume|ids , predicted 1st: get|ids
Original: set|replication , predicted 1st: is
Original: remove|task|report , predicted 1st: remove
Original: publish|data|statistics , predicted 1st: get|data|statistics
Original: get|job , predicted 1st: get|job|info
Original: set , predicted 1st: create|entry
Original: set|application|states , predicted 1st: set|application|states
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add|attribute
Original: scan|directory|for|history|files , predicted 1st: scan|scan
Original: set|times , predicted 1st: 
Original: get|proto , predicted 1st: get
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: replace
Original: user|has|administrator|access , predicted 1st: is|user|allowed
Original: pack , predicted 1st: build|response
Original: get|scheme , predicted 1st: get|table|name
Original: maybe|init|builder , predicted 1st: init
Original: find|or|make|emitter , predicted 1st: get
Original: get|method|name , predicted 1st: get|thread|name
Original: print|single|distribution|data , predicted 1st: print
Original: r , predicted 1st: lines
Original: id , predicted 1st: add|attribute
Original: remove|token|master|key , predicted 1st: remove|token
Original: get|cluster|metrics , predicted 1st: get
Original: get|protocol|version , predicted 1st: get|protocol|version
Original: init|storage , predicted 1st: set|io
Original: get|application|id , predicted 1st: find|application|id
Original: set|permission , predicted 1st: validate
Original: convert|to|proto|format , predicted 1st: get|user|info
Original: get|units , predicted 1st: get|name|name
Original: print|distribution|set , predicted 1st: print
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: make|absolute , predicted 1st: create|path
Original: init|local|application|attempts|list , predicted 1st: init|application
Original: wait|for , predicted 1st: wait|for
Original: value , predicted 1st: add|attribute
Original: bq , predicted 1st: 
Original: b , predicted 1st: close
Original: height , predicted 1st: add
Original: br , predicted 1st: set|selector
Original: read|fields , predicted 1st: read
Original: get|replication , predicted 1st: get|block|block
Original: get|job|counters , predicted 1st: get|job|info
Original: get|tmax , predicted 1st: get
Original: label , predicted 1st: add
Original: src , predicted 1st: add
Original: get|output|records , predicted 1st: get|records
Original: open , predicted 1st: do|get|data|stream
Original: class , predicted 1st: add|attribute
Original: echo , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: set|replication , predicted 1st: get
Original: set|container|list , predicted 1st: set
Original: get|all|file|info , predicted 1st: get|job|cache
Original: cancel|delegation|token , predicted 1st: cancel|token
Original: main , predicted 1st: main
Original: init|application|types , predicted 1st: init|application|types
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add|attribute
Original: generate|record , predicted 1st: get
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: 
Original: get|home|directory , predicted 1st: get|path|path
Original: create|url , predicted 1st: encode
Original: fixed|bytes , predicted 1st: get|bytes
Original: release|and|rethrow , predicted 1st: release
Original: set|task|report , predicted 1st: report|task
Original: close|storage , predicted 1st: clean|up
Original: get|underlying|counter , predicted 1st: get|wrapped|model
Original: attempts , predicted 1st: deactivate
Original: button , predicted 1st: set|selector
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container
Original: emit|metric , predicted 1st: send
Original: generate|graph|viz , predicted 1st: generate
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add|attribute
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|report|format
Original: get|num|datanodes|in|service , predicted 1st: get|nodes|count
Original: h , predicted 1st: 
Original: get|parent , predicted 1st: get|parent
Original: open , predicted 1st: create|stream
Original: get|delegation|token , predicted 1st: get|token
Original: get|output|bytes , predicted 1st: get
Original: compiled , predicted 1st: get|compiled
Original: h , predicted 1st: 
Original: get|reduce|output|bytes , predicted 1st: get
Original: button , predicted 1st: run
Original: get|map|count , predicted 1st: get|maps
Original: get|len , predicted 1st: get|length
Original: get|proto , predicted 1st: to|xml
Original: get|configuration , predicted 1st: get|properties|properties
Original: set|ready|to|become|active , predicted 1st: ready
Original: rename|internal , predicted 1st: rename
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: get|task|report , predicted 1st: get|task|format|from|string
Original: new|instance , predicted 1st: create|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get
Original: get|file|block|locations , predicted 1st: get|block|block|location
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: close
Original: shutdown|cluster , predicted 1st: stop|cluster
Original: emitter|core , predicted 1st: remove|event
Original: make|absolute , predicted 1st: get|path|path
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: id , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: use|logical|uri , predicted 1st: get|client|uri
Original: maybe|init|builder , predicted 1st: init
Original: ol , predicted 1st: set|selector
Original: refresh|loaded|job|cache , predicted 1st: get|refresh
Original: script , predicted 1st: script|source
Original: object , predicted 1st: object
Original: hr , predicted 1st: set|selector
Original: class , predicted 1st: add|attribute
Original: set|units , predicted 1st: set
Original: is|local|mr , predicted 1st: is|local
Original: id , predicted 1st: add|attribute
Original: refresh|loaded|job|cache , predicted 1st: get|loaded|cache
Original: id , predicted 1st: add|attribute
Original: rel , predicted 1st: add|kaleo|definition
Original: compare|seed , predicted 1st: get|size
Original: get|scheme , predicted 1st: get|name
Original: do|health|checks , predicted 1st: wait|for
Original: get|hadoop|proxy|user|groups , predicted 1st: get
Original: get|container|report , predicted 1st: get|report|container
Original: register , predicted 1st: update
Original: close , predicted 1st: run
Original: init|queues , predicted 1st: set|up
Original: is|auto|failover|enabled , predicted 1st: is|show
Original: set|max|events , predicted 1st: set|max|events
Original: get|file|status , predicted 1st: get|file|status
Original: label , predicted 1st: for|for
Original: b , predicted 1st: 
Original: log|success , predicted 1st: log
Original: conf|table|init , predicted 1st: get|init|table|name
Original: textarea , predicted 1st: 
Original: start , predicted 1st: do|get|exit|code
Original: parse|selector , predicted 1st: get
Original: get , predicted 1st: get|server
Original: close|storage , predicted 1st: close
Original: rename , predicted 1st: rename
Original: pre|head , predicted 1st: set|html
Original: emit|metric , predicted 1st: send
Original: read , predicted 1st: read
Original: load|tokens , predicted 1st: get|tokens|tokens
Original: validate|task|memory|limits , predicted 1st: verify
Original: img , predicted 1st: 
Original: set|state|internal , predicted 1st: execute
Original: is|element , predicted 1st: matches
Original: get|expected|output , predicted 1st: get|output|group
Original: print|usage , predicted 1st: run
Original: get|children|num , predicted 1st: get|num|children
Original: get|filter|initializers , predicted 1st: get|initializers
Original: h , predicted 1st: 
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: to|thrift
Original: set|spec , predicted 1st: set
Original: put|metrics , predicted 1st: get
Original: main , predicted 1st: main
Original: start|threads , predicted 1st: start
Original: small , predicted 1st: get
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add|listener
Original: find|timestamped|directories , predicted 1st: get|previous|file
Original: get|child|file|systems , predicted 1st: get|system|file
Original: can|parse , predicted 1st: is|valid
Original: small , predicted 1st: 
Original: list|status , predicted 1st: get|status|status
Original: heartbeat|check , predicted 1st: check
Original: table , predicted 1st: table
Original: id , predicted 1st: add|attribute
Original: generate|ascii|record , predicted 1st: generate
Original: abbr , predicted 1st: 
Original: multiple , predicted 1st: add
Original: name , predicted 1st: add|attribute
Original: get|server|defaults , predicted 1st: get|server|server|server
Original: set|conf , predicted 1st: set|server|service
Original: get|x|attr , predicted 1st: get|x|content
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: is|h
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set|filter
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application|list
Original: id , predicted 1st: get|count
Original: usage , predicted 1st: test
Original: cite , predicted 1st: 
Original: archive|path , predicted 1st: get|path
Original: class , predicted 1st: add|attribute
Original: disabled , predicted 1st: add|disabled
Original: get|read|statistics , predicted 1st: get|read|statistics
Original: get|not|ready|reason , predicted 1st: get|ready
Original: check|health , predicted 1st: test
Original: print|usage , predicted 1st: do|test
Original: run , predicted 1st: create|entry
Original: h , predicted 1st: is|h
Original: get|capacity|used|non|dfs , predicted 1st: get|used
Original: init|lut , predicted 1st: do|inline
Original: class , predicted 1st: add|attribute
Original: rename|internal , predicted 1st: rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: create|info
Original: get|job|id , predicted 1st: get|job|id
Original: opt , predicted 1st: add
Original: get|capacity|total , predicted 1st: get|total|capacity
Original: set|finish|range , predicted 1st: set
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache|size
Original: hash , predicted 1st: hash|hash
Original: pre|head , predicted 1st: set|html
Original: print|usage , predicted 1st: check
Original: read|file , predicted 1st: get|file|names
Original: get|task|report|count , predicted 1st: get|task|count
Original: about , predicted 1st: render
Original: decode|file|name , predicted 1st: get|version
Original: get|capacity|used , predicted 1st: get|capacity|size
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: 
Original: maxlength , predicted 1st: add
Original: main , predicted 1st: main
Original: process|general|options , predicted 1st: init
Original: next|event , predicted 1st: get|events
Original: is|empty|local|name , predicted 1st: is|empty
Original: get|type|name , predicted 1st: get|type
Original: get|x|attrs , predicted 1st: get|x|path
Original: get|size , predicted 1st: get|size
Original: new|instance , predicted 1st: get|response
Original: test|existing|user , predicted 1st: test|run|tool
Original: ol , predicted 1st: close
Original: check|access , predicted 1st: check
Original: counter , predicted 1st: set
Original: i , predicted 1st: 
Original: content , predicted 1st: get|model|class
Original: enforce|root|path , predicted 1st: validate
Original: id , predicted 1st: add|attribute
Original: indent , predicted 1st: do|inline
Original: sort , predicted 1st: down
Original: id , predicted 1st: add|attribute
Original: h , predicted 1st: is|h
Original: build|token|service|for|logical|uri , predicted 1st: create|text
Original: run , predicted 1st: main
Original: emit|record , predicted 1st: get|file|name
Original: onblur , predicted 1st: add
Original: initialize|web|server , predicted 1st: init|web|web|app
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: get|finish|range , predicted 1st: finish
Original: get|include|child|queues , predicted 1st: get|include|child
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read
Original: create|internal , predicted 1st: create|parent|stream
Original: service|init , predicted 1st: init
Original: ins , predicted 1st: 
Original: remove|x|attr , predicted 1st: validate
Original: init|diagnostics , predicted 1st: m
Original: onkeyup , predicted 1st: add|attribute
Original: is|healthy , predicted 1st: get
Original: init|local|queue|user|acls|list , predicted 1st: init|user|info
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: get|remaining|args , predicted 1st: get|args
Original: test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: test|raw
Original: run , predicted 1st: test|raw|list
Original: get|proto , predicted 1st: to
Original: get|cache|used , predicted 1st: get|cache|cache
Original: get|group , predicted 1st: get|group
Original: remove|default|acl , predicted 1st: validate
Original: add|directory|to|job|list|cache , predicted 1st: get|file|info
Original: is|method|supported , predicted 1st: is|supported|method
Original: set|x|attr , predicted 1st: set|x
Original: init|failed|requests , predicted 1st: init|requests
Original: delete|job|from|done , predicted 1st: delete|file|info
Original: conf|post|table|init , predicted 1st: get|main
Original: get|wrapped|stream , predicted 1st: get|in
Original: new|node , predicted 1st: create|node
Original: new|instance , predicted 1st: create|response
Original: class , predicted 1st: add|attribute
Original: height , predicted 1st: add
Original: name , predicted 1st: add|attribute
Original: set|state , predicted 1st: validate
Original: set|scope , predicted 1st: set|scope
Original: assert|value|within|range , predicted 1st: assert|equals
Original: confirm|force|manual , predicted 1st: is|cancel
Original: complete|local|output , predicted 1st: write
Original: copy|from|local|file , predicted 1st: write
Original: h , predicted 1st: set|selector
Original: sup , predicted 1st: 
Original: needs|escaping , predicted 1st: is|style
Original: set|excludes|file , predicted 1st: set|excludes
Original: get|distribution , predicted 1st: get
Original: b , predicted 1st: 
Original: read , predicted 1st: read
Original: kbd , predicted 1st: 
Original: release , predicted 1st: close
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|file
Original: add|protocol , predicted 1st: add|rpc|rpc
Original: maybe|uncompressed|path , predicted 1st: get|reader
Original: get|token|path , predicted 1st: get|path|path
Original: rowspan , predicted 1st: add
Original: check|paths , predicted 1st: validate|file
Original: get|proto , predicted 1st: get|response
Original: initialize , predicted 1st: get
Original: img , predicted 1st: 
Original: maybe|init|builder , predicted 1st: init
Original: accept , predicted 1st: add|attribute
Original: size , predicted 1st: add
Original: get|server|defaults , predicted 1st: create|server
Original: clear , predicted 1st: m
Original: class , predicted 1st: add|attribute
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|token
Original: run , predicted 1st: token
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|model|class
Original: load|state , predicted 1st: load|state|state
Original: form , predicted 1st: get|form
Original: samp , predicted 1st: set|selector
Original: sup , predicted 1st: 
Original: add|fencing|parameters , predicted 1st: set|name
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: render
Original: write , predicted 1st: bytes|as|bytes
Original: get|name , predicted 1st: get|name
Original: is|token|for|logical|uri , predicted 1st: is
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|model|class
Original: transition|to|standby , predicted 1st: handle|state
Original: set|retain|days , predicted 1st: set|days|days
Original: render , predicted 1st: run
Original: list|status , predicted 1st: get|stats
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add|attribute
Original: accesskey , predicted 1st: add
Original: run , predicted 1st: get|task|success
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: get|request
Original: datetime , predicted 1st: add
Original: print|usage , predicted 1st: run
Original: add|default|servlets , predicted 1st: init
Original: bdo , predicted 1st: 
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add|attribute
Original: init , predicted 1st: init
Original: init|file|system , predicted 1st: set|up
Original: id , predicted 1st: add|attribute
Original: new|instance , predicted 1st: new|response
Original: clear|space|quota , predicted 1st: set
Original: maybe|init|builder , predicted 1st: init
Original: h , predicted 1st: is|h
Original: code , predicted 1st: code
Original: is|because|safe|mode , predicted 1st: is|exception|exception|exception
Original: graceful|failover|through|zkf|cs , predicted 1st: get
Original: set|job|id , predicted 1st: set|job|id
Original: init|cluster , predicted 1st: wait|for|active
Original: create|output|stream , predicted 1st: create|stream|stream
Original: get|volume|indexes , predicted 1st: get|indexes
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait|for
Original: initialize|hadoop|logs|analyzer , predicted 1st: create|entry
Original: parse|counter , predicted 1st: get|file|name
Original: wrap|safe|string , predicted 1st: get|label
Original: q , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|report|job
Original: monitor|health , predicted 1st: handle|state|change
Original: do|filter , predicted 1st: filter|filter
Original: class , predicted 1st: add|attribute
Original: get|job|id , predicted 1st: get|job|id
Original: merge|local|to|builder , predicted 1st: set|queue|info
Original: new|instance , predicted 1st: get|user|info
Original: class , predicted 1st: add|attribute
Original: get , predicted 1st: get
Original: run , predicted 1st: run
Original: store|token , predicted 1st: add|token
Original: id , predicted 1st: add|attribute
Original: test|set|x|attr , predicted 1st: test|remove
Original: set|finish|range , predicted 1st: set|finish
Original: create|direct|decompressor , predicted 1st: get|cached
Original: pkg|name , predicted 1st: get|default
Original: get|symlink , predicted 1st: get
Original: init , predicted 1st: set|up
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add|attribute
Original: get|file|status , predicted 1st: get|file|status
Original: ins , predicted 1st: 
Original: create|cluster , predicted 1st: init|cluster
Original: disabled , predicted 1st: add|disabled
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create|job
Original: write|dist|cache|data , predicted 1st: 
Original: try|creating|history|dirs , predicted 1st: get
Original: get|node|reports , predicted 1st: get|node|info|info|info
Original: set|space|quota , predicted 1st: 
Original: h , predicted 1st: set|selector
Original: get|proto , predicted 1st: get
Original: setup , predicted 1st: test
Original: class , predicted 1st: add|attribute
Original: h , predicted 1st: is|h
Original: refresh|user|to|groups|mappings , predicted 1st: test|group|admin|to|user
Original: convert , predicted 1st: get|state|info
Original: init , predicted 1st: init
Original: id , predicted 1st: add|attribute
Original: get|proto , predicted 1st: to|response
Original: set|acl , predicted 1st: validate
Original: dfn , predicted 1st: 
Original: test|no|user|given , predicted 1st: test|get|user
Original: close|storage , predicted 1st: close
Original: sub , predicted 1st: set|selector
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: new|distribution|distribution
Original: get|job|summary , predicted 1st: get|summary|summary
Original: class , predicted 1st: add|attribute
Original: transition|to|active , predicted 1st: run
Original: scan|directory , predicted 1st: get|status|list
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|default|channel|channel
Original: incorporate|counters , predicted 1st: set
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|read|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes|map
Original: set , predicted 1st: set|records|map
Original: set , predicted 1st: set|output|bytes
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|sha
Original: set , predicted 1st: set|digest|groups
Original: set , predicted 1st: set|memtable
Original: set , predicted 1st: set|seed
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|usage|usage|usage
Original: set , predicted 1st: set|physical|memory|usage
Original: set , predicted 1st: set|usage
Original: cancel|delegation|token , predicted 1st: cancel|token
Original: create|success|log , predicted 1st: add
Original: load|token|state , predicted 1st: load|state
Original: set|owner , predicted 1st: read
Original: usemap , predicted 1st: add
Original: new|instance , predicted 1st: get|request
Original: get|job , predicted 1st: get|job
Original: main , predicted 1st: main
Original: initialize , predicted 1st: set|up
Original: create|x|attr|names , predicted 1st: get|names
Original: get|percent|block|pool|used , predicted 1st: get|total|size
Original: get|task|logs|url , predicted 1st: get|task|log|url
Original: set|users , predicted 1st: set|users
Original: tabindex , predicted 1st: add
Original: class , predicted 1st: add|attribute
Original: set|container|statuses , predicted 1st: set|up
Original: build|splits , predicted 1st: set|input|dir
Original: class , predicted 1st: add|attribute
Original: h , predicted 1st: is|h
Original: onchange , predicted 1st: add|attribute
Original: merge|local|to|builder , predicted 1st: init|application|state
Original: apply , predicted 1st: get|application|state
Original: id , predicted 1st: add|attribute
Original: checked , predicted 1st: add
Original: class , predicted 1st: add|attribute
Original: get|proto , predicted 1st: get
Original: compile , predicted 1st: compile
Original: monitor|health , predicted 1st: run
Original: a , predicted 1st: a
Original: id , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: get|file|id , predicted 1st: get|file|id
Original: set|queues , predicted 1st: set
Original: destroy , predicted 1st: destroy
Original: make|qualified , predicted 1st: get|path|path
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh|settings
Original: process|task|line , predicted 1st: get|task
Original: get|hadoop|users , predicted 1st: get|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: pattern
Original: delete , predicted 1st: delete
Original: make|big|integer , predicted 1st: get
Original: renew|delegation|token , predicted 1st: token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: is|ha|enabled , predicted 1st: is
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create
Original: get|node , predicted 1st: node
Original: set|selector , predicted 1st: parse
Original: create|io|exception , predicted 1st: create|error
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: hr , predicted 1st: 
Original: set|permission , predicted 1st: set|permission
Original: add|completion|event , predicted 1st: completion|completion|completion
Original: select , predicted 1st: set|selector
Original: unique|sequence|id , predicted 1st: get|next
Original: get|uri|default|port , predicted 1st: get|default|port|port
Original: initialize , predicted 1st: initialize
Original: is|ready|to|become|active , predicted 1st: is|ready|to|ready
Original: root , predicted 1st: create
Original: expand|leftmost , predicted 1st: create|file
Original: create|file|system , predicted 1st: get|file
Original: refresh , predicted 1st: refresh
Original: task|counters , predicted 1st: set|task
Original: parse|opts , predicted 1st: parse
Original: init|storage , predicted 1st: get|path
Original: id , predicted 1st: add|attribute
Original: get|proto , predicted 1st: get|response
Original: upload|data , predicted 1st: get|output|stream|stream
Original: get|proto , predicted 1st: to|response
Original: get|includes , predicted 1st: get|includes
Original: get|application|attempt|id , predicted 1st: get|application|id
Original: sub , predicted 1st: 
Original: span , predicted 1st: 
Original: pre|head , predicted 1st: set|up
Original: id , predicted 1st: add|attribute
