Original: get|min|height , predicted 1st: get|min|height
Original: set|camera , predicted 1st: set
Original: delete , predicted 1st: delete
Original: set|config|k|dp , predicted 1st: set|concurrent|config
Original: set|volume|mass , predicted 1st: set
Original: set|convex|to|world , predicted 1st: 
Original: get|gravity , predicted 1st: get
Original: get|max|motor|force , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: set|position , predicted 1st: set
Original: get|num|links , predicted 1st: get|float|data
Original: set|anchors , predicted 1st: set|data|data
Original: set|padding , predicted 1st: set|data
Original: get|leaf|node|array , predicted 1st: create
Original: reset|suspension , predicted 1st: reset
Original: set|disabled , predicted 1st: set|disabled
Original: compute|angular|impulse|denominator , predicted 1st: 
Original: get|triangle|index , predicted 1st: get
Original: set|linear|sleeping|threshold , predicted 1st: set|double|data
Original: get|colspan , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|barycentric|coordinates , predicted 1st: sub|result
Original: get|num|triangle|info|maps , predicted 1st: get
Original: delete , predicted 1st: delete
Original: set|closest|point|in|b , predicted 1st: set
Original: set|b|update|rt|cst , predicted 1st: set|value
Original: compare|to , predicted 1st: read|to|byte
Original: get|normal|on|surface|b , predicted 1st: get
Original: get|point|in|world , predicted 1st: 
Original: get|stop|erp , predicted 1st: 
Original: collide|polygon|and|circle , predicted 1st: create|entry
Original: get|unused , predicted 1st: get
Original: contains , predicted 1st: is
Original: get|flags , predicted 1st: get|data|flags
Original: create|entry , predicted 1st: create|entry
Original: get|barycentric|coords , predicted 1st: get
Original: get|collision|disabled|objects , predicted 1st: get|array
Original: set|current|linear|diff , predicted 1st: set
Original: grow|y , predicted 1st: 
Original: clean|overlapping|pair , predicted 1st: set
Original: get|scontacts , predicted 1st: get
Original: point|to|pixel , predicted 1st: get
Original: local|get|supporting|vertex , predicted 1st: 
Original: get|collision|shape|by|name , predicted 1st: get
Original: length , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|max|motor|force , predicted 1st: 
Original: get|rigid|body|by|index , predicted 1st: get|instance
Original: get|face|count , predicted 1st: get|last|code
Original: get|c|ptr , predicted 1st: get
Original: mult , predicted 1st: set
Original: get|instance , predicted 1st: get
Original: has|vertex|positions , predicted 1st: is
Original: set|tap|square|size , predicted 1st: set|size
Original: create|entry , predicted 1st: create|entry
Original: get|dispatcher , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: build|hull , predicted 1st: 
Original: reset , predicted 1st: reset
Original: serialize , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: set|padding , predicted 1st: set|data|data
Original: get|wheel|direction|cs , predicted 1st: 
Original: set|closest|point|on|simplex , predicted 1st: 
Original: set|interpolate , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: set|barycentric|coordinates , predicted 1st: 
Original: get|anchor , predicted 1st: get|double
Original: set|overlap|filter|callback , predicted 1st: set|callback
Original: get|circle , predicted 1st: get
Original: compute|impulse|denominator , predicted 1st: 
Original: get|c|ptr , predicted 1st: get|point|point
Original: test|limit|value , predicted 1st: test
Original: get|name , predicted 1st: get|double|double|double
Original: capacity , predicted 1st: get|capacity
Original: get|lower|limit , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: set|spring|damping , predicted 1st: 
Original: reset , predicted 1st: reset
Original: set|last|w , predicted 1st: set
Original: set|next|size , predicted 1st: set|data|data
Original: set|applied|push|impulse , predicted 1st: push|push
Original: new|char|buffer , predicted 1st: write
Original: get|c|ptr , predicted 1st: get
Original: set|current|linear|diff , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: calculate|velocity , predicted 1st: transform
Original: get|num|planes , predicted 1st: get
Original: get|cached|v , predicted 1st: 
Original: get|distance , predicted 1st: get
Original: get|c|ptr , predicted 1st: get|object
Original: draw|frame , predicted 1st: on|close
Original: set|max|ang|motor|force , predicted 1st: set|max|max
Original: set|floats , predicted 1st: set|double
Original: set|cluster , predicted 1st: set|cluster
Original: get|max|height|value , predicted 1st: get|max|height
Original: set|user|value , predicted 1st: set|value
Original: bt|rand , predicted 1st: 
Original: get|floats , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|c|ptr , predicted 1st: get
Original: get|axis , predicted 1st: get
Original: get|buttons , predicted 1st: get
Original: get|local|aabb|min , predicted 1st: get
Original: set|dispatcher , predicted 1st: set|body
Original: test|quantized|box|overlapp , predicted 1st: 
Original: new|instance , predicted 1st: new|instance
Original: set|wind|velocity , predicted 1st: set
Original: to|byte|array , predicted 1st: get|result
Original: get|padding , predicted 1st: get
Original: get|normal|offset , predicted 1st: get|descriptor
Original: swig|take|ownership , predicted 1st: run
Original: get|num|anchors , predicted 1st: get|float|data
Original: delete , predicted 1st: delete
Original: create|entry , predicted 1st: create|entry
Original: cluster|velocity , predicted 1st: new|cluster
Original: add|force , predicted 1st: add|force|force
Original: delete , predicted 1st: delete
Original: get|total|force , predicted 1st: get|float
Original: set|max|edge|angle|threshold , predicted 1st: set|max|map
Original: max|width , predicted 1st: set|max|width
Original: draw , predicted 1st: paint
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: min|height , predicted 1st: min|min
Original: set|sparsesdf , predicted 1st: set|value
Original: get|total|torque , predicted 1st: double
Original: append|note , predicted 1st: append
Original: reset , predicted 1st: test
Original: delete , predicted 1st: delete
Original: allocate , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|locked|vertex|index|base , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: append|anchor , predicted 1st: set|region
Original: add|all , predicted 1st: add|all|array
Original: align , predicted 1st: set
Original: delete , predicted 1st: delete
Original: de|serialize|double , predicted 1st: 
Original: delete , predicted 1st: delete
Original: is|checked , predicted 1st: is|checked
Original: get|damping|lim|ang , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|linear|velocity , predicted 1st: set
Original: get|draw|flags , predicted 1st: 
Original: remove|all , predicted 1st: is
Original: full|simplex , predicted 1st: is
Original: get|locked|read|only|vertex|index|base , predicted 1st: 
Original: is|leaf|node , predicted 1st: is
Original: serialize|double , predicted 1st: store
Original: get|declared|fields , predicted 1st: get|fields
Original: get|value , predicted 1st: get|short
Original: zoom , predicted 1st: is
Original: get|edge|v|v|angle , predicted 1st: 
Original: process|collision , predicted 1st: visit
Original: create|patch|uv , predicted 1st: 
Original: set|angular|upper|limit , predicted 1st: set
Original: append|note , predicted 1st: append
Original: get|c|ptr , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: serialize , predicted 1st: serialize|map
Original: set|mesh|parts|ptr , predicted 1st: set|data
Original: get|stop|cfm , predicted 1st: 
Original: process|all|overlapping|pairs , predicted 1st: visit|cache
Original: set|hit|normal|world , predicted 1st: set|result
Original: resolve|bilateral|pair|constraint , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: collide|circles , predicted 1st: set
Original: get|verbose|mode , predicted 1st: get
Original: preallocate|indices , predicted 1st: 
Original: set|bounce , predicted 1st: 
Original: scale , predicted 1st: set|soft
Original: get|wheel|axle|cs , predicted 1st: 
Original: add|soft|body , predicted 1st: on|body
Original: new|instance , predicted 1st: new|instance
Original: get|total|torque , predicted 1st: get|float
Original: get|computed|pad|bottom , predicted 1st: get|num
Original: set|ndbvt , predicted 1st: set
Original: delete , predicted 1st: delete
Original: pref|width , predicted 1st: set|width
Original: delete , predicted 1st: delete
Original: set|euler|zyx , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|angular|component|a , predicted 1st: 
Original: set|b|is|front|wheel , predicted 1st: set
Original: get|additional|angular|damping|factor , predicted 1st: get|double|data
Original: create|entry , predicted 1st: create|entry
Original: capacity , predicted 1st: get
Original: update|vehicle , predicted 1st: set
Original: get|all|checked , predicted 1st: get|checked
Original: create|entry , predicted 1st: create|entry
Original: get|computed|pad|top , predicted 1st: get|top
Original: get|user|value , predicted 1st: get|value
Original: get|value|array|ptr , predicted 1st: get|data|data
Original: clear , predicted 1st: 
Original: set|convex|to|world , predicted 1st: set|result
Original: set|pivot|in|b , predicted 1st: set|float|point|point
Original: get|escape|index , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: min|axis , predicted 1st: min
Original: internal|get|delta|angular|velocity , predicted 1st: get|internal|internal
Original: set|vertices|d , predicted 1st: set|data
Original: create|entry , predicted 1st: create|entry
Original: get|pick|ray , predicted 1st: get
Original: get|degenerate , predicted 1st: is
Original: get|restitution , predicted 1st: 
Original: swig|release|ownership , predicted 1st: test
Original: mark|supported , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: get|node|count , predicted 1st: get|last|node
Original: set|num|tetrahedra , predicted 1st: set|float|data
Original: set|spring|damping , predicted 1st: 
Original: create , predicted 1st: create
Original: create|entry , predicted 1st: create|entry
Original: get|c|ptr , predicted 1st: get
Original: reset , predicted 1st: reset
Original: reverse , predicted 1st: test
Original: translate , predicted 1st: visit
Original: set|current|position , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|c|ptr , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: set|object|type , predicted 1st: set|object|object
Original: delete , predicted 1st: delete
Original: get|c|ptr , predicted 1st: get
Original: get|angular|sleeping|threshold , predicted 1st: get|float|jdbc|data
Original: get|actor , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|enable|spring , predicted 1st: 
Original: get|additional|damping , predicted 1st: get|jdbc|jdbc|data
Original: create|entry , predicted 1st: create|entry
Original: apply|central|impulse , predicted 1st: apply
Original: delete , predicted 1st: delete
Original: get|edge|distance|threshold , predicted 1st: get
Original: get|uid , predicted 1st: get
Original: get|total|torque , predicted 1st: get
Original: get|edge|v|v|angle , predicted 1st: get
Original: get|vertex|count , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: internal|apply|impulse , predicted 1st: apply
Original: normalize , predicted 1st: 
Original: get|primitive|count , predicted 1st: get|base|manager
Original: get|num|quantized|contiguous|nodes , predicted 1st: get
Original: delete , predicted 1st: delete
Original: get|linear|velocity , predicted 1st: double
Original: set|config|k|sk|splt|cl , predicted 1st: set|concurrent|config
Original: needs|feedback , predicted 1st: is
Original: set|restitution|dir|lin , predicted 1st: set
Original: construct , predicted 1st: create
Original: un|lock|vertex|base , predicted 1st: 
Original: set|num|nodes , predicted 1st: set|float|data
Original: get|next|free , predicted 1st: get
Original: get , predicted 1st: get|char
Original: get|tap|count , predicted 1st: get|count
Original: set|key|array|ptr , predicted 1st: set
Original: get|c|ptr , predicted 1st: get|object
Original: get|c|ptr , predicted 1st: get|float
Original: reset , predicted 1st: reset
Original: update|rhs , predicted 1st: set|max|point|point
Original: get|num|constraint|refs , predicted 1st: get
Original: set|rand|seed , predicted 1st: set
Original: set|value|array|ptr , predicted 1st: set|data
Original: get|dist , predicted 1st: get
Original: get|child|count , predicted 1st: get
Original: last|index|of , predicted 1st: get
Original: set|padding , predicted 1st: multi|multi|valued
Original: get|primitive|triangle , predicted 1st: 
Original: get , predicted 1st: get|char
Original: get|zero|area|threshold , predicted 1st: get
Original: set|padding , predicted 1st: set
Original: get|element , predicted 1st: get|element
Original: get|lower|lin|limit , predicted 1st: get|lower
Original: get|enable|motor , predicted 1st: is
Original: get|linear|factor , predicted 1st: 
Original: delete , predicted 1st: delete
Original: get|restitution|lim|lin , predicted 1st: get
Original: set|num|contiguous|leaf|nodes , predicted 1st: set
Original: set|mesh|interface , predicted 1st: 
Original: get|floats , predicted 1st: get
Original: collide|polygons , predicted 1st: to|x
Original: obtain , predicted 1st: get
Original: get|cfm , predicted 1st: get
Original: set|linear|damping , predicted 1st: set|float|data
Original: set|breaking|impulse|threshold , predicted 1st: set|double|double
Original: set|additional|damping , predicted 1st: set|float|data
Original: clear|actor , predicted 1st: set|set
Original: create|entry , predicted 1st: create|entry
Original: build , predicted 1st: 
Original: set|traversal|mode , predicted 1st: set
Original: reset , predicted 1st: reset
Original: min|width , predicted 1st: min
Original: rotate , predicted 1st: set|soft|code
Original: get|instance , predicted 1st: get|instance
Original: create|entry , predicted 1st: create|entry
Original: set|escape|index , predicted 1st: 
Original: skip , predicted 1st: to
Original: set|enable|motor , predicted 1st: enable
Original: set|angular|damping , predicted 1st: set|double|data
Original: delete , predicted 1st: delete
Original: get|shape|a , predicted 1st: get
Original: set|pad , predicted 1st: 
Original: delete|all|data , predicted 1st: test|delete|all
Original: get|buffered|count , predicted 1st: get|count
Original: create|entry , predicted 1st: create|entry
Original: delete , predicted 1st: delete
Original: v|solve|links , predicted 1st: 
Original: get|aabb|min , predicted 1st: get|jdbc|jdbc|socket
Original: allocate , predicted 1st: size
Original: create|entry , predicted 1st: create|entry
Original: get|pad|left|value , predicted 1st: get|left
Original: get|indices , predicted 1st: 
Original: create|world , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: set|node|bound , predicted 1st: set
Original: get|air|density , predicted 1st: start|info
Original: space|left , predicted 1st: space
Original: first , predicted 1st: get|value
Original: get|frame|offset|b , predicted 1st: get
Original: get|faces , predicted 1st: is|soft|data
Original: inv|xform , predicted 1st: 
Original: get|lin|depth , predicted 1st: get
Original: set|breaking|impulse|threshold , predicted 1st: set|data
Original: set|y , predicted 1st: set
Original: set|config|k|chr , predicted 1st: set|concurrent|config
Original: set|linear|lower|limit , predicted 1st: set|data
Original: set|has|result , predicted 1st: set|max|point
Original: de|serialize , predicted 1st: transform
Original: get|target|velocity , predicted 1st: 
Original: touch|down , predicted 1st: on|click
Original: nearest , predicted 1st: 
Original: get|locked|read|only|vertex|index|base , predicted 1st: 
Original: get|planar|epsilon , predicted 1st: get
Original: order|impl , predicted 1st: get|byte|byte
Original: optimize , predicted 1st: update
Original: get|c|ptr , predicted 1st: get
Original: get|pref|height , predicted 1st: get|height
Original: get|bvh|quantization , predicted 1st: double
Original: free , predicted 1st: test
Original: bench|long , predicted 1st: test|buffer
Original: de|serialize|in|place , predicted 1st: buffer|buffer
Original: create|entry , predicted 1st: create|entry
Original: compute|gyroscopic|impulse|implicit|body , predicted 1st: 
Original: pinch|zoom , predicted 1st: 
Original: execute|ant , predicted 1st: execute
Original: get|c|ptr , predicted 1st: get
Original: reset , predicted 1st: reset
Original: set|body|btype , predicted 1st: set|data
Original: set|joint|feedback , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: get|original|contact|point , predicted 1st: get|original|storage
Original: add|overlapping|pair , predicted 1st: visit|proxy
Original: get|clusters , predicted 1st: is|soft|data
Original: swap , predicted 1st: index|index
Original: is|direct , predicted 1st: is
Original: set|gravity , predicted 1st: set|body
Original: set|aabb|max|org , predicted 1st: 
Original: swig|take|ownership , predicted 1st: test
Original: is|annotation|present , predicted 1st: is|annotation|annotation
Original: reset , predicted 1st: test
Original: create|entry , predicted 1st: create|entry
Original: get|broadphase|proxy , predicted 1st: get
Original: fling , predicted 1st: is|enabled
Original: delete , predicted 1st: delete
Original: get|angular|damping , predicted 1st: get|float|jdbc|data
Original: set|nodes , predicted 1st: set|value
Original: create|entry , predicted 1st: create|entry
Original: get|convex|epsilon , predicted 1st: get
Original: width , predicted 1st: set|width
Original: add|triangle , predicted 1st: add
Original: new|byte|buffer , predicted 1st: read|buffer
Original: create|entry , predicted 1st: create|entry
Original: set|angular|component|a , predicted 1st: set
Original: pan , predicted 1st: is|equal
Original: create|entry , predicted 1st: create|entry
Original: with , predicted 1st: array|array
Original: set|number|of|position|iterations , predicted 1st: set|code
Original: resize , predicted 1st: set
Original: get|overlapping|pair|array , predicted 1st: create|array
Original: get|pad|right , predicted 1st: get
Original: get|escape|node|index , predicted 1st: get
Original: get|setting , predicted 1st: get|primary|key
Original: set|hit|fraction , predicted 1st: 
Original: delete , predicted 1st: delete
Original: get|friction|index , predicted 1st: 
Original: get|interfaces , predicted 1st: get|interfaces
Original: create|entry , predicted 1st: create|entry
Original: get|locked|vertex|index|base , predicted 1st: 
Original: cluster|impulse , predicted 1st: set
Original: get|applied|impulse , predicted 1st: get|double|double|double
Original: set|linear|factor , predicted 1st: set
Original: quicksort , predicted 1st: 
Original: set|vertex , predicted 1st: set
Original: protected|array|offset , predicted 1st: get
Original: ray|test , predicted 1st: 
Original: set|collision|margin , predicted 1st: 
Original: p|solve|r|contacts , predicted 1st: set
Original: has|deferred|removal , predicted 1st: is
Original: get|vertices , predicted 1st: add|index
Original: put , predicted 1st: set
Original: set|contact|solver|type , predicted 1st: set|hit
Original: refresh|contact|points , predicted 1st: refresh
Original: swig|take|ownership , predicted 1st: test
Original: reset , predicted 1st: reset
Original: get|vertices|d , predicted 1st: 
Original: set|index|b , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|num|triangles , predicted 1st: get|data
Original: get|type|constraint|data , predicted 1st: get|double|double|double
Original: set|restitution|ortho|ang , predicted 1st: set
Original: set|materials , predicted 1st: set
Original: internal|get|angular|velocity , predicted 1st: set|internal
Original: get|c|ptr , predicted 1st: get
Original: get|volume , predicted 1st: get
Original: get|anchors , predicted 1st: get
Original: get|transform|b , predicted 1st: get
Original: set|value , predicted 1st: set|short
Original: size , predicted 1st: get|array
Original: get|inv|inertia|tensor|world , predicted 1st: x|p
Original: update|link|constants , predicted 1st: update|update|update
Original: get|soft|body|solver , predicted 1st: is|soft|body
Original: get|angular|velocity , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: create|patch|uv , predicted 1st: 
Original: swig|release|ownership , predicted 1st: run
Original: get|cdbvt , predicted 1st: get
Original: get|angular|factor , predicted 1st: get|float
Original: reset , predicted 1st: set
Original: delete , predicted 1st: delete
Original: set|enable|motor , predicted 1st: enable
Original: get|current|position , predicted 1st: 
Original: get|escape|index , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: get|pad , predicted 1st: get
Original: reset , predicted 1st: reset
Original: create|entry , predicted 1st: create|entry
