Original: accept|charset , predicted 1st: add
Original: onmouseup , predicted 1st: add
Original: set|start|range , predicted 1st: set|up
Original: should|allow|standby|reads , predicted 1st: is
Original: get|conf|for|other|node , predicted 1st: get|node|for|for
Original: build|token|service|prefix|for|logical|uri , predicted 1st: get|scheme
Original: maybe|init|builder , predicted 1st: set|up
Original: maybe|init|builder , predicted 1st: set|up
Original: start|decommission , predicted 1st: add
Original: remove|acl|entries , predicted 1st: do|process
Original: i , predicted 1st: set|selector
Original: get|job|attempts , predicted 1st: get|job|from|job
Original: render , predicted 1st: run
Original: get|history|info , predicted 1st: create|info
Original: set|failover|configurations , predicted 1st: add|address
Original: cite , predicted 1st: append
Original: update|token , predicted 1st: set|token
Original: id , predicted 1st: add
Original: hreflang , predicted 1st: add
Original: create , predicted 1st: do|close
Original: close , predicted 1st: close
Original: maybe|init|builder , predicted 1st: set|up
Original: onblur , predicted 1st: add
Original: new|instance , predicted 1st: get|request
Original: maybe|init|builder , predicted 1st: set|up
Original: unescape|path|component , predicted 1st: get|name
Original: get|client|handler , predicted 1st: get|protocol|protocol
Original: create|file|system , predicted 1st: get|config
Original: get|reduce|output|records , predicted 1st: get|out
Original: get|file|status , predicted 1st: get|status
Original: get|summarizer , predicted 1st: get
Original: get|services , predicted 1st: get|services
Original: get|attribute , predicted 1st: get|attribute
Original: h , predicted 1st: 
Original: convert|to|proto|format , predicted 1st: get|task
Original: accept , predicted 1st: add|value
Original: samp , predicted 1st: set|selector
Original: refresh|admin|acls , predicted 1st: set|up
Original: init|local|node|manager|infos|list , predicted 1st: test|list|list
Original: maybe|init|builder , predicted 1st: set|up
Original: get|working|directory , predicted 1st: get|directory|path
Original: init|local|container|ids , predicted 1st: init|container|ids
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: pre , predicted 1st: pre|pre
Original: i , predicted 1st: i
Original: h , predicted 1st: append
Original: merge|local|to|builder , predicted 1st: set|application|list
Original: set|recursive , predicted 1st: set|recursive
Original: pre|head , predicted 1st: set|up
Original: set|next|directory|input|stream , predicted 1st: read
Original: merge|local|to|builder , predicted 1st: set|cluster|cluster|cluster
Original: iterator , predicted 1st: iterator|iterator
Original: logs , predicted 1st: render
Original: get|content|summary , predicted 1st: get|summary|summary
Original: loop|until|connected , predicted 1st: connect
Original: class , predicted 1st: add|value
Original: get|usage|string , predicted 1st: get|help|path
Original: conf|page , predicted 1st: get|model|class
Original: name , predicted 1st: add
Original: id , predicted 1st: add
Original: create|x|attr|map , predicted 1st: get|byte|value
Original: hash , predicted 1st: hash
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: map
Original: kbd , predicted 1st: set|selector
Original: resolved|address|from|datanode|id , predicted 1st: get|address
Original: get|proto , predicted 1st: to|response
Original: get|job|types , predicted 1st: get|task|values
Original: convert|to|proto|format , predicted 1st: get|event|event
Original: get|current|block|replication , predicted 1st: get|block|block
Original: configure|high|ram|properties , predicted 1st: configure|config
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: set|up
Original: q , predicted 1st: list
Original: get|application|types , predicted 1st: get|application|types
Original: run , predicted 1st: do|call
Original: get|volume|ids , predicted 1st: get|ids|ids
Original: remove|task|report , predicted 1st: remove
Original: set|replication , predicted 1st: is|set
Original: publish|data|statistics , predicted 1st: load|statistics
Original: set|application|states , predicted 1st: set|application
Original: get|job , predicted 1st: get|job|info
Original: scan|directory|for|history|files , predicted 1st: scan|directory
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add|value
Original: get|proto , predicted 1st: to
Original: set|times , predicted 1st: set|up
Original: set , predicted 1st: do|to
Original: pack , predicted 1st: new
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: set|text
Original: user|has|administrator|access , predicted 1st: is|user|user|allowed
Original: get|scheme , predicted 1st: get|name
Original: find|or|make|emitter , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set|up
Original: get|method|name , predicted 1st: get|method|name
Original: get|cluster|metrics , predicted 1st: get|cluster|cluster|cluster
Original: r , predicted 1st: 
Original: id , predicted 1st: add
Original: remove|token|master|key , predicted 1st: remove|state
Original: init|storage , predicted 1st: apply
Original: get|protocol|version , predicted 1st: get|protocol|protocol
Original: print|single|distribution|data , predicted 1st: print
Original: print|distribution|set , predicted 1st: print
Original: set|permission , predicted 1st: do|process
Original: get|application|id , predicted 1st: get|application|id
Original: convert|to|proto|format , predicted 1st: get|user|info
Original: get|units , predicted 1st: get|value
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|size|size
Original: make|absolute , predicted 1st: create|path
Original: read|fields , predicted 1st: read|from
Original: wait|for , predicted 1st: wait|for
Original: value , predicted 1st: add|value
Original: bq , predicted 1st: 
Original: b , predicted 1st: foo
Original: init|local|application|attempts|list , predicted 1st: test|from
Original: height , predicted 1st: add
Original: br , predicted 1st: get|selector
Original: get|replication , predicted 1st: get|block|block
Original: get|output|records , predicted 1st: get
Original: get|tmax , predicted 1st: get
Original: get|job|counters , predicted 1st: get|job|info
Original: label , predicted 1st: add|value
Original: src , predicted 1st: add
Original: open , predicted 1st: get|input|stream|stream
Original: class , predicted 1st: add|value
Original: set|replication , predicted 1st: do|validate
Original: echo , predicted 1st: main
Original: set|container|list , predicted 1st: set
Original: cancel|delegation|token , predicted 1st: token|token
Original: get|all|file|info , predicted 1st: get
Original: main , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test|remove
Original: run , predicted 1st: get|object
Original: run , predicted 1st: do|remove
Original: run , predicted 1st: do|remove
Original: run , predicted 1st: do|remove
Original: run , predicted 1st: do|remove
Original: run , predicted 1st: do|remove
Original: create|url , predicted 1st: get|url
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add
Original: init|application|types , predicted 1st: set|application|types
Original: get|proxyuser|configuration , predicted 1st: get|config
Original: del , predicted 1st: trim
Original: generate|record , predicted 1st: get|byte|byte
Original: get|home|directory , predicted 1st: get|path
Original: release|and|rethrow , predicted 1st: release
Original: fixed|bytes , predicted 1st: get|bytes
Original: set|task|report , predicted 1st: set|task|task
Original: close|storage , predicted 1st: close
Original: button , predicted 1st: append
Original: get|underlying|counter , predicted 1st: get
Original: attempts , predicted 1st: do|to
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container
Original: generate|graph|viz , predicted 1st: generate
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|task|report
Original: open , predicted 1st: get|input|stream|stream
Original: get|num|datanodes|in|service , predicted 1st: get|node|nodes
Original: h , predicted 1st: fun
Original: get|parent , predicted 1st: get|parent
Original: get|delegation|token , predicted 1st: get|token
Original: emit|metric , predicted 1st: do|start
Original: h , predicted 1st: fun
Original: compiled , predicted 1st: get|compiled
Original: get|proto , predicted 1st: to
Original: get|output|bytes , predicted 1st: get
Original: get|reduce|output|bytes , predicted 1st: get|bytes
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: button , predicted 1st: run
Original: set|ready|to|become|active , predicted 1st: get|active|active
Original: rename|internal , predicted 1st: rename
Original: get|task|report , predicted 1st: get|task|task
Original: get|configuration , predicted 1st: get|properties
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: new|instance , predicted 1st: create|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get|bytes
Original: get|file|block|locations , predicted 1st: get|location
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: 
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: create
Original: compare|seed , predicted 1st: get|size
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job
Original: make|absolute , predicted 1st: get|path
Original: start , predicted 1st: start
Original: id , predicted 1st: add
Original: class , predicted 1st: add|value
Original: maybe|init|builder , predicted 1st: set|up
Original: ol , predicted 1st: set|selector
Original: script , predicted 1st: set|script
Original: use|logical|uri , predicted 1st: get|uri|uri
Original: hr , predicted 1st: set|selector
Original: object , predicted 1st: get|object
Original: class , predicted 1st: add|value
Original: set|units , predicted 1st: set
Original: refresh|loaded|job|cache , predicted 1st: get|refresh|refresh
Original: is|local|mr , predicted 1st: is|local
Original: id , predicted 1st: add
Original: id , predicted 1st: add
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: refresh|loaded|job|cache , predicted 1st: get|cache|cache
Original: rel , predicted 1st: add|value
Original: get|scheme , predicted 1st: get|name
Original: get|hadoop|proxy|user|groups , predicted 1st: get|groups
Original: register , predicted 1st: add
Original: get|container|report , predicted 1st: get|report
Original: close , predicted 1st: run
Original: init|queues , predicted 1st: test|list
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: do|health|checks , predicted 1st: test
Original: get|file|status , predicted 1st: get|status
Original: label , predicted 1st: for
Original: b , predicted 1st: trim
Original: conf|table|init , predicted 1st: get|table|name
Original: textarea , predicted 1st: get
Original: log|success , predicted 1st: log|info
Original: get , predicted 1st: get|server|server
Original: close|storage , predicted 1st: close
Original: pre|head , predicted 1st: set|up
Original: rename , predicted 1st: do|rename
Original: parse|selector , predicted 1st: get|selector
Original: print|usage , predicted 1st: create|command
Original: read , predicted 1st: read
Original: emit|metric , predicted 1st: set|name
Original: load|tokens , predicted 1st: get|tokens|tokens
Original: img , predicted 1st: get|all
Original: validate|task|memory|limits , predicted 1st: set|max|max|key
Original: is|element , predicted 1st: is|matches
Original: set|state|internal , predicted 1st: write
Original: get|expected|output , predicted 1st: get|user|name
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|classes
Original: h , predicted 1st: fun
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: to
Original: set|spec , predicted 1st: set
Original: main , predicted 1st: run
Original: put|metrics , predicted 1st: visit
Original: start|threads , predicted 1st: start|start
Original: small , predicted 1st: get|all
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add|listener
Original: find|timestamped|directories , predicted 1st: get
Original: get|child|file|systems , predicted 1st: get|system|files
Original: can|parse , predicted 1st: is|input
Original: small , predicted 1st: fun
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: update
Original: generate|ascii|record , predicted 1st: get
Original: table , predicted 1st: get|table
Original: multiple , predicted 1st: add
Original: id , predicted 1st: add
Original: abbr , predicted 1st: fun
Original: name , predicted 1st: add
Original: get|server|defaults , predicted 1st: get|server|server
Original: get|x|attr , predicted 1st: get|path
Original: set|conf , predicted 1st: set|up
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: 
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set|path
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application|list
Original: id , predicted 1st: get
Original: archive|path , predicted 1st: get|path
Original: usage , predicted 1st: test
Original: cite , predicted 1st: fun
Original: class , predicted 1st: add|value
Original: disabled , predicted 1st: get
Original: get|read|statistics , predicted 1st: get|read|read|read
Original: get|not|ready|reason , predicted 1st: get|ready
Original: check|health , predicted 1st: test|check
Original: print|usage , predicted 1st: create|test
Original: init|lut , predicted 1st: add
Original: h , predicted 1st: 
Original: get|capacity|used|non|dfs , predicted 1st: get|non|size
Original: opt , predicted 1st: add
Original: class , predicted 1st: add|value
Original: rename|internal , predicted 1st: rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: info|info
Original: get|job|id , predicted 1st: get|job|id
Original: set|finish|range , predicted 1st: set
Original: get|capacity|total , predicted 1st: get|total|total
Original: run , predicted 1st: create
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: set|up
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: read
Original: get|task|report|count , predicted 1st: get|task|size
Original: about , predicted 1st: render
Original: decode|file|name , predicted 1st: get|version|string|string
Original: get|capacity|used , predicted 1st: get|size
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: main
Original: maxlength , predicted 1st: add|value
Original: main , predicted 1st: main
Original: get|type|name , predicted 1st: get|type|name
Original: test|existing|user , predicted 1st: test|get|user|name
Original: is|empty|local|name , predicted 1st: is|empty
Original: next|event , predicted 1st: get|event
Original: get|size , predicted 1st: get|size
Original: get|x|attrs , predicted 1st: get|path
Original: new|instance , predicted 1st: new|response
Original: ol , predicted 1st: 
Original: check|access , predicted 1st: has|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: fun
Original: content , predicted 1st: get|model
Original: process|general|options , predicted 1st: add
Original: enforce|root|path , predicted 1st: check
Original: id , predicted 1st: add
Original: indent , predicted 1st: do|test
Original: sort , predicted 1st: do|process
Original: id , predicted 1st: add
Original: h , predicted 1st: 
Original: build|token|service|for|logical|uri , predicted 1st: get|text
Original: run , predicted 1st: do|get
Original: onblur , predicted 1st: add
Original: emit|record , predicted 1st: get|data
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: initialize|web|server , predicted 1st: init
Original: create|internal , predicted 1st: create|output|stream|stream
Original: get|finish|range , predicted 1st: get|next
Original: get|include|child|queues , predicted 1st: has|child
Original: service|init , predicted 1st: create|pool
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read
Original: ins , predicted 1st: get
Original: init|diagnostics , predicted 1st: foo
Original: remove|x|attr , predicted 1st: do|validate
Original: onkeyup , predicted 1st: add
Original: add|directory|to|job|list|cache , predicted 1st: execute|files
Original: test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: test|access
Original: run , predicted 1st: test
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: is|healthy , predicted 1st: get|client
Original: init|local|queue|user|acls|list , predicted 1st: test|list
Original: get|remaining|args , predicted 1st: get|args
Original: get|cache|used , predicted 1st: get|cache|cache
Original: get|group , predicted 1st: get|group
Original: get|proto , predicted 1st: to
Original: remove|default|acl , predicted 1st: validate
Original: is|method|supported , predicted 1st: is|valid
Original: init|failed|requests , predicted 1st: test
Original: set|x|attr , predicted 1st: set|value
Original: delete|job|from|done , predicted 1st: delete|file|info
Original: new|node , predicted 1st: add|node
Original: get|wrapped|stream , predicted 1st: get|in|stream
Original: new|instance , predicted 1st: new|response
Original: class , predicted 1st: add|value
Original: confirm|force|manual , predicted 1st: is|show
Original: set|state , predicted 1st: validate
Original: height , predicted 1st: add
Original: name , predicted 1st: add
Original: conf|post|table|init , predicted 1st: get|test
Original: set|scope , predicted 1st: set|scope
Original: complete|local|output , predicted 1st: do|set|file
Original: get|distribution , predicted 1st: get
Original: copy|from|local|file , predicted 1st: is
Original: assert|value|within|range , predicted 1st: assert|equals
Original: h , predicted 1st: append
Original: sup , predicted 1st: fun
Original: needs|escaping , predicted 1st: is|script
Original: set|excludes|file , predicted 1st: set|file
Original: b , predicted 1st: trim
Original: release , predicted 1st: close
Original: kbd , predicted 1st: fun
Original: read , predicted 1st: read
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|path
Original: add|protocol , predicted 1st: add|protocol|protocol
Original: initialize , predicted 1st: get
Original: get|token|path , predicted 1st: get|token|path
Original: rowspan , predicted 1st: add
Original: maybe|uncompressed|path , predicted 1st: read
Original: get|proto , predicted 1st: to
Original: check|paths , predicted 1st: check|not|not|not|not|not
Original: img , predicted 1st: get|all
Original: maybe|init|builder , predicted 1st: set|up
Original: accept , predicted 1st: add|value
Original: size , predicted 1st: add|value
Original: get|server|defaults , predicted 1st: create|default|server
Original: clear , predicted 1st: method
Original: class , predicted 1st: add|value
Original: cite , predicted 1st: get
Original: renew|delegation|token , predicted 1st: get|token
Original: run , predicted 1st: token|token
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|model|class
Original: load|state , predicted 1st: get|state
Original: run , predicted 1st: print
Original: form , predicted 1st: get|form
Original: sup , predicted 1st: fun
Original: samp , predicted 1st: set|selector
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: render
Original: write , predicted 1st: bytes|as|bytes
Original: get|name , predicted 1st: get|name|name
Original: is|token|for|logical|uri , predicted 1st: is|service|prefix
Original: add|fencing|parameters , predicted 1st: set|key
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|model
Original: set|retain|days , predicted 1st: set|days
Original: transition|to|standby , predicted 1st: on|state
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add
Original: accesskey , predicted 1st: add
Original: list|status , predicted 1st: get|file|status
Original: init , predicted 1st: init|prefix
Original: q , predicted 1st: get|all
Original: new|instance , predicted 1st: get|request|request
Original: render , predicted 1st: test
Original: datetime , predicted 1st: add
Original: print|usage , predicted 1st: run
Original: bdo , predicted 1st: fun
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add
Original: init|file|system , predicted 1st: test
Original: add|default|servlets , predicted 1st: init|level
Original: id , predicted 1st: add
Original: graceful|failover|through|zkf|cs , predicted 1st: get
Original: new|instance , predicted 1st: new|response
Original: clear|space|quota , predicted 1st: set
Original: h , predicted 1st: 
Original: code , predicted 1st: get|code
Original: is|because|safe|mode , predicted 1st: is|exception|exception
Original: maybe|init|builder , predicted 1st: set|up
Original: create|output|stream , predicted 1st: create|output|stream|stream
Original: set|job|id , predicted 1st: set|job|id
Original: get|volume|indexes , predicted 1st: get
Original: init|cluster , predicted 1st: set|cluster|cluster
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait
Original: parse|counter , predicted 1st: get|name
Original: wrap|safe|string , predicted 1st: get|label
Original: q , predicted 1st: append
Original: merge|local|to|builder , predicted 1st: set|job|job
Original: do|filter , predicted 1st: do|filter
Original: monitor|health , predicted 1st: check|request
Original: get|job|id , predicted 1st: get|job|id
Original: class , predicted 1st: add|value
Original: merge|local|to|builder , predicted 1st: set|info|info
Original: new|instance , predicted 1st: get|user|info|info
Original: run , predicted 1st: run
Original: class , predicted 1st: add|value
Original: get , predicted 1st: get
Original: initialize|hadoop|logs|analyzer , predicted 1st: get|input
Original: store|token , predicted 1st: set|token
Original: id , predicted 1st: add
Original: setup , predicted 1st: test
Original: set|finish|range , predicted 1st: set
Original: create|direct|decompressor , predicted 1st: get
Original: pkg|name , predicted 1st: get|default
Original: get|symlink , predicted 1st: get|string
Original: init , predicted 1st: copy
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add|value
Original: get|file|status , predicted 1st: get|file|status
Original: ins , predicted 1st: fun
Original: create|cluster , predicted 1st: test|data|size
Original: disabled , predicted 1st: get
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create
Original: test|set|x|attr , predicted 1st: test|remove
Original: write|dist|cache|data , predicted 1st: generate|data
Original: get|node|reports , predicted 1st: get|node|info
Original: set|space|quota , predicted 1st: set
Original: class , predicted 1st: add|value
Original: h , predicted 1st: append
Original: get|proto , predicted 1st: get
Original: h , predicted 1st: 
Original: try|creating|history|dirs , predicted 1st: execute
Original: refresh|user|to|groups|mappings , predicted 1st: run|user
Original: set|acl , predicted 1st: do|process
Original: id , predicted 1st: add
Original: test|no|user|given , predicted 1st: test|default|user|user
Original: get|proto , predicted 1st: to
Original: convert , predicted 1st: get|state|change|state
Original: dfn , predicted 1st: 
Original: sub , predicted 1st: append
Original: close|storage , predicted 1st: close
Original: init , predicted 1st: init
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: new|new|blocks
Original: get|job|summary , predicted 1st: read
Original: class , predicted 1st: add|value
Original: scan|directory , predicted 1st: process
Original: transition|to|active , predicted 1st: set|request|state
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|default|channel
Original: load|token|state , predicted 1st: load|state
Original: cancel|delegation|token , predicted 1st: cancel|token
Original: create|success|log , predicted 1st: add
Original: set|owner , predicted 1st: set|owner
Original: new|instance , predicted 1st: get|request
Original: usemap , predicted 1st: add
Original: get|job , predicted 1st: get|job
Original: incorporate|counters , predicted 1st: set|up
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|input|bytes
Original: set , predicted 1st: set|input|map
Original: set , predicted 1st: set|output|bytes
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|input|string
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|virtual|virtual|virtual|virtual|usage
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|usage
Original: merge|local|to|builder , predicted 1st: set|up
Original: apply , predicted 1st: get|state
Original: main , predicted 1st: main
Original: create|x|attr|names , predicted 1st: get|names
Original: get|percent|block|pool|used , predicted 1st: get|total|size
Original: class , predicted 1st: add|value
Original: set|users , predicted 1st: set|users
Original: get|task|logs|url , predicted 1st: get|task|log|log|log|id
Original: tabindex , predicted 1st: add
Original: class , predicted 1st: add|value
Original: build|splits , predicted 1st: set|input|dir
Original: initialize , predicted 1st: get
Original: h , predicted 1st: 
Original: set|container|statuses , predicted 1st: set|status
Original: id , predicted 1st: add
Original: onchange , predicted 1st: add
Original: class , predicted 1st: add|value
Original: checked , predicted 1st: add
Original: class , predicted 1st: add|value
Original: make|qualified , predicted 1st: get|path
Original: compile , predicted 1st: compile
Original: get|proto , predicted 1st: to
Original: id , predicted 1st: add
Original: a , predicted 1st: a
Original: monitor|health , predicted 1st: run
Original: get|file|id , predicted 1st: get|file|id
Original: destroy , predicted 1st: destroy
Original: set|queues , predicted 1st: set
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh|refresh
Original: make|big|integer , predicted 1st: get|int
Original: get|hadoop|users , predicted 1st: get|default|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: pattern
Original: delete , predicted 1st: delete
Original: is|ha|enabled , predicted 1st: is|valid
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create|user|user|client
Original: renew|delegation|token , predicted 1st: get|token|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: create|io|exception , predicted 1st: read|error
Original: get|node , predicted 1st: node
Original: set|selector , predicted 1st: parse
Original: hr , predicted 1st: 
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: set|permission , predicted 1st: set|permission
Original: initialize , predicted 1st: get|user
Original: select , predicted 1st: set|selector
Original: add|completion|event , predicted 1st: add|completion|completion|completion
Original: unique|sequence|id , predicted 1st: get|sequence
Original: get|uri|default|port , predicted 1st: get|default|port
Original: root , predicted 1st: get
Original: is|ready|to|become|active , predicted 1st: is|active|active
Original: expand|leftmost , predicted 1st: get|text
Original: create|file|system , predicted 1st: get|user|file
Original: refresh , predicted 1st: get|collection|response
Original: process|task|line , predicted 1st: add
Original: task|counters , predicted 1st: do|get
Original: parse|opts , predicted 1st: parse
Original: upload|data , predicted 1st: get|connection|stream
Original: id , predicted 1st: add
Original: init|storage , predicted 1st: set|root|root
Original: failover , predicted 1st: create|entry
Original: get|proto , predicted 1st: get|response
Original: get|includes , predicted 1st: get|includes
Original: sub , predicted 1st: fun
Original: get|proto , predicted 1st: to|test
Original: span , predicted 1st: fun
Original: get|application|attempt|id , predicted 1st: get|id|id
Original: id , predicted 1st: add
Original: stop|threads , predicted 1st: stop
Original: pre|head , predicted 1st: init
Original: h , predicted 1st: append
Original: href , predicted 1st: add
Original: main , predicted 1st: run
Original: remove|acl , predicted 1st: remove|path
Original: get|address|of|active , predicted 1st: get|server
Original: pre|head , predicted 1st: set|up
Original: mkdir , predicted 1st: create|parent
