Original: accept|charset , predicted 1st: add
Original: unescape|path|component , predicted 1st: get|name|name
Original: get|client|handler , predicted 1st: get|protocol|protocol
Original: create|file|system , predicted 1st: get|file
Original: get|reduce|output|records , predicted 1st: get|out|out
Original: get|file|status , predicted 1st: get|status
Original: get|summarizer , predicted 1st: get
Original: get|services , predicted 1st: get|services
Original: get|attribute , predicted 1st: get|attribute
Original: h , predicted 1st: 
Original: convert|to|proto|format , predicted 1st: get|task
Original: accept , predicted 1st: add
Original: samp , predicted 1st: set|selector|selector
Original: refresh|admin|acls , predicted 1st: test
Original: init|local|node|manager|infos|list , predicted 1st: test|to|format
Original: maybe|init|builder , predicted 1st: set|up
Original: get|working|directory , predicted 1st: get|home|directory
Original: init|local|container|ids , predicted 1st: test|container|ids
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: pre , predicted 1st: pre|pre|pre
Original: i , predicted 1st: get
Original: h , predicted 1st: set|selector|selector
Original: merge|local|to|builder , predicted 1st: set|application
Original: set|recursive , predicted 1st: set|recursive
Original: pre|head , predicted 1st: set|up
Original: set|next|directory|input|stream , predicted 1st: read
Original: merge|local|to|builder , predicted 1st: set|cluster|cluster
Original: iterator , predicted 1st: iterator
Original: logs , predicted 1st: render
Original: get|content|summary , predicted 1st: get|content|json|json
Original: loop|until|connected , predicted 1st: wait|connect|connect
Original: class , predicted 1st: add
Original: get|usage|string , predicted 1st: get|id
Original: conf|page , predicted 1st: get|model|class
Original: name , predicted 1st: add
Original: id , predicted 1st: add
Original: create|x|attr|map , predicted 1st: get|value
Original: hash , predicted 1st: hash
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: map
Original: kbd , predicted 1st: set|selector|selector
Original: resolved|address|from|datanode|id , predicted 1st: get|address
Original: get|proto , predicted 1st: build|response
Original: get|job|types , predicted 1st: get|job
Original: convert|to|proto|format , predicted 1st: completion|completion|completion|completion|completion
Original: get|current|block|replication , predicted 1st: get|current|block
Original: configure|high|ram|properties , predicted 1st: set|config
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: clear
Original: q , predicted 1st: visit
Original: get|application|types , predicted 1st: get|application|types
Original: run , predicted 1st: main
Original: get|volume|ids , predicted 1st: get|ids
Original: remove|task|report , predicted 1st: remove
Original: set|replication , predicted 1st: is|valid
Original: publish|data|statistics , predicted 1st: get|transfer|data
Original: set|application|states , predicted 1st: set|application|application
Original: get|job , predicted 1st: get|job|info
Original: scan|directory|for|history|files , predicted 1st: scan
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add|value
Original: get|proto , predicted 1st: to|response
Original: set|times , predicted 1st: set
Original: set , predicted 1st: parse
Original: pack , predicted 1st: build|response
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: get|text
Original: user|has|administrator|access , predicted 1st: is|user|user
Original: get|scheme , predicted 1st: get|name
Original: find|or|make|emitter , predicted 1st: get|event
Original: maybe|init|builder , predicted 1st: set|up
Original: get|method|name , predicted 1st: get|method|name
Original: get|cluster|metrics , predicted 1st: get|cluster|cluster|cluster
Original: r , predicted 1st: set|lines
Original: id , predicted 1st: add
Original: remove|token|master|key , predicted 1st: remove|state|state|key
Original: init|storage , predicted 1st: set|configuration
Original: get|protocol|version , predicted 1st: get|protocol|protocol|service
Original: print|single|distribution|data , predicted 1st: print
Original: print|distribution|set , predicted 1st: print
Original: set|permission , predicted 1st: add
Original: get|application|id , predicted 1st: get|application|id
Original: convert|to|proto|format , predicted 1st: get|queue|queue
Original: get|units , predicted 1st: get|name
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|size
Original: make|absolute , predicted 1st: create|path
Original: read|fields , predicted 1st: read|from
Original: wait|for , predicted 1st: wait
Original: value , predicted 1st: add|value
Original: bq , predicted 1st: 
Original: b , predicted 1st: foo
Original: init|local|application|attempts|list , predicted 1st: test|list|from|format
Original: height , predicted 1st: add
Original: br , predicted 1st: set|selector|selector|selector
Original: get|replication , predicted 1st: get|block
Original: get|output|records , predicted 1st: get
Original: get|tmax , predicted 1st: get
Original: get|job|counters , predicted 1st: get|job|job|job
Original: label , predicted 1st: add
Original: src , predicted 1st: add
Original: open , predicted 1st: get|input|stream
Original: class , predicted 1st: add
Original: set|replication , predicted 1st: do|get
Original: echo , predicted 1st: main
Original: set|container|list , predicted 1st: set|list
Original: cancel|delegation|token , predicted 1st: advance|token
Original: get|all|file|info , predicted 1st: get
Original: main , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test|remove
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: create|url , predicted 1st: get|url
Original: sup , predicted 1st: set|selector|selector
Original: id , predicted 1st: add
Original: init|application|types , predicted 1st: init|types
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: visit
Original: generate|record , predicted 1st: get
Original: get|home|directory , predicted 1st: get|url
Original: release|and|rethrow , predicted 1st: release
Original: fixed|bytes , predicted 1st: get|bytes
Original: set|task|report , predicted 1st: set|report|report
Original: close|storage , predicted 1st: close|state
Original: button , predicted 1st: set|selector|selector
Original: get|underlying|counter , predicted 1st: get|wrapped|model
Original: attempts , predicted 1st: set|wrapped
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container
Original: generate|graph|viz , predicted 1st: get
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|task|task
Original: open , predicted 1st: do|verify|stream
Original: get|num|datanodes|in|service , predicted 1st: get|in|service
Original: h , predicted 1st: visit
Original: get|parent , predicted 1st: get|parent
Original: get|delegation|token , predicted 1st: get|token|token
Original: emit|metric , predicted 1st: parse
Original: h , predicted 1st: visit
Original: compiled , predicted 1st: get
Original: get|proto , predicted 1st: to|x
Original: get|output|bytes , predicted 1st: get|bytes
Original: get|reduce|output|bytes , predicted 1st: get|out|out
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: button , predicted 1st: run
Original: set|ready|to|become|active , predicted 1st: get|active|to|active
Original: rename|internal , predicted 1st: do|rename
Original: get|task|report , predicted 1st: get|task
Original: get|configuration , predicted 1st: get
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: new|instance , predicted 1st: get|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get|long
Original: get|file|block|locations , predicted 1st: get|block
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: get
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: remove
Original: compare|seed , predicted 1st: get|size
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job
Original: make|absolute , predicted 1st: get|path
Original: start , predicted 1st: start
Original: id , predicted 1st: add
Original: class , predicted 1st: add
Original: maybe|init|builder , predicted 1st: run
Original: ol , predicted 1st: set|selector|selector
Original: script , predicted 1st: script
Original: use|logical|uri , predicted 1st: is
Original: hr , predicted 1st: set|selector|selector
Original: object , predicted 1st: get|object
Original: class , predicted 1st: add
Original: set|units , predicted 1st: set
Original: refresh|loaded|job|cache , predicted 1st: get
Original: is|local|mr , predicted 1st: is|local|local
Original: id , predicted 1st: add
Original: id , predicted 1st: add
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: refresh|loaded|job|cache , predicted 1st: get|response|response
Original: rel , predicted 1st: add
Original: get|scheme , predicted 1st: get|name
Original: get|hadoop|proxy|user|groups , predicted 1st: get
Original: register , predicted 1st: add
Original: get|container|report , predicted 1st: get|container|container
Original: close , predicted 1st: test|join
Original: init|queues , predicted 1st: clear
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: do|health|checks , predicted 1st: test
Original: get|file|status , predicted 1st: get|status
Original: label , predicted 1st: fun
Original: b , predicted 1st: visit
Original: conf|table|init , predicted 1st: get|table|name
Original: textarea , predicted 1st: get
Original: log|success , predicted 1st: log|log
Original: get , predicted 1st: get|server|server
Original: close|storage , predicted 1st: close
Original: pre|head , predicted 1st: set
Original: rename , predicted 1st: do|rename
Original: parse|selector , predicted 1st: get|error|selector
Original: print|usage , predicted 1st: generate
Original: read , predicted 1st: read
Original: emit|metric , predicted 1st: set|datagram
Original: load|tokens , predicted 1st: get|token|tokens
Original: img , predicted 1st: get
Original: validate|task|memory|limits , predicted 1st: check|memory
Original: is|element , predicted 1st: is|matches
Original: set|state|internal , predicted 1st: execute
Original: get|expected|output , predicted 1st: get|output|output
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|all|filter
Original: h , predicted 1st: visit
Original: get|owner , predicted 1st: get|owner|name
Original: get|proto , predicted 1st: to|request
Original: set|spec , predicted 1st: set|spec
Original: main , predicted 1st: main
Original: put|metrics , predicted 1st: visit
Original: start|threads , predicted 1st: start|start
Original: small , predicted 1st: get|all
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add
Original: find|timestamped|directories , predicted 1st: read|done
Original: get|child|file|systems , predicted 1st: get|files
Original: can|parse , predicted 1st: is|invalid
Original: small , predicted 1st: visit
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: init
Original: generate|ascii|record , predicted 1st: get
Original: table , predicted 1st: get|table
Original: multiple , predicted 1st: add
Original: id , predicted 1st: add
Original: abbr , predicted 1st: visit
Original: name , predicted 1st: add
Original: get|server|defaults , predicted 1st: get|server|server|server
Original: get|x|attr , predicted 1st: get|x|string
Original: set|conf , predicted 1st: set|up
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: 
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application|application
Original: id , predicted 1st: get
Original: archive|path , predicted 1st: get|path
Original: usage , predicted 1st: test
Original: cite , predicted 1st: visit
Original: class , predicted 1st: add
Original: disabled , predicted 1st: add
Original: get|read|statistics , predicted 1st: get|read|read|read
Original: get|not|ready|reason , predicted 1st: get|not|ready
Original: check|health , predicted 1st: test|get
Original: print|usage , predicted 1st: generate
Original: init|lut , predicted 1st: add
Original: h , predicted 1st: 
Original: get|capacity|used|non|dfs , predicted 1st: get
Original: opt , predicted 1st: add
Original: class , predicted 1st: add
Original: rename|internal , predicted 1st: do|rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: new|queue|queue
Original: get|job|id , predicted 1st: get|job|id
Original: set|finish|range , predicted 1st: set|end
Original: get|capacity|total , predicted 1st: get|total|total
Original: run , predicted 1st: test
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: set
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: read
Original: get|task|report|count , predicted 1st: get|size
Original: about , predicted 1st: render
Original: decode|file|name , predicted 1st: get|version|string
Original: get|capacity|used , predicted 1st: get|index|count
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: 
Original: maxlength , predicted 1st: add
Original: main , predicted 1st: main
Original: get|type|name , predicted 1st: get|type|type
Original: test|existing|user , predicted 1st: test|output|output
Original: is|empty|local|name , predicted 1st: is|empty
Original: next|event , predicted 1st: find|event
Original: get|size , predicted 1st: get|size
Original: get|x|attrs , predicted 1st: get|path|path
Original: new|instance , predicted 1st: new|response
Original: ol , predicted 1st: get
Original: check|access , predicted 1st: set|access|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: visit
Original: content , predicted 1st: get|sub|class
Original: process|general|options , predicted 1st: set
Original: enforce|root|path , predicted 1st: validate
Original: id , predicted 1st: add
Original: indent , predicted 1st: print
Original: sort , predicted 1st: check
Original: id , predicted 1st: add
Original: h , predicted 1st: 
Original: build|token|service|for|logical|uri , predicted 1st: get|text
Original: run , predicted 1st: main
Original: onblur , predicted 1st: add
Original: emit|record , predicted 1st: get|xml
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: initialize|web|server , predicted 1st: init
Original: create|internal , predicted 1st: create|output|stream
Original: get|finish|range , predicted 1st: get|next
Original: get|include|child|queues , predicted 1st: has|include|child
Original: service|init , predicted 1st: get
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read
Original: ins , predicted 1st: get
Original: init|diagnostics , predicted 1st: foo
Original: remove|x|attr , predicted 1st: validate
Original: onkeyup , predicted 1st: add
Original: add|directory|to|job|list|cache , predicted 1st: get|file|file|names
Original: test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: test
Original: run , predicted 1st: test|x
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set|line
Original: is|healthy , predicted 1st: is
Original: init|local|queue|user|acls|list , predicted 1st: test
Original: get|remaining|args , predicted 1st: get|args
Original: get|cache|used , predicted 1st: get|cache|cache
Original: get|group , predicted 1st: get|group
Original: get|proto , predicted 1st: to|x
Original: remove|default|acl , predicted 1st: validate
Original: is|method|supported , predicted 1st: is|supported|method
Original: init|failed|requests , predicted 1st: test|failed|to|convert
Original: set|x|attr , predicted 1st: set
Original: delete|job|from|done , predicted 1st: delete
Original: new|node , predicted 1st: get|node
Original: get|wrapped|stream , predicted 1st: get|in
Original: new|instance , predicted 1st: new|response|response
Original: class , predicted 1st: add
Original: confirm|force|manual , predicted 1st: test
Original: set|state , predicted 1st: validate
Original: height , predicted 1st: add
Original: name , predicted 1st: add
Original: conf|post|table|init , predicted 1st: get|test|string
Original: set|scope , predicted 1st: set|scope
Original: complete|local|output , predicted 1st: do|write|file
Original: get|distribution , predicted 1st: to
Original: copy|from|local|file , predicted 1st: check|path
Original: assert|value|within|range , predicted 1st: assert|equals
Original: h , predicted 1st: set|selector|selector
Original: sup , predicted 1st: visit
Original: needs|escaping , predicted 1st: is|style
Original: set|excludes|file , predicted 1st: set|file|file
Original: b , predicted 1st: visit
Original: release , predicted 1st: close
Original: kbd , predicted 1st: visit
Original: read , predicted 1st: read
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|file|path
Original: add|protocol , predicted 1st: set|protocol
Original: initialize , predicted 1st: parse
Original: get|token|path , predicted 1st: get|token|path
Original: rowspan , predicted 1st: add
Original: maybe|uncompressed|path , predicted 1st: get|reader|reader
Original: get|proto , predicted 1st: build
Original: check|paths , predicted 1st: validate
Original: img , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set|request|request
Original: accept , predicted 1st: add
Original: size , predicted 1st: add
Original: get|server|defaults , predicted 1st: create|default|server
Original: clear , predicted 1st: method
Original: class , predicted 1st: add
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|current|auth
Original: run , predicted 1st: get|token|token
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|model
Original: load|state , predicted 1st: load|state|state
Original: run , predicted 1st: print
Original: form , predicted 1st: get|all
Original: sup , predicted 1st: visit
Original: samp , predicted 1st: set|selector|selector
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: render
Original: write , predicted 1st: get|bytes
Original: get|name , predicted 1st: get|name|name
Original: is|token|for|logical|uri , predicted 1st: is|token
Original: add|fencing|parameters , predicted 1st: add|key
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|sub|class
Original: set|retain|days , predicted 1st: set|quantity
Original: transition|to|standby , predicted 1st: handle|state|info
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add
Original: accesskey , predicted 1st: add
Original: list|status , predicted 1st: get|file|status
Original: init , predicted 1st: set|prefix|prefix
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: set|include
Original: render , predicted 1st: run
Original: datetime , predicted 1st: add
Original: print|usage , predicted 1st: print
Original: bdo , predicted 1st: get|dir
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add
Original: init|file|system , predicted 1st: set|up
Original: add|default|servlets , predicted 1st: init|level
Original: id , predicted 1st: add
Original: graceful|failover|through|zkf|cs , predicted 1st: get|timeout
Original: new|instance , predicted 1st: new|response
Original: clear|space|quota , predicted 1st: set
Original: h , predicted 1st: 
Original: code , predicted 1st: compute
Original: is|because|safe|mode , predicted 1st: is|error|exception
Original: maybe|init|builder , predicted 1st: run
Original: create|output|stream , predicted 1st: create|stream|stream|stream
Original: set|job|id , predicted 1st: set|job|id
Original: get|volume|indexes , predicted 1st: get
Original: init|cluster , predicted 1st: wait
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait
Original: parse|counter , predicted 1st: get|name|name
Original: wrap|safe|string , predicted 1st: get|label|label
Original: q , predicted 1st: set|selector|selector
Original: merge|local|to|builder , predicted 1st: set|job|job
Original: do|filter , predicted 1st: do|filter
Original: monitor|health , predicted 1st: check|state|info|info
Original: get|job|id , predicted 1st: get|job|id
Original: class , predicted 1st: add
Original: merge|local|to|builder , predicted 1st: set|queue|info
Original: new|instance , predicted 1st: get|queue
Original: run , predicted 1st: run
Original: class , predicted 1st: add
Original: get , predicted 1st: get
Original: initialize|hadoop|logs|analyzer , predicted 1st: get|input|files
Original: store|token , predicted 1st: add|token
Original: id , predicted 1st: add
Original: setup , predicted 1st: test
Original: set|finish|range , predicted 1st: set|range
Original: create|direct|decompressor , predicted 1st: get
Original: pkg|name , predicted 1st: get|default|name
Original: get|symlink , predicted 1st: get
Original: init , predicted 1st: copy
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add
Original: get|file|status , predicted 1st: get|status
Original: ins , predicted 1st: visit
Original: create|cluster , predicted 1st: test
Original: disabled , predicted 1st: add
Original: table , predicted 1st: set|selector|selector
Original: create|job|submitter , predicted 1st: create
Original: test|set|x|attr , predicted 1st: test|remove
Original: write|dist|cache|data , predicted 1st: test|data
Original: get|node|reports , predicted 1st: get|node|info|node
Original: set|space|quota , predicted 1st: set|space
Original: class , predicted 1st: add
Original: h , predicted 1st: set|selector|selector
Original: get|proto , predicted 1st: build
Original: h , predicted 1st: 
Original: try|creating|history|dirs , predicted 1st: get|server
Original: refresh|user|to|groups|mappings , predicted 1st: run
Original: set|acl , predicted 1st: add
Original: id , predicted 1st: add
Original: test|no|user|given , predicted 1st: test|default|default|user|user|user
Original: get|proto , predicted 1st: to|response
Original: convert , predicted 1st: state|state|state
Original: dfn , predicted 1st: 
Original: sub , predicted 1st: set|selector|selector
Original: close|storage , predicted 1st: close
Original: init , predicted 1st: set
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: create|new|blocks
Original: get|job|summary , predicted 1st: read|summary|summary
Original: class , predicted 1st: add
Original: scan|directory , predicted 1st: get|status|list
Original: transition|to|active , predicted 1st: handle|state|change|info
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|default|create|connector
Original: load|token|state , predicted 1st: load|state|state
Original: cancel|delegation|token , predicted 1st: do|cancel|token
Original: create|success|log , predicted 1st: add
Original: set|owner , predicted 1st: set|owner
Original: new|instance , predicted 1st: get|request|request
Original: usemap , predicted 1st: add
Original: get|job , predicted 1st: get|job
Original: incorporate|counters , predicted 1st: set|up
Original: set , predicted 1st: set|read|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|read|bytes
Original: set , predicted 1st: set|bytes|bytes
Original: set , predicted 1st: set|input|bytes|bytes
Original: set , predicted 1st: set|input|input
Original: set , predicted 1st: set|bytes|bytes
Original: set , predicted 1st: set|output|output
Original: set , predicted 1st: set|input|records
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output|seconds
Original: set , predicted 1st: set
Original: set , predicted 1st: set|current|data
Original: set , predicted 1st: set|memory|usage
Original: set , predicted 1st: set|memory|memory
Original: set , predicted 1st: set|usage
Original: merge|local|to|builder , predicted 1st: set|input
Original: apply , predicted 1st: get|state
Original: main , predicted 1st: main
Original: create|x|attr|names , predicted 1st: get|names|names
Original: get|percent|block|pool|used , predicted 1st: get|total
Original: class , predicted 1st: add
Original: set|users , predicted 1st: set|users
Original: get|task|logs|url , predicted 1st: get|log|log|log|log|log
Original: tabindex , predicted 1st: add
Original: class , predicted 1st: add
Original: build|splits , predicted 1st: set|input|dir
Original: initialize , predicted 1st: get
Original: h , predicted 1st: 
Original: set|container|statuses , predicted 1st: set|up
Original: id , predicted 1st: add
Original: onchange , predicted 1st: add
Original: class , predicted 1st: add
Original: checked , predicted 1st: add
Original: class , predicted 1st: add
Original: make|qualified , predicted 1st: get|path|path
Original: compile , predicted 1st: compile
Original: get|proto , predicted 1st: to|request
Original: id , predicted 1st: add
Original: a , predicted 1st: get
Original: monitor|health , predicted 1st: run
Original: get|file|id , predicted 1st: get|file|id
Original: destroy , predicted 1st: destroy
Original: set|queues , predicted 1st: set
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh
Original: make|big|integer , predicted 1st: get|int
Original: get|hadoop|users , predicted 1st: get|user|users|names
Original: bq , predicted 1st: 
Original: compile , predicted 1st: pattern
Original: delete , predicted 1st: delete
Original: is|ha|enabled , predicted 1st: is|valid
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create|client|client
Original: renew|delegation|token , predicted 1st: parse|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector|selector|selector
Original: create|io|exception , predicted 1st: read
Original: get|node , predicted 1st: node
Original: set|selector , predicted 1st: find|selector
Original: hr , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: set|permission , predicted 1st: set|permission
Original: initialize , predicted 1st: get|user|url
Original: select , predicted 1st: set|selector|selector
Original: add|completion|event , predicted 1st: add|completion|completion|completion
Original: unique|sequence|id , predicted 1st: get|next
Original: get|uri|default|port , predicted 1st: get|default|port
Original: root , predicted 1st: create
Original: is|ready|to|become|active , predicted 1st: is|active|active
Original: expand|leftmost , predicted 1st: get|pattern
Original: create|file|system , predicted 1st: get|system|system
Original: refresh , predicted 1st: process
Original: process|task|line , predicted 1st: add
Original: task|counters , predicted 1st: task|task
Original: parse|opts , predicted 1st: parse
Original: upload|data , predicted 1st: get|output|stream
Original: id , predicted 1st: add
Original: init|storage , predicted 1st: load|state
Original: failover , predicted 1st: test
Original: get|proto , predicted 1st: to|response
Original: get|includes , predicted 1st: get|includes
Original: sub , predicted 1st: visit
Original: get|proto , predicted 1st: to|response
Original: span , predicted 1st: visit
Original: get|application|attempt|id , predicted 1st: get|id
Original: id , predicted 1st: add
Original: stop|threads , predicted 1st: test
Original: pre|head , predicted 1st: set
Original: h , predicted 1st: set|selector|selector
Original: href , predicted 1st: add
Original: main , predicted 1st: run
