Original: cols , predicted 1st: add|value
Original: get|attribute , predicted 1st: get|attribute
Original: get|file|status , predicted 1st: get|status|status
Original: get|services , predicted 1st: get|wrapped|service
Original: unescape|path|component , predicted 1st: get|name
Original: convert|to|proto|format , predicted 1st: get|task
Original: accept , predicted 1st: add|value
Original: init|local|node|manager|infos|list , predicted 1st: convert|to|format
Original: samp , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set
Original: refresh|admin|acls , predicted 1st: create
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: get|working|directory , predicted 1st: get|directory|directory
Original: pre , predicted 1st: pre|pre|pre
Original: init|local|container|ids , predicted 1st: convert|from|convert|from|convert
Original: i , predicted 1st: get
Original: h , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|up
Original: set|recursive , predicted 1st: set|recursive
Original: set|next|directory|input|stream , predicted 1st: get|input|file
Original: pre|head , predicted 1st: set|up
Original: merge|local|to|builder , predicted 1st: set
Original: iterator , predicted 1st: iterator
Original: logs , predicted 1st: render
Original: get|content|summary , predicted 1st: get|content|content
Original: create|x|attr|map , predicted 1st: get|string
Original: loop|until|connected , predicted 1st: connect
Original: get|usage|string , predicted 1st: get|name
Original: conf|page , predicted 1st: get|model|class
Original: class , predicted 1st: add
Original: id , predicted 1st: add|value
Original: name , predicted 1st: add|value
Original: hash , predicted 1st: 
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: get|map
Original: kbd , predicted 1st: get
Original: resolved|address|from|datanode|id , predicted 1st: get|address
Original: get|proto , predicted 1st: get
Original: get|job|types , predicted 1st: get|enum|values
Original: convert|to|proto|format , predicted 1st: get|completion|completion
Original: get|current|block|replication , predicted 1st: get|current|block
Original: run , predicted 1st: print
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: set
Original: configure|high|ram|properties , predicted 1st: configure
Original: q , predicted 1st: fun
Original: get|application|types , predicted 1st: get|application|types
Original: get|volume|ids , predicted 1st: get|ids
Original: set|replication , predicted 1st: is|available
Original: remove|task|report , predicted 1st: remove
Original: publish|data|statistics , predicted 1st: get|connection|statistics
Original: get|job , predicted 1st: get|job|job|job
Original: set , predicted 1st: append
Original: set|application|states , predicted 1st: set|application
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add|value
Original: scan|directory|for|history|files , predicted 1st: scan|directory
Original: set|times , predicted 1st: set
Original: get|proto , predicted 1st: get|response
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: fun
Original: user|has|administrator|access , predicted 1st: is|user|user|allowed
Original: pack , predicted 1st: get|response
Original: get|scheme , predicted 1st: get|name
Original: maybe|init|builder , predicted 1st: set
Original: find|or|make|emitter , predicted 1st: get|value
Original: get|method|name , predicted 1st: get|name|name
Original: print|single|distribution|data , predicted 1st: print
Original: r , predicted 1st: do|lines
Original: id , predicted 1st: add|value
Original: remove|token|master|key , predicted 1st: remove|state
Original: get|cluster|metrics , predicted 1st: convert|to|format
Original: get|protocol|version , predicted 1st: get|protocol|version
Original: init|storage , predicted 1st: apply
Original: get|application|id , predicted 1st: get|application|id
Original: set|permission , predicted 1st: add|url
Original: convert|to|proto|format , predicted 1st: get|user|queue
Original: get|units , predicted 1st: get|default|name
Original: print|distribution|set , predicted 1st: print
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: make|absolute , predicted 1st: get|path
Original: init|local|application|attempts|list , predicted 1st: init
Original: wait|for , predicted 1st: wait|for
Original: value , predicted 1st: add|value
Original: bq , predicted 1st: 
Original: b , predicted 1st: foo
Original: height , predicted 1st: add
Original: br , predicted 1st: set|selector
Original: read|fields , predicted 1st: read
Original: get|replication , predicted 1st: get|block
Original: get|job|counters , predicted 1st: get|job|job|job
Original: get|tmax , predicted 1st: get
Original: label , predicted 1st: add|value
Original: src , predicted 1st: add
Original: get|output|records , predicted 1st: get|output
Original: open , predicted 1st: get|input|stream|stream
Original: class , predicted 1st: add
Original: echo , predicted 1st: print
Original: test|remove|x|attr|permissions , predicted 1st: test
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: set|replication , predicted 1st: get|connection
Original: set|container|list , predicted 1st: set|list
Original: get|all|file|info , predicted 1st: get|list
Original: cancel|delegation|token , predicted 1st: token|token
Original: main , predicted 1st: main
Original: init|application|types , predicted 1st: set|application|types
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add|value
Original: generate|record , predicted 1st: get|byte
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: fun
Original: get|home|directory , predicted 1st: get|path
Original: create|url , predicted 1st: get|content
Original: fixed|bytes , predicted 1st: get|size
Original: release|and|rethrow , predicted 1st: release|release
Original: set|task|report , predicted 1st: set|report|report
Original: close|storage , predicted 1st: close
Original: get|underlying|counter , predicted 1st: get|wrapped|file
Original: attempts , predicted 1st: set|wrapped
Original: button , predicted 1st: get
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container
Original: emit|metric , predicted 1st: send
Original: generate|graph|viz , predicted 1st: get
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add|value
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|report|report
Original: get|num|datanodes|in|service , predicted 1st: get|nodes|count
Original: h , predicted 1st: fun
Original: get|parent , predicted 1st: get|parent
Original: open , predicted 1st: get|input|stream
Original: get|delegation|token , predicted 1st: convert
Original: get|output|bytes , predicted 1st: get|long
Original: compiled , predicted 1st: get|compiled
Original: h , predicted 1st: fun
Original: get|reduce|output|bytes , predicted 1st: get|out|out
Original: button , predicted 1st: run
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: get|proto , predicted 1st: get
Original: get|configuration , predicted 1st: get|properties
Original: set|ready|to|become|active , predicted 1st: get|active
Original: rename|internal , predicted 1st: rename
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add|value
Original: get|task|report , predicted 1st: get|report|report
Original: new|instance , predicted 1st: get|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get
Original: get|file|block|locations , predicted 1st: get|input|file
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: get
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: remove
Original: make|absolute , predicted 1st: get|path
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job|service
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: id , predicted 1st: add|value
Original: class , predicted 1st: add
Original: use|logical|uri , predicted 1st: is|client
Original: maybe|init|builder , predicted 1st: set
Original: ol , predicted 1st: set|selector
Original: refresh|loaded|job|cache , predicted 1st: get|refresh
Original: script , predicted 1st: set|script
Original: object , predicted 1st: get|object
Original: hr , predicted 1st: get
Original: class , predicted 1st: add
Original: set|units , predicted 1st: set
Original: is|local|mr , predicted 1st: is|local
Original: id , predicted 1st: add|value
Original: refresh|loaded|job|cache , predicted 1st: get|job|cache|cache|cache
Original: id , predicted 1st: add|value
Original: rel , predicted 1st: add
Original: compare|seed , predicted 1st: get|size
Original: get|scheme , predicted 1st: get|name
Original: do|health|checks , predicted 1st: start
Original: get|hadoop|proxy|user|groups , predicted 1st: get|groups
Original: get|container|report , predicted 1st: get|report|descriptor
Original: register , predicted 1st: add
Original: close , predicted 1st: test
Original: init|queues , predicted 1st: set
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: get|file|status , predicted 1st: get|file|status
Original: label , predicted 1st: for|for|for
Original: b , predicted 1st: fun
Original: log|success , predicted 1st: log|log
Original: conf|table|init , predicted 1st: get|text
Original: textarea , predicted 1st: get
Original: start , predicted 1st: get|exit|code
Original: parse|selector , predicted 1st: get
Original: get , predicted 1st: get|server
Original: close|storage , predicted 1st: close
Original: rename , predicted 1st: rename
Original: pre|head , predicted 1st: set
Original: emit|metric , predicted 1st: send
Original: read , predicted 1st: read
Original: load|tokens , predicted 1st: get|num|tokens
Original: validate|task|memory|limits , predicted 1st: set|max|cluster|key
Original: img , predicted 1st: get
Original: set|state|internal , predicted 1st: execute
Original: is|element , predicted 1st: is|valid
Original: get|expected|output , predicted 1st: get|output|group
Original: print|usage , predicted 1st: log|refresh
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|classes
Original: h , predicted 1st: fun
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: get
Original: set|spec , predicted 1st: set
Original: put|metrics , predicted 1st: get
Original: main , predicted 1st: main
Original: start|threads , predicted 1st: start
Original: small , predicted 1st: get|small
Original: accesskey , predicted 1st: add|value
Original: add|unmanaged|listener , predicted 1st: add|listener
Original: find|timestamped|directories , predicted 1st: get|dir
Original: get|child|file|systems , predicted 1st: get|system|files
Original: can|parse , predicted 1st: read|input
Original: small , predicted 1st: get|value
Original: list|status , predicted 1st: get|status|status
Original: heartbeat|check , predicted 1st: check
Original: table , predicted 1st: get|table
Original: id , predicted 1st: add|value
Original: generate|ascii|record , predicted 1st: get
Original: abbr , predicted 1st: fun
Original: multiple , predicted 1st: add
Original: name , predicted 1st: add|value
Original: get|server|defaults , predicted 1st: get|server
Original: set|conf , predicted 1st: set|service|name
Original: get|x|attr , predicted 1st: get|x|content
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: close
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: add|mapping
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application|list
Original: id , predicted 1st: get
Original: usage , predicted 1st: test
Original: cite , predicted 1st: fun
Original: archive|path , predicted 1st: get|parent
Original: class , predicted 1st: add
Original: disabled , predicted 1st: add
Original: get|read|statistics , predicted 1st: get|read|stream
Original: get|not|ready|reason , predicted 1st: get|canceled
Original: check|health , predicted 1st: get|error
Original: print|usage , predicted 1st: do|get
Original: run , predicted 1st: generate
Original: h , predicted 1st: close
Original: get|capacity|used|non|dfs , predicted 1st: get|non|non|non|non|non
Original: init|lut , predicted 1st: get|all|class
Original: class , predicted 1st: add
Original: rename|internal , predicted 1st: rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: create|user|queue
Original: get|job|id , predicted 1st: convert
Original: opt , predicted 1st: add
Original: get|capacity|total , predicted 1st: get|total|size
Original: set|finish|range , predicted 1st: set
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: set|up
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: read
Original: get|task|report|count , predicted 1st: get|size
Original: about , predicted 1st: render
Original: decode|file|name , predicted 1st: get|version|string
Original: get|capacity|used , predicted 1st: get|maximum|size
Original: read|fields , predicted 1st: read|read
Original: emit|metric , predicted 1st: set|name
Original: maxlength , predicted 1st: add|value
Original: main , predicted 1st: main
Original: process|general|options , predicted 1st: add|file
Original: next|event , predicted 1st: get|event
Original: is|empty|local|name , predicted 1st: is|empty
Original: get|type|name , predicted 1st: get|name
Original: get|x|attrs , predicted 1st: get|path
Original: get|size , predicted 1st: get|size
Original: new|instance , predicted 1st: get|response
Original: test|existing|user , predicted 1st: test|show|output
Original: ol , predicted 1st: get
Original: check|access , predicted 1st: check|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: fun
Original: content , predicted 1st: get|sub|class|type
Original: enforce|root|path , predicted 1st: validate
Original: id , predicted 1st: add|value
Original: indent , predicted 1st: print
Original: sort , predicted 1st: foo
Original: id , predicted 1st: add|value
Original: h , predicted 1st: close
Original: build|token|service|for|logical|uri , predicted 1st: get|text
Original: run , predicted 1st: main
Original: emit|record , predicted 1st: write|to
Original: onblur , predicted 1st: add
Original: initialize|web|server , predicted 1st: get|request
Original: check|manual|state|management|ok , predicted 1st: is|enabled
Original: get|finish|range , predicted 1st: get|next
Original: get|include|child|queues , predicted 1st: get|child
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read|value
Original: create|internal , predicted 1st: create|output|stream
Original: service|init , predicted 1st: init
Original: ins , predicted 1st: get
Original: remove|x|attr , predicted 1st: add|connection
Original: init|diagnostics , predicted 1st: foo
Original: onkeyup , predicted 1st: add|value
Original: is|healthy , predicted 1st: get|client
Original: init|local|queue|user|acls|list , predicted 1st: convert
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: get|remaining|args , predicted 1st: get|args
Original: test|raw|x|attrs , predicted 1st: test|get
Original: run , predicted 1st: test|access|access
Original: run , predicted 1st: test|get
Original: get|proto , predicted 1st: get
Original: get|cache|used , predicted 1st: get|cache|cache
Original: get|group , predicted 1st: get|group
Original: remove|default|acl , predicted 1st: validate
Original: add|directory|to|job|list|cache , predicted 1st: get|file
Original: is|method|supported , predicted 1st: is|supported
Original: set|x|attr , predicted 1st: set|value
Original: init|failed|requests , predicted 1st: convert
Original: delete|job|from|done , predicted 1st: delete|file
Original: conf|post|table|init , predicted 1st: get|init|path
Original: get|wrapped|stream , predicted 1st: get|in
Original: new|node , predicted 1st: get|node
Original: new|instance , predicted 1st: new|response
Original: class , predicted 1st: add
Original: height , predicted 1st: add
Original: name , predicted 1st: add|value
Original: set|state , predicted 1st: check|not|not|not|not|not
Original: set|scope , predicted 1st: set|scope
Original: assert|value|within|range , predicted 1st: assert|equals
Original: confirm|force|manual , predicted 1st: is
Original: complete|local|output , predicted 1st: execute
Original: copy|from|local|file , predicted 1st: check
Original: h , predicted 1st: set|selector
Original: sup , predicted 1st: fun
Original: needs|escaping , predicted 1st: is|script
Original: set|excludes|file , predicted 1st: set|excludes
Original: get|distribution , predicted 1st: get
Original: b , predicted 1st: fun
Original: read , predicted 1st: read|bytes
Original: kbd , predicted 1st: fun
Original: release , predicted 1st: close
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|path
Original: add|protocol , predicted 1st: add|client
Original: maybe|uncompressed|path , predicted 1st: get|reader
Original: get|token|path , predicted 1st: get|token
Original: rowspan , predicted 1st: add|value
Original: check|paths , predicted 1st: check|files
Original: get|proto , predicted 1st: get|response
Original: initialize , predicted 1st: get|index
Original: img , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set|up
Original: accept , predicted 1st: add|value
Original: size , predicted 1st: add|value
Original: get|server|defaults , predicted 1st: get|default|server
Original: clear , predicted 1st: method
Original: class , predicted 1st: add
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|auth
Original: run , predicted 1st: get|auth|token
Original: style , predicted 1st: add|style
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|model|class
Original: load|state , predicted 1st: get|state|state
Original: form , predicted 1st: get
Original: samp , predicted 1st: get
Original: sup , predicted 1st: fun
Original: add|fencing|parameters , predicted 1st: set|host|key
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: render
Original: write , predicted 1st: bytes|to|bytes
Original: get|name , predicted 1st: get|name
Original: is|token|for|logical|uri , predicted 1st: is
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|sub|model
Original: transition|to|standby , predicted 1st: handle|to
Original: set|retain|days , predicted 1st: set|days
Original: render , predicted 1st: run
Original: list|status , predicted 1st: get|stats
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add|value
Original: accesskey , predicted 1st: add|value
Original: run , predicted 1st: get|task|task
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: set|include
Original: datetime , predicted 1st: add|value
Original: print|usage , predicted 1st: run
Original: add|default|servlets , predicted 1st: init|servlet
Original: bdo , predicted 1st: fun
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add|value
Original: init , predicted 1st: add|configuration
Original: init|file|system , predicted 1st: set|up
Original: id , predicted 1st: add|value
Original: new|instance , predicted 1st: new|response
Original: clear|space|quota , predicted 1st: set
Original: maybe|init|builder , predicted 1st: reset|response
Original: h , predicted 1st: close
Original: code , predicted 1st: get|code
Original: is|because|safe|mode , predicted 1st: is|exception|exception
Original: graceful|failover|through|zkf|cs , predicted 1st: get|timeout
Original: set|job|id , predicted 1st: set|job|id
Original: init|cluster , predicted 1st: set|cluster
Original: create|output|stream , predicted 1st: get|output|stream|stream
Original: get|volume|indexes , predicted 1st: get|index
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait
Original: initialize|hadoop|logs|analyzer , predicted 1st: get|input|files
Original: parse|counter , predicted 1st: get|counter
Original: wrap|safe|string , predicted 1st: get|label|label
Original: q , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: apply|format
Original: monitor|health , predicted 1st: check|exception
Original: do|filter , predicted 1st: filter|filter
Original: class , predicted 1st: add
Original: get|job|id , predicted 1st: get|job|job|id
Original: merge|local|to|builder , predicted 1st: set|queue|info
Original: new|instance , predicted 1st: get|response|queue
Original: class , predicted 1st: add
Original: get , predicted 1st: get
Original: run , predicted 1st: get|message
Original: store|token , predicted 1st: set|token|token
Original: id , predicted 1st: add|value
Original: test|set|x|attr , predicted 1st: test
Original: set|finish|range , predicted 1st: set|finish
Original: create|direct|decompressor , predicted 1st: get
Original: pkg|name , predicted 1st: get|default
Original: get|symlink , predicted 1st: get
Original: init , predicted 1st: copy
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add
Original: get|file|status , predicted 1st: get|file|status|file
Original: ins , predicted 1st: fun
Original: create|cluster , predicted 1st: test
Original: disabled , predicted 1st: add
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create|job|job
Original: write|dist|cache|data , predicted 1st: apply
Original: try|creating|history|dirs , predicted 1st: get
Original: get|node|reports , predicted 1st: get|node|info
Original: set|space|quota , predicted 1st: set
Original: h , predicted 1st: set|selector
Original: get|proto , predicted 1st: get
Original: setup , predicted 1st: test
Original: class , predicted 1st: add
Original: h , predicted 1st: close
Original: refresh|user|to|groups|mappings , predicted 1st: run
Original: convert , predicted 1st: get|state|info
Original: init , predicted 1st: set|table|factory
Original: id , predicted 1st: add|value
Original: get|proto , predicted 1st: get|response
Original: set|acl , predicted 1st: get|connection
Original: dfn , predicted 1st: 
Original: test|no|user|given , predicted 1st: test|default|user|user
Original: close|storage , predicted 1st: close
Original: sub , predicted 1st: get
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: new|page
Original: get|job|summary , predicted 1st: read|string
Original: class , predicted 1st: add
Original: transition|to|active , predicted 1st: handle|request
Original: scan|directory , predicted 1st: get|file|list
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|default|connector
Original: incorporate|counters , predicted 1st: set
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output|records
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|usage|usage
Original: set , predicted 1st: set|memory
Original: set , predicted 1st: set|usage
Original: cancel|delegation|token , predicted 1st: cancel|token
Original: create|success|log , predicted 1st: add
Original: load|token|state , predicted 1st: load|state
Original: set|owner , predicted 1st: set|owner
Original: usemap , predicted 1st: add
Original: new|instance , predicted 1st: get|request
Original: get|job , predicted 1st: get|job
Original: main , predicted 1st: main
Original: initialize , predicted 1st: set|host
Original: create|x|attr|names , predicted 1st: get|names|names
Original: get|percent|block|pool|used , predicted 1st: get|max|connections
Original: get|task|logs|url , predicted 1st: get|task|log|url
Original: set|users , predicted 1st: set|users
Original: tabindex , predicted 1st: add|value
Original: class , predicted 1st: add
Original: set|container|statuses , predicted 1st: set|status
Original: build|splits , predicted 1st: close|input
Original: class , predicted 1st: add
Original: h , predicted 1st: close
Original: onchange , predicted 1st: add|value
Original: merge|local|to|builder , predicted 1st: get|state
Original: apply , predicted 1st: convert|to|format
Original: id , predicted 1st: add|value
Original: checked , predicted 1st: add
Original: class , predicted 1st: add
Original: get|proto , predicted 1st: get
Original: compile , predicted 1st: fun
Original: monitor|health , predicted 1st: close
Original: a , predicted 1st: a
Original: id , predicted 1st: add|value
Original: class , predicted 1st: add
Original: get|file|id , predicted 1st: get|file|id
Original: set|queues , predicted 1st: set
Original: destroy , predicted 1st: destroy
Original: make|qualified , predicted 1st: get|path
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh|refresh
Original: process|task|line , predicted 1st: get|task|tasks
Original: get|hadoop|users , predicted 1st: get|default|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: 
Original: delete , predicted 1st: delete
Original: make|big|integer , predicted 1st: get|long
Original: renew|delegation|token , predicted 1st: token|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: is|ha|enabled , predicted 1st: is
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create|system|mappings
Original: get|node , predicted 1st: node|node
Original: set|selector , predicted 1st: parse
Original: create|io|exception , predicted 1st: convert
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: hr , predicted 1st: get
Original: set|permission , predicted 1st: check|permission
Original: add|completion|event , predicted 1st: before|completion|completion|completion
Original: select , predicted 1st: set|selector
Original: unique|sequence|id , predicted 1st: get|next
Original: get|uri|default|port , predicted 1st: get|default|port
Original: initialize , predicted 1st: get|user
Original: is|ready|to|become|active , predicted 1st: is|active|active
Original: root , predicted 1st: create
Original: expand|leftmost , predicted 1st: append|pattern
Original: create|file|system , predicted 1st: get|file|system|system
Original: refresh , predicted 1st: get|response
Original: task|counters , predicted 1st: set|task
Original: parse|opts , predicted 1st: parse
Original: init|storage , predicted 1st: set|root|path
Original: id , predicted 1st: add|value
Original: get|proto , predicted 1st: get|response
Original: upload|data , predicted 1st: get|stream|stream
Original: get|proto , predicted 1st: get|response
Original: get|includes , predicted 1st: get|includes
Original: get|application|attempt|id , predicted 1st: get|application|id
Original: sub , predicted 1st: fun
Original: span , predicted 1st: fun
Original: pre|head , predicted 1st: set|up
Original: id , predicted 1st: add|value
Original: stop|threads , predicted 1st: stop
Original: get|address|of|active , predicted 1st: get|server|address
Original: h , predicted 1st: set|selector
Original: failover , predicted 1st: test
Original: href , predicted 1st: add|value
Original: main , predicted 1st: run
Original: remove|acl , predicted 1st: remove
Original: mkdir , predicted 1st: create|parent
