Original: accept|charset , predicted 1st: add
Original: convert|to|proto|format , predicted 1st: get|task
Original: accept , predicted 1st: add
Original: samp , predicted 1st: set|selector
Original: refresh|admin|acls , predicted 1st: init
Original: init|local|node|manager|infos|list , predicted 1st: test|node
Original: maybe|init|builder , predicted 1st: run
Original: get|working|directory , predicted 1st: get|path
Original: init|local|container|ids , predicted 1st: test|from|format
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: pre , predicted 1st: pre|pre|pre
Original: i , predicted 1st: 
Original: h , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|application
Original: set|recursive , predicted 1st: set|recursive
Original: pre|head , predicted 1st: init
Original: set|next|directory|input|stream , predicted 1st: read
Original: merge|local|to|builder , predicted 1st: set|cluster|cluster
Original: iterator , predicted 1st: iterator
Original: logs , predicted 1st: render
Original: get|content|summary , predicted 1st: get|content|content
Original: loop|until|connected , predicted 1st: connect
Original: class , predicted 1st: add
Original: get|usage|string , predicted 1st: get|name
Original: conf|page , predicted 1st: get|model|class
Original: name , predicted 1st: add
Original: id , predicted 1st: add
Original: create|x|attr|map , predicted 1st: get|value
Original: hash , predicted 1st: 
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: map
Original: kbd , predicted 1st: set|selector
Original: resolved|address|from|datanode|id , predicted 1st: get|address
Original: get|proto , predicted 1st: to|response
Original: get|job|types , predicted 1st: get|enum|values
Original: convert|to|proto|format , predicted 1st: task|completion|event|event
Original: get|current|block|replication , predicted 1st: get|current|current
Original: configure|high|ram|properties , predicted 1st: set|default|default|memory
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: run
Original: q , predicted 1st: 
Original: get|application|types , predicted 1st: get|application|types|types
Original: run , predicted 1st: do|extract|code
Original: get|volume|ids , predicted 1st: get|ids
Original: remove|task|report , predicted 1st: remove
Original: set|replication , predicted 1st: set
Original: publish|data|statistics , predicted 1st: publish|publish
Original: set|application|states , predicted 1st: set|application|application
Original: get|job , predicted 1st: check
Original: scan|directory|for|history|files , predicted 1st: scan|files
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add
Original: get|proto , predicted 1st: to
Original: set|times , predicted 1st: set
Original: set , predicted 1st: generate
Original: pack , predicted 1st: build|response
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: fun
Original: user|has|administrator|access , predicted 1st: is|user|allowed
Original: get|scheme , predicted 1st: get|name
Original: find|or|make|emitter , predicted 1st: get|type
Original: maybe|init|builder , predicted 1st: run
Original: get|method|name , predicted 1st: get|name|name
Original: get|cluster|metrics , predicted 1st: get|cluster|cluster
Original: r , predicted 1st: set|line
Original: id , predicted 1st: add
Original: remove|token|master|key , predicted 1st: remove|state|state
Original: init|storage , predicted 1st: set|configuration
Original: get|protocol|version , predicted 1st: get|protocol
Original: print|single|distribution|data , predicted 1st: print
Original: print|distribution|set , predicted 1st: print
Original: set|permission , predicted 1st: do|process
Original: get|application|id , predicted 1st: get|application|id|id
Original: convert|to|proto|format , predicted 1st: get|user|info
Original: get|units , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: make|absolute , predicted 1st: get|path
Original: read|fields , predicted 1st: read|from
Original: wait|for , predicted 1st: wait
Original: value , predicted 1st: add
Original: bq , predicted 1st: 
Original: b , predicted 1st: 
Original: init|local|application|attempts|list , predicted 1st: test|from|format
Original: height , predicted 1st: add
Original: br , predicted 1st: set|selector
Original: get|replication , predicted 1st: get|block
Original: get|output|records , predicted 1st: get
Original: get|tmax , predicted 1st: get
Original: get|job|counters , predicted 1st: check
Original: label , predicted 1st: add
Original: src , predicted 1st: add
Original: open , predicted 1st: do|get|stream
Original: class , predicted 1st: add
Original: set|replication , predicted 1st: do|get
Original: echo , predicted 1st: print
Original: set|container|list , predicted 1st: set|container
Original: cancel|delegation|token , predicted 1st: advance|token
Original: get|all|file|info , predicted 1st: get|cache|files
Original: main , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test|remove
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: create|url , predicted 1st: get|url
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add
Original: init|application|types , predicted 1st: set|application|types
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: 
Original: generate|record , predicted 1st: read
Original: get|home|directory , predicted 1st: get|path
Original: release|and|rethrow , predicted 1st: release
Original: fixed|bytes , predicted 1st: get|bytes
Original: set|task|report , predicted 1st: set|task
Original: close|storage , predicted 1st: close
Original: button , predicted 1st: set|selector
Original: get|underlying|counter , predicted 1st: get|wrapped|model
Original: attempts , predicted 1st: set
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container
Original: generate|graph|viz , predicted 1st: generate
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|up
Original: open , predicted 1st: read
Original: get|num|datanodes|in|service , predicted 1st: get|nodes|in|service
Original: h , predicted 1st: 
Original: get|parent , predicted 1st: get|parent
Original: get|delegation|token , predicted 1st: get|token
Original: emit|metric , predicted 1st: 
Original: h , predicted 1st: 
Original: compiled , predicted 1st: get|compiled
Original: get|proto , predicted 1st: to
Original: get|output|bytes , predicted 1st: get
Original: get|reduce|output|bytes , predicted 1st: get|out|bytes
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: button , predicted 1st: run
Original: set|ready|to|become|active , predicted 1st: get|active|active
Original: rename|internal , predicted 1st: do|rename
Original: get|task|report , predicted 1st: get|report|report
Original: get|configuration , predicted 1st: get
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: new|instance , predicted 1st: create|response|response|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get|long
Original: get|file|block|locations , predicted 1st: get|file|block
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: 
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: get|post|post|post|post
Original: compare|seed , predicted 1st: get|size
Original: call , predicted 1st: get|job|data
Original: run , predicted 1st: get|job
Original: make|absolute , predicted 1st: get|path
Original: start , predicted 1st: do|start
Original: id , predicted 1st: add
Original: class , predicted 1st: add
Original: maybe|init|builder , predicted 1st: run
Original: ol , predicted 1st: set|selector
Original: script , predicted 1st: script
Original: use|logical|uri , predicted 1st: is|client
Original: hr , predicted 1st: set|selector
Original: object , predicted 1st: get|object
Original: class , predicted 1st: add
Original: set|units , predicted 1st: set
Original: refresh|loaded|job|cache , predicted 1st: get|remote|cache
Original: is|local|mr , predicted 1st: is|local
Original: id , predicted 1st: add
Original: id , predicted 1st: add
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: refresh|loaded|job|cache , predicted 1st: get|response|cache|cache
Original: rel , predicted 1st: add|type
Original: get|scheme , predicted 1st: get|name
Original: get|hadoop|proxy|user|groups , predicted 1st: get
Original: register , predicted 1st: add
Original: get|container|report , predicted 1st: get|report|container
Original: close , predicted 1st: run
Original: init|queues , predicted 1st: add|all
Original: is|auto|failover|enabled , predicted 1st: is
Original: set|max|events , predicted 1st: set|max|events
Original: do|health|checks , predicted 1st: test
Original: get|file|status , predicted 1st: get|file|status
Original: label , predicted 1st: for
Original: b , predicted 1st: 
Original: conf|table|init , predicted 1st: get|table
Original: textarea , predicted 1st: 
Original: log|success , predicted 1st: log|log|log|log
Original: get , predicted 1st: get|server
Original: close|storage , predicted 1st: close
Original: pre|head , predicted 1st: set|up
Original: rename , predicted 1st: do|rename
Original: parse|selector , predicted 1st: get
Original: print|usage , predicted 1st: print
Original: read , predicted 1st: read
Original: emit|metric , predicted 1st: set
Original: load|tokens , predicted 1st: get|num|tokens
Original: img , predicted 1st: get
Original: validate|task|memory|limits , predicted 1st: check|memory
Original: is|element , predicted 1st: matches
Original: set|state|internal , predicted 1st: do|execute
Original: get|expected|output , predicted 1st: get|user|names
Original: get|children|num , predicted 1st: get|children
Original: get|filter|initializers , predicted 1st: get|initializer
Original: h , predicted 1st: 
Original: get|owner , predicted 1st: get|owner
Original: get|proto , predicted 1st: to
Original: set|spec , predicted 1st: set
Original: main , predicted 1st: run
Original: put|metrics , predicted 1st: visit
Original: start|threads , predicted 1st: start|start
Original: small , predicted 1st: get|all
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add|info
Original: find|timestamped|directories , predicted 1st: get|done
Original: get|child|file|systems , predicted 1st: get|system|files
Original: can|parse , predicted 1st: read
Original: small , predicted 1st: 
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: remove
Original: generate|ascii|record , predicted 1st: create|entry
Original: table , predicted 1st: table
Original: multiple , predicted 1st: add
Original: id , predicted 1st: add
Original: abbr , predicted 1st: 
Original: name , predicted 1st: add
Original: get|server|defaults , predicted 1st: get|server|server
Original: get|x|attr , predicted 1st: get|x|code
Original: set|conf , predicted 1st: set|name
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: 
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: set|servlet|names
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|list|list
Original: id , predicted 1st: get
Original: archive|path , predicted 1st: get
Original: usage , predicted 1st: test
Original: cite , predicted 1st: 
Original: class , predicted 1st: add
Original: disabled , predicted 1st: add
Original: get|read|statistics , predicted 1st: get|read|read
Original: get|not|ready|reason , predicted 1st: get|ready
Original: check|health , predicted 1st: get|error
Original: print|usage , predicted 1st: generate
Original: init|lut , predicted 1st: process
Original: h , predicted 1st: 
Original: get|capacity|used|non|dfs , predicted 1st: get|total
Original: opt , predicted 1st: add
Original: class , predicted 1st: add
Original: rename|internal , predicted 1st: do|rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get|system
Original: convert|from|proto|format , predicted 1st: create|user|info
Original: get|job|id , predicted 1st: get|job|id|id
Original: set|finish|range , predicted 1st: set
Original: get|capacity|total , predicted 1st: get|total|total|size
Original: run , predicted 1st: test
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: set|up
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: read
Original: get|task|report|count , predicted 1st: get|size
Original: about , predicted 1st: render
Original: decode|file|name , predicted 1st: get|version
Original: get|capacity|used , predicted 1st: get|total|size
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: set
Original: maxlength , predicted 1st: add
Original: main , predicted 1st: main
Original: get|type|name , predicted 1st: get|type
Original: test|existing|user , predicted 1st: test|output|output|output|output
Original: is|empty|local|name , predicted 1st: is
Original: next|event , predicted 1st: get|history
Original: get|size , predicted 1st: get|size
Original: get|x|attrs , predicted 1st: get|x
Original: new|instance , predicted 1st: new|response|response
Original: ol , predicted 1st: get
Original: check|access , predicted 1st: has|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: 
Original: content , predicted 1st: get|instance
Original: process|general|options , predicted 1st: set|up
Original: enforce|root|path , predicted 1st: validate
Original: id , predicted 1st: add
Original: indent , predicted 1st: do|process
Original: sort , predicted 1st: run
Original: id , predicted 1st: add
Original: h , predicted 1st: 
Original: build|token|service|for|logical|uri , predicted 1st: get|text
Original: run , predicted 1st: get
Original: onblur , predicted 1st: add
Original: emit|record , predicted 1st: get
Original: check|manual|state|management|ok , predicted 1st: is|auto|auto|enabled
Original: initialize|web|server , predicted 1st: init
Original: create|internal , predicted 1st: create|output|stream
Original: get|finish|range , predicted 1st: get|end
Original: get|include|child|queues , predicted 1st: is|include
Original: service|init , predicted 1st: set|up
Original: set|compressibility , predicted 1st: set
Original: read , predicted 1st: read
Original: ins , predicted 1st: 
Original: init|diagnostics , predicted 1st: test
Original: remove|x|attr , predicted 1st: do|process
Original: onkeyup , predicted 1st: add
Original: add|directory|to|job|list|cache , predicted 1st: add|files
Original: test|raw|x|attrs , predicted 1st: test
Original: run , predicted 1st: test
Original: run , predicted 1st: test
Original: start , predicted 1st: start
Original: unread|counted|line , predicted 1st: set
Original: is|healthy , predicted 1st: is
Original: init|local|queue|user|acls|list , predicted 1st: test
Original: get|remaining|args , predicted 1st: get|args
Original: get|cache|used , predicted 1st: get|cache|cache|cache
Original: get|group , predicted 1st: get|group
Original: get|proto , predicted 1st: to
Original: remove|default|acl , predicted 1st: do|validate
Original: is|method|supported , predicted 1st: is|supported
Original: init|failed|requests , predicted 1st: test|failed
Original: set|x|attr , predicted 1st: set
Original: delete|job|from|done , predicted 1st: delete|file|info
Original: new|node , predicted 1st: create|node
Original: get|wrapped|stream , predicted 1st: get|in|stream
Original: new|instance , predicted 1st: new|response|response|response
Original: class , predicted 1st: add
Original: confirm|force|manual , predicted 1st: test
Original: set|state , predicted 1st: validate
Original: height , predicted 1st: add
Original: name , predicted 1st: add
Original: conf|post|table|init , predicted 1st: get|test
Original: set|scope , predicted 1st: set|scope
Original: complete|local|output , predicted 1st: do|read
Original: get|distribution , predicted 1st: get
Original: copy|from|local|file , predicted 1st: read
Original: assert|value|within|range , predicted 1st: assert|equals
Original: h , predicted 1st: set|selector
Original: sup , predicted 1st: 
Original: needs|escaping , predicted 1st: is|script
Original: set|excludes|file , predicted 1st: set|file|file
Original: b , predicted 1st: 
Original: release , predicted 1st: close|connection
Original: kbd , predicted 1st: 
Original: read , predicted 1st: read
Original: get|scale , predicted 1st: get|scale
Original: validate|files , predicted 1st: get|file|name
Original: add|protocol , predicted 1st: add|protocol
Original: initialize , predicted 1st: get
Original: get|token|path , predicted 1st: get|path
Original: rowspan , predicted 1st: add
Original: maybe|uncompressed|path , predicted 1st: create|reader
Original: get|proto , predicted 1st: to|x
Original: check|paths , predicted 1st: check|file
Original: img , predicted 1st: get
Original: maybe|init|builder , predicted 1st: run
Original: accept , predicted 1st: add
Original: size , predicted 1st: add
Original: get|server|defaults , predicted 1st: create|default|thread
Original: clear , predicted 1st: method
Original: class , predicted 1st: add
Original: cite , predicted 1st: 
Original: renew|delegation|token , predicted 1st: get|current|auth
Original: run , predicted 1st: get|auth|auth
Original: style , predicted 1st: add
Original: shape , predicted 1st: add
Original: single|counter|page , predicted 1st: get|view|class
Original: load|state , predicted 1st: get|state|state
Original: run , predicted 1st: get
Original: form , predicted 1st: get
Original: sup , predicted 1st: 
Original: samp , predicted 1st: set|selector
Original: get|datanodes , predicted 1st: get
Original: nmlogs , predicted 1st: render
Original: write , predicted 1st: write|bytes
Original: get|name , predicted 1st: get|name|name
Original: is|token|for|logical|uri , predicted 1st: is|prefix|prefix
Original: add|fencing|parameters , predicted 1st: put
Original: alt , predicted 1st: add
Original: content , predicted 1st: get|instance
Original: set|retain|days , predicted 1st: set
Original: transition|to|standby , predicted 1st: handle|request
Original: onblur , predicted 1st: add
Original: name , predicted 1st: add
Original: accesskey , predicted 1st: add
Original: list|status , predicted 1st: do|import
Original: init , predicted 1st: get|all|tags
Original: q , predicted 1st: 
Original: new|instance , predicted 1st: get|request|request|request
Original: render , predicted 1st: test
Original: datetime , predicted 1st: add
Original: print|usage , predicted 1st: print|error
Original: bdo , predicted 1st: fun
Original: get|queues , predicted 1st: get
Original: id , predicted 1st: add
Original: init|file|system , predicted 1st: set|up
Original: add|default|servlets , predicted 1st: init
Original: id , predicted 1st: add
Original: graceful|failover|through|zkf|cs , predicted 1st: get|timeout
Original: new|instance , predicted 1st: new|response|response
Original: clear|space|quota , predicted 1st: set
Original: h , predicted 1st: 
Original: code , predicted 1st: get|code
Original: is|because|safe|mode , predicted 1st: is|exception
Original: maybe|init|builder , predicted 1st: run
Original: create|output|stream , predicted 1st: create|output|stream|stream
Original: set|job|id , predicted 1st: set|job|id|id
Original: get|volume|indexes , predicted 1st: get|indexes
Original: init|cluster , predicted 1st: set|active
Original: get , predicted 1st: get|history|info
Original: sleep , predicted 1st: wait|for
Original: parse|counter , predicted 1st: get|name
Original: wrap|safe|string , predicted 1st: get|label
Original: q , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: set|report|report
Original: do|filter , predicted 1st: do|filter
Original: monitor|health , predicted 1st: handle|request
Original: get|job|id , predicted 1st: get|job|id|id
Original: class , predicted 1st: add
Original: merge|local|to|builder , predicted 1st: set|up|info
Original: new|instance , predicted 1st: get|user|info
Original: run , predicted 1st: get|message
Original: class , predicted 1st: add
Original: get , predicted 1st: get
Original: initialize|hadoop|logs|analyzer , predicted 1st: get|input|files
Original: store|token , predicted 1st: put|state
Original: id , predicted 1st: add
Original: setup , predicted 1st: test
Original: set|finish|range , predicted 1st: set|range
Original: create|direct|decompressor , predicted 1st: get
Original: pkg|name , predicted 1st: get|default|file|name
Original: get|symlink , predicted 1st: get|string
Original: init , predicted 1st: set|up
Original: clear , predicted 1st: clear
Original: class , predicted 1st: add
Original: get|file|status , predicted 1st: get|file|status
Original: ins , predicted 1st: 
Original: create|cluster , predicted 1st: test
Original: disabled , predicted 1st: add
Original: table , predicted 1st: set|selector
Original: create|job|submitter , predicted 1st: create
Original: test|set|x|attr , predicted 1st: test|remove
Original: write|dist|cache|data , predicted 1st: set|data|data
Original: get|node|reports , predicted 1st: get|node|info|info
Original: set|space|quota , predicted 1st: set
Original: class , predicted 1st: add
Original: h , predicted 1st: set|selector
Original: get|proto , predicted 1st: get
Original: h , predicted 1st: 
Original: try|creating|history|dirs , predicted 1st: get|history
Original: refresh|user|to|groups|mappings , predicted 1st: run
Original: set|acl , predicted 1st: do|process
Original: id , predicted 1st: add
Original: test|no|user|given , predicted 1st: test|default|user|default
Original: get|proto , predicted 1st: to|x
Original: convert , predicted 1st: get|state
Original: dfn , predicted 1st: 
Original: sub , predicted 1st: set|selector
Original: close|storage , predicted 1st: close
Original: init , predicted 1st: init
Original: rel , predicted 1st: add
Original: new|distribution|block , predicted 1st: new|new
Original: get|job|summary , predicted 1st: do|in|file
Original: class , predicted 1st: add
Original: scan|directory , predicted 1st: do|create|status
Original: transition|to|active , predicted 1st: handle|request
Original: render|partial , predicted 1st: run
Original: create|base|listener , predicted 1st: create|default|connector
Original: load|token|state , predicted 1st: load|state
Original: cancel|delegation|token , predicted 1st: cancel|token
Original: create|success|log , predicted 1st: add
Original: set|owner , predicted 1st: set|owner
Original: new|instance , predicted 1st: get|request
Original: usemap , predicted 1st: add
Original: get|job , predicted 1st: get|job|job
Original: incorporate|counters , predicted 1st: set|up
Original: set , predicted 1st: set|read|bytes
Original: set , predicted 1st: set
Original: set , predicted 1st: set|read|file
Original: set , predicted 1st: set|bytes|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|output|bytes
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|file|entries
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|usage
Original: merge|local|to|builder , predicted 1st: do|convert
Original: apply , predicted 1st: convert|to|format
Original: main , predicted 1st: main
Original: create|x|attr|names , predicted 1st: get|names
Original: get|percent|block|pool|used , predicted 1st: get|total
Original: class , predicted 1st: add
Original: set|users , predicted 1st: set|users
Original: get|task|logs|url , predicted 1st: get|task|log|url
Original: tabindex , predicted 1st: add
Original: class , predicted 1st: add
Original: build|splits , predicted 1st: set|input|dir
Original: initialize , predicted 1st: get
Original: h , predicted 1st: 
Original: set|container|statuses , predicted 1st: set|up
Original: id , predicted 1st: add
Original: onchange , predicted 1st: add
Original: class , predicted 1st: add
Original: checked , predicted 1st: add
Original: class , predicted 1st: add
Original: make|qualified , predicted 1st: get|path
Original: compile , predicted 1st: compile
Original: get|proto , predicted 1st: to
Original: id , predicted 1st: add
Original: a , predicted 1st: 
Original: monitor|health , predicted 1st: close
Original: get|file|id , predicted 1st: get|file|id|id
Original: destroy , predicted 1st: destroy
Original: set|queues , predicted 1st: set
Original: page , predicted 1st: get|page
Original: refresh|log|retention|settings , predicted 1st: refresh|settings
Original: make|big|integer , predicted 1st: get|big|integer
Original: get|hadoop|users , predicted 1st: get|default|users
Original: bq , predicted 1st: 
Original: compile , predicted 1st: 
Original: delete , predicted 1st: delete
Original: is|ha|enabled , predicted 1st: is|available
Original: create|hs|proxy|with|refresh|user|mappings|protocol , predicted 1st: create|remote|authentication
Original: renew|delegation|token , predicted 1st: next|token
Original: decode|string , predicted 1st: decode
Original: textarea , predicted 1st: set|selector
Original: create|io|exception , predicted 1st: write
Original: get|node , predicted 1st: node|node
Original: set|selector , predicted 1st: parse
Original: hr , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|job|id
Original: set|permission , predicted 1st: set|permission|permission
Original: initialize , predicted 1st: get
Original: select , predicted 1st: set|selector
Original: add|completion|event , predicted 1st: completion|completion|completion
Original: unique|sequence|id , predicted 1st: get|sequence
Original: get|uri|default|port , predicted 1st: get|default|port
Original: root , predicted 1st: create
Original: is|ready|to|become|active , predicted 1st: is|active|to|active
Original: expand|leftmost , predicted 1st: get|text
Original: create|file|system , predicted 1st: get|system|system
Original: refresh , predicted 1st: get|response
Original: process|task|line , predicted 1st: add
Original: task|counters , predicted 1st: do|task
Original: parse|opts , predicted 1st: parse
Original: upload|data , predicted 1st: get|connection|stream
Original: id , predicted 1st: add
Original: init|storage , predicted 1st: set|state
Original: failover , predicted 1st: test
Original: get|proto , predicted 1st: to|x
Original: get|includes , predicted 1st: get|includes
Original: sub , predicted 1st: 
Original: get|proto , predicted 1st: to|x
Original: span , predicted 1st: 
Original: get|application|attempt|id , predicted 1st: get|id|id
Original: id , predicted 1st: add
Original: stop|threads , predicted 1st: stop
Original: pre|head , predicted 1st: init|init
Original: h , predicted 1st: set|selector
Original: href , predicted 1st: add
Original: main , predicted 1st: run
Original: remove|acl , predicted 1st: remove
Original: get|address|of|active , predicted 1st: get|server|server|address
Original: pre|head , predicted 1st: set|up
Original: mkdir , predicted 1st: create|parent
Original: class , predicted 1st: add
Original: root , predicted 1st: get|root
Original: seek , predicted 1st: set|long
Original: about|page , predicted 1st: get|page
Original: mkdir , predicted 1st: set
Original: class , predicted 1st: add
Original: add|all|task|reports , predicted 1st: add|task
